"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","145","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Nov 26 18:47:16 UTC 2025","broken","Wed Nov 26 18:47:17 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","141","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Nov 26 18:47:17 UTC 2025","broken","Wed Nov 26 18:47:17 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","145","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:03 UTC 2025","broken","Wed Nov 26 18:47:03 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","134","No auth - update role","QA|Nova Bank - Infopool","Wed Nov 26 18:47:12 UTC 2025","broken","Wed Nov 26 18:47:12 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","137","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:00 UTC 2025","broken","Wed Nov 26 18:47:00 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","136","managers","QA|Nova Bank - Infopool","Wed Nov 26 18:47:18 UTC 2025","broken","Wed Nov 26 18:47:18 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","146","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Nov 26 18:47:15 UTC 2025","broken","Wed Nov 26 18:47:15 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","143","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed Nov 26 18:46:57 UTC 2025","broken","Wed Nov 26 18:46:57 UTC 2025","v1 > Profile > Password","Bank User","",""
"","136","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Nov 26 18:47:16 UTC 2025","broken","Wed Nov 26 18:47:16 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Delete a report (soft delete)","146","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Nov 26 18:47:25 UTC 2025","broken","Wed Nov 26 18:47:25 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","143","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:25 UTC 2025","broken","Wed Nov 26 18:47:25 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","143","reset password","QA|Nova Bank - Infopool","Wed Nov 26 18:46:55 UTC 2025","broken","Wed Nov 26 18:46:55 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","140","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:07 UTC 2025","broken","Wed Nov 26 18:47:07 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","152","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 26 18:46:56 UTC 2025","broken","Wed Nov 26 18:46:56 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","137","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Nov 26 18:47:04 UTC 2025","broken","Wed Nov 26 18:47:04 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","146","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Nov 26 18:47:12 UTC 2025","broken","Wed Nov 26 18:47:13 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Create organization - no country ID","QA|Nova Bank - Infopool","Wed Nov 26 18:47:13 UTC 2025","broken","Wed Nov 26 18:47:13 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","140","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Nov 26 18:47:10 UTC 2025","broken","Wed Nov 26 18:47:10 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","141","No Auth - Change password","QA|Nova Bank - Infopool","Wed Nov 26 18:46:57 UTC 2025","broken","Wed Nov 26 18:46:57 UTC 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","144","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 26 18:46:55 UTC 2025","broken","Wed Nov 26 18:46:55 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","144","No auth - Update role status","QA|Nova Bank - Infopool","Wed Nov 26 18:47:19 UTC 2025","broken","Wed Nov 26 18:47:19 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","141","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Nov 26 18:46:59 UTC 2025","broken","Wed Nov 26 18:46:59 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","141","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:16 UTC 2025","broken","Wed Nov 26 18:47:16 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","136","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:10 UTC 2025","broken","Wed Nov 26 18:47:10 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","134","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Nov 26 18:47:00 UTC 2025","broken","Wed Nov 26 18:47:00 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","143","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Nov 26 18:47:15 UTC 2025","broken","Wed Nov 26 18:47:15 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","149","verifyOTP","QA|Nova Bank - Infopool","Wed Nov 26 18:46:54 UTC 2025","broken","Wed Nov 26 18:46:54 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
