"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:26:49 GMT 2025","passed","Sun May 25 15:26:49 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","82","Add attachment to issue","QA|Nova Bank - Infopool","Sun May 25 15:26:54 GMT 2025","failed","Sun May 25 15:26:54 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","79","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun May 25 15:27:00 GMT 2025","passed","Sun May 25 15:27:00 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","81","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun May 25 15:26:55 GMT 2025","passed","Sun May 25 15:26:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","82","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:27:01 GMT 2025","failed","Sun May 25 15:27:01 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","77","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:27:08 GMT 2025","passed","Sun May 25 15:27:08 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","81","Update user - empty action field","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","failed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","84","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun May 25 15:27:12 GMT 2025","failed","Sun May 25 15:27:12 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","82","Get all Issues","QA|Nova Bank - Infopool","Sun May 25 15:26:53 GMT 2025","failed","Sun May 25 15:26:53 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","82","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun May 25 15:27:07 GMT 2025","failed","Sun May 25 15:27:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","No auth - get user role","QA|Nova Bank - Infopool","Sun May 25 15:26:59 GMT 2025","passed","Sun May 25 15:26:59 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
