"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Dec 10 18:52:49 UTC 2025","broken","Wed Dec 10 18:52:49 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","58","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","62","Create roles","QA|Nova Bank - Infopool","Wed Dec 10 18:52:53 UTC 2025","broken","Wed Dec 10 18:52:53 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","81","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Dec 10 18:52:51 UTC 2025","broken","Wed Dec 10 18:52:51 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","56","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Dec 10 18:52:57 UTC 2025","broken","Wed Dec 10 18:52:57 UTC 2025","","corporate Adjustment","",""
"","81","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Dec 10 18:52:47 UTC 2025","broken","Wed Dec 10 18:52:47 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","91","Update profile - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","61","No auth - update role","QA|Nova Bank - Infopool","Wed Dec 10 18:52:50 UTC 2025","broken","Wed Dec 10 18:52:50 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","77","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed Dec 10 18:52:45 UTC 2025","broken","Wed Dec 10 18:52:45 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","54","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:48 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","57","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Dec 10 18:52:46 UTC 2025","broken","Wed Dec 10 18:52:46 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","74","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:52 UTC 2025","broken","Wed Dec 10 18:52:52 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","65","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed Dec 10 18:52:55 UTC 2025","broken","Wed Dec 10 18:52:55 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","62","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Dec 10 18:52:47 UTC 2025","broken","Wed Dec 10 18:52:47 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","58","update role","QA|Nova Bank - Infopool","Wed Dec 10 18:52:50 UTC 2025","broken","Wed Dec 10 18:52:50 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","56","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:56 UTC 2025","broken","Wed Dec 10 18:52:56 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","53","Get all permissions","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","66","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Dec 10 18:52:52 UTC 2025","broken","Wed Dec 10 18:52:52 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","52","Health","QA|Nova Bank - Infopool","Wed Dec 10 18:52:48 UTC 2025","broken","Wed Dec 10 18:52:48 UTC 2025","v1 > Health","Bank Admin","",""
"","88","Create organization - no name","QA|Nova Bank - Infopool","Wed Dec 10 18:52:50 UTC 2025","broken","Wed Dec 10 18:52:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","get all category","QA|Nova Bank - Infopool","Wed Dec 10 18:52:54 UTC 2025","broken","Wed Dec 10 18:52:54 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","76","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:52 UTC 2025","broken","Wed Dec 10 18:52:52 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","57","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Dec 10 18:52:47 UTC 2025","broken","Wed Dec 10 18:52:47 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","63","Get events - successful","QA|Nova Bank - Infopool","Wed Dec 10 18:52:43 UTC 2025","broken","Wed Dec 10 18:52:43 UTC 2025","v1 > Audit trail > Event","Bank User","",""
