"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Update profile","QA|Nova Bank - Infopool","Fri Feb 27 19:23:25 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","75","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:28 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","55","Update user - empty action field","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","59","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Feb 27 19:23:28 UTC 2026","broken","Fri Feb 27 19:23:28 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","55","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:26 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","73","Update Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","73","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:25 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","58","Update user - no auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","52","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Feb 27 19:23:29 UTC 2026","broken","Fri Feb 27 19:23:29 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","67","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:26 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","75","Get all Issues","QA|Nova Bank - Infopool","Fri Feb 27 19:23:26 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","59","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Feb 27 19:23:28 UTC 2026","broken","Fri Feb 27 19:23:28 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","72","Get events - successful","QA|Nova Bank - Infopool","Fri Feb 27 19:23:25 UTC 2026","broken","Fri Feb 27 19:23:25 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","78","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","102","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","52","category by id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","53","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Feb 27 19:23:27 UTC 2026","broken","Fri Feb 27 19:23:27 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","74","Logout session successfully","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Logout","Bank Admin","",""
"","54","No Auth - Change password","QA|Nova Bank - Infopool","Fri Feb 27 19:23:24 UTC 2026","broken","Fri Feb 27 19:23:24 UTC 2026","v1 > Profile > Password","Bank User","",""
"","66","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Feb 27 19:23:35 UTC 2026","broken","Fri Feb 27 19:23:35 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","62","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Feb 27 19:23:32 UTC 2026","broken","Fri Feb 27 19:23:32 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","53","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Feb 27 19:23:30 UTC 2026","broken","Fri Feb 27 19:23:30 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","57","Create  organization","QA|Nova Bank - Infopool","Fri Feb 27 19:23:31 UTC 2026","broken","Fri Feb 27 19:23:31 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","70","Export Report Data","QA|Nova Bank - Infopool","Fri Feb 27 19:23:38 UTC 2026","broken","Fri Feb 27 19:23:38 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","92","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Feb 27 19:23:23 UTC 2026","broken","Fri Feb 27 19:23:23 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"Get a specific report by ID","64","Get Report by UUID","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:37 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","74","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Feb 27 19:23:36 UTC 2026","broken","Fri Feb 27 19:23:36 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
