"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","43","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:36:37 GMT 2025","passed","Thu Jun 05 23:36:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","27","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","27","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","50","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 23:36:42 GMT 2025","passed","Thu Jun 05 23:36:42 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","28","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","No auth - category by id","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","164","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 23:36:50 GMT 2025","passed","Thu Jun 05 23:36:50 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","137","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:36:37 GMT 2025","passed","Thu Jun 05 23:36:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","29","Create Report","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","27","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
