"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Nov 09 20:10:52 UTC 2025","broken","Sun Nov 09 20:10:52 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","150","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Nov 09 20:11:07 UTC 2025","broken","Sun Nov 09 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","153","verify OTP","QA|Nova Bank - Infopool","Sun Nov 09 20:10:49 UTC 2025","broken","Sun Nov 09 20:10:50 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","157","Update profile","QA|Nova Bank - Infopool","Sun Nov 09 20:10:52 UTC 2025","broken","Sun Nov 09 20:10:52 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","146","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Nov 09 20:11:11 UTC 2025","broken","Sun Nov 09 20:11:11 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","144","audit trail","QA|Nova Bank - Infopool","Sun Nov 09 20:10:53 UTC 2025","broken","Sun Nov 09 20:10:53 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","143","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Nov 09 20:11:21 UTC 2025","broken","Sun Nov 09 20:11:22 UTC 2025","","corporate Adjustment","",""
"","144","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 09 20:10:54 UTC 2025","broken","Sun Nov 09 20:10:54 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","150","Get Reports","QA|Nova Bank - Infopool","Sun Nov 09 20:11:17 UTC 2025","broken","Sun Nov 09 20:11:17 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","141","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:11:13 UTC 2025","broken","Sun Nov 09 20:11:13 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","145","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Nov 09 20:11:01 UTC 2025","broken","Sun Nov 09 20:11:01 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","142","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Nov 09 20:11:11 UTC 2025","broken","Sun Nov 09 20:11:11 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","140","reset password","QA|Nova Bank - Infopool","Sun Nov 09 20:10:48 UTC 2025","broken","Sun Nov 09 20:10:48 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","153","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Nov 09 20:11:10 UTC 2025","broken","Sun Nov 09 20:11:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","148","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Nov 09 20:11:19 UTC 2025","broken","Sun Nov 09 20:11:20 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","138","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Nov 09 20:10:55 UTC 2025","broken","Sun Nov 09 20:10:55 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","141","No auth - get user role","QA|Nova Bank - Infopool","Sun Nov 09 20:11:07 UTC 2025","broken","Sun Nov 09 20:11:07 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","140","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Nov 09 20:10:54 UTC 2025","broken","Sun Nov 09 20:10:54 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","141","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:58 UTC 2025","broken","Sun Nov 09 20:10:58 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","146","Update definition","QA|Nova Bank - Infopool","Sun Nov 09 20:11:03 UTC 2025","broken","Sun Nov 09 20:11:03 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","153","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Nov 09 20:11:11 UTC 2025","broken","Sun Nov 09 20:11:11 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","144","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Nov 09 20:10:57 UTC 2025","broken","Sun Nov 09 20:10:57 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","139","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Nov 09 20:10:58 UTC 2025","broken","Sun Nov 09 20:10:58 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","139","Create roles","QA|Nova Bank - Infopool","Sun Nov 09 20:11:14 UTC 2025","broken","Sun Nov 09 20:11:14 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
