"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77","Health","QA|Nova Bank - Infopool","Sun Jun 08 21:29:41 GMT 2025","passed","Sun Jun 08 21:29:41 GMT 2025","v1 > Health","Bank Admin","",""
"","138","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:18 GMT 2025","failed","Sun Jun 08 21:28:18 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","76","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","108","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:28:12 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","713","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:28:00 GMT 2025","passed","Sun Jun 08 21:28:01 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","106","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:28:00 GMT 2025","passed","Sun Jun 08 21:28:00 GMT 2025","v1 > Profile > Password","Bank User","",""
"","76","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 21:29:43 GMT 2025","passed","Sun Jun 08 21:29:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","331","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 21:28:11 GMT 2025","passed","Sun Jun 08 21:28:11 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","158","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:29:45 GMT 2025","failed","Sun Jun 08 21:29:45 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:27:58 GMT 2025","passed","Sun Jun 08 21:27:58 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","86","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:27:59 GMT 2025","passed","Sun Jun 08 21:27:59 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:29:42 GMT 2025","passed","Sun Jun 08 21:29:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","6736","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:27:47 GMT 2025","passed","Sun Jun 08 21:27:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","442","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:28:13 GMT 2025","failed","Sun Jun 08 21:28:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 21:29:44 GMT 2025","passed","Sun Jun 08 21:29:44 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3312","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:28:15 GMT 2025","passed","Sun Jun 08 21:28:18 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","244","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:28:11 GMT 2025","passed","Sun Jun 08 21:28:12 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","1137","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:28:27 GMT 2025","passed","Sun Jun 08 21:28:28 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
