"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164","Invalid credentials","QA|Nova Bank - Infopool","Wed May 28 00:23:12 GMT 2025","passed","Wed May 28 00:23:12 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Create a new report","80","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","failed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","77","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:23:37 GMT 2025","failed","Wed May 28 00:23:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","6250","Invalid email format","QA|Nova Bank - Infopool","Wed May 28 00:23:12 GMT 2025","passed","Wed May 28 00:23:18 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","78","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","failed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","78","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:23:50 GMT 2025","passed","Wed May 28 00:23:51 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","80","Get events - invalid start date","QA|Nova Bank - Infopool","Wed May 28 00:23:21 GMT 2025","failed","Wed May 28 00:23:21 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","78","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","passed","Wed May 28 00:23:49 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","3152","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed May 28 00:23:54 GMT 2025","failed","Wed May 28 00:23:57 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","84","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:23:32 GMT 2025","failed","Wed May 28 00:23:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","125","verifyOTP","QA|Nova Bank - Infopool","Wed May 28 00:23:18 GMT 2025","passed","Wed May 28 00:23:18 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","81","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","passed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","77","Create roles - No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","passed","Wed May 28 00:23:50 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","79","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","failed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","79","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","passed","Wed May 28 00:23:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","Update profile - no phone number","QA|Nova Bank - Infopool","Wed May 28 00:23:21 GMT 2025","failed","Wed May 28 00:23:21 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","114","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:23:19 GMT 2025","passed","Wed May 28 00:23:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","103","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed May 28 00:23:48 GMT 2025","passed","Wed May 28 00:23:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","96","Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","passed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","76","Logout session - no session","QA|Nova Bank - Infopool","Wed May 28 00:23:51 GMT 2025","passed","Wed May 28 00:23:51 GMT 2025","v1 > Logout","Bank Admin","",""
"","95","get all category","QA|Nova Bank - Infopool","Wed May 28 00:23:51 GMT 2025","passed","Wed May 28 00:23:51 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","74","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","passed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","78","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","failed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","92","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","passed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","87","No user credentials","QA|Nova Bank - Infopool","Wed May 28 00:23:18 GMT 2025","passed","Wed May 28 00:23:18 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","80","Get profile - successfully","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","failed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","79","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","failed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","failed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","80","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","failed","Wed May 28 00:23:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","120","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","passed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","79","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 28 00:23:36 GMT 2025","passed","Wed May 28 00:23:36 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","78","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","passed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","80","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:24 GMT 2025","failed","Wed May 28 00:23:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","100","Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","passed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","79","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","passed","Wed May 28 00:23:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","80","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","passed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","85","Empty current password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","failed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 28 00:23:37 GMT 2025","failed","Wed May 28 00:23:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Create a new report","83","Create Report","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","failed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a specific report by ID","77","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","passed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","76","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 28 00:23:34 GMT 2025","passed","Wed May 28 00:23:34 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","83","No email - Forgot Password","QA|Nova Bank - Infopool","Wed May 28 00:23:18 GMT 2025","passed","Wed May 28 00:23:18 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Create a new report","78","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","failed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","85","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed May 28 00:23:18 GMT 2025","passed","Wed May 28 00:23:19 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","78","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","failed","Wed May 28 00:23:26 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","79","Get Reports - No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:51 GMT 2025","passed","Wed May 28 00:23:51 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","78","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","failed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:23:19 GMT 2025","passed","Wed May 28 00:23:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","79","Create Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","passed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","99","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","passed","Wed May 28 00:23:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","82","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","passed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","750","Successful login","QA|Nova Bank - Infopool","Wed May 28 00:23:11 GMT 2025","passed","Wed May 28 00:23:12 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","99","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 28 00:23:46 GMT 2025","passed","Wed May 28 00:23:47 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 28 00:23:48 GMT 2025","passed","Wed May 28 00:23:48 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","105","Role does not exist - update role","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","passed","Wed May 28 00:23:39 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","81","audit trail - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","passed","Wed May 28 00:23:22 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","81","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","passed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","79","No auth - update role","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","failed","Wed May 28 00:23:39 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","78","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:23:50 GMT 2025","failed","Wed May 28 00:23:50 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","80","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","passed","Wed May 28 00:23:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Update an existing report","77","Update Report - No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","passed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","3135","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:23:29 GMT 2025","failed","Wed May 28 00:23:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","83","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:23:32 GMT 2025","passed","Wed May 28 00:23:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Update an existing report","79","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","failed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","3148","Create organization - no country ID","QA|Nova Bank - Infopool","Wed May 28 00:23:43 GMT 2025","passed","Wed May 28 00:23:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","Create roles - Existing role","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","failed","Wed May 28 00:23:49 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","95","Get all definitions","QA|Nova Bank - Infopool","Wed May 28 00:23:37 GMT 2025","passed","Wed May 28 00:23:37 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Delete a report (soft delete)","78","Delete Report -No auth","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","failed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","98","Create organization - no name","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","passed","Wed May 28 00:23:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","77","No auth - get user role","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","passed","Wed May 28 00:23:39 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","77","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 28 00:23:38 GMT 2025","passed","Wed May 28 00:23:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","78","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","failed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","78","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 28 00:23:37 GMT 2025","failed","Wed May 28 00:23:37 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","78","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 28 00:23:36 GMT 2025","failed","Wed May 28 00:23:36 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","86","get user role","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","passed","Wed May 28 00:23:39 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","111","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","passed","Wed May 28 00:23:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","77","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","passed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","977","Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:23:23 GMT 2025","passed","Wed May 28 00:23:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:23:32 GMT 2025","failed","Wed May 28 00:23:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","80","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:23:36 GMT 2025","passed","Wed May 28 00:23:36 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","82","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","failed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","185","audit trail","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","passed","Wed May 28 00:23:22 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","78","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 28 00:23:50 GMT 2025","failed","Wed May 28 00:23:50 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","81","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed May 28 00:23:20 GMT 2025","passed","Wed May 28 00:23:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","79","Get Report by ID","QA|Nova Bank - Infopool","Wed May 28 00:23:52 GMT 2025","failed","Wed May 28 00:23:52 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","101","Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:23:39 GMT 2025","failed","Wed May 28 00:23:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Add attachment to issue","QA|Nova Bank - Infopool","Wed May 28 00:23:25 GMT 2025","failed","Wed May 28 00:23:25 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","77","Get roles - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:23:49 GMT 2025","passed","Wed May 28 00:23:49 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","79","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:23:33 GMT 2025","failed","Wed May 28 00:23:33 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Update profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:23:21 GMT 2025","passed","Wed May 28 00:23:21 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 28 00:23:48 GMT 2025","failed","Wed May 28 00:23:48 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","79","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed May 28 00:23:22 GMT 2025","failed","Wed May 28 00:23:22 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:23:19 GMT 2025","passed","Wed May 28 00:23:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed May 28 00:23:53 GMT 2025","failed","Wed May 28 00:23:53 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","2424","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:23:34 GMT 2025","passed","Wed May 28 00:23:36 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
