"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:06:57 GMT 2025","failed","Thu Jun 05 23:06:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","107","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:08:14 GMT 2025","passed","Thu Jun 05 23:08:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","98","Update profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:06:42 GMT 2025","passed","Thu Jun 05 23:06:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","83","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 23:08:12 GMT 2025","passed","Thu Jun 05 23:08:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:55 GMT 2025","failed","Thu Jun 05 23:06:55 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","93","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 23:06:44 GMT 2025","passed","Thu Jun 05 23:06:44 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","254","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 23:07:00 GMT 2025","passed","Thu Jun 05 23:07:00 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","76","Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:08:10 GMT 2025","passed","Thu Jun 05 23:08:10 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","135","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:06:54 GMT 2025","passed","Thu Jun 05 23:06:54 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","85","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 23:06:38 GMT 2025","passed","Thu Jun 05 23:06:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
