"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","33","Create organization - empty mis code","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","30","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","31","Get role by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","34","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","34","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","34","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 19:03:59 GMT 2025","passed","Thu Jun 05 19:03:59 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","33","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","31","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 19:05:14 GMT 2025","passed","Thu Jun 05 19:05:14 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","36","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","31","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","35","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:03:54 GMT 2025","passed","Thu Jun 05 19:03:54 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","39","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a specific report by ID","31","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","33","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 19:05:13 GMT 2025","passed","Thu Jun 05 19:05:13 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","30","Get Report by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:05:15 GMT 2025","passed","Thu Jun 05 19:05:15 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","38","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:03:58 GMT 2025","failed","Thu Jun 05 19:03:58 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","32","update role","QA|Nova Bank - Infopool","Thu Jun 05 19:05:12 GMT 2025","passed","Thu Jun 05 19:05:12 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
