"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:56:16 GMT 2025","passed","Sun Jun 01 15:56:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","failed","Sun Jun 01 15:56:30 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","80","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 01 15:56:17 GMT 2025","failed","Sun Jun 01 15:56:17 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","154","update role","QA|Nova Bank - Infopool","Sun Jun 01 15:56:14 GMT 2025","passed","Sun Jun 01 15:56:14 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","79","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 01 15:56:19 GMT 2025","failed","Sun Jun 01 15:56:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","81","No auth - category by id","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Delete a report (soft delete)","79","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:29 GMT 2025","failed","Sun Jun 01 15:56:29 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","90","managers","QA|Nova Bank - Infopool","Sun Jun 01 15:56:18 GMT 2025","passed","Sun Jun 01 15:56:18 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","92","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 01 15:56:16 GMT 2025","passed","Sun Jun 01 15:56:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 01 15:56:05 GMT 2025","passed","Sun Jun 01 15:56:05 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","81","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 01 15:56:06 GMT 2025","passed","Sun Jun 01 15:56:06 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 01 15:56:18 GMT 2025","passed","Sun Jun 01 15:56:18 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","150","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 01 15:55:50 GMT 2025","passed","Sun Jun 01 15:55:50 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","91","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 01 15:56:20 GMT 2025","passed","Sun Jun 01 15:56:20 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","80","Health","QA|Nova Bank - Infopool","Sun Jun 01 15:56:05 GMT 2025","passed","Sun Jun 01 15:56:06 GMT 2025","v1 > Health","Bank Admin","",""
"","80","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 01 15:56:07 GMT 2025","passed","Sun Jun 01 15:56:07 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","84","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 01 15:55:51 GMT 2025","passed","Sun Jun 01 15:55:51 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","82","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","failed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","passed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","77","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 01 15:56:14 GMT 2025","passed","Sun Jun 01 15:56:14 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 01 15:56:00 GMT 2025","passed","Sun Jun 01 15:56:00 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","79","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","failed","Sun Jun 01 15:56:01 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","88","No user credentials","QA|Nova Bank - Infopool","Sun Jun 01 15:55:45 GMT 2025","passed","Sun Jun 01 15:55:45 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","145","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:55:48 GMT 2025","passed","Sun Jun 01 15:55:49 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","86","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 01 15:56:18 GMT 2025","failed","Sun Jun 01 15:56:18 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","135","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:55:45 GMT 2025","failed","Sun Jun 01 15:55:46 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","80","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 01 15:55:47 GMT 2025","passed","Sun Jun 01 15:55:47 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","99","Search Customers","QA|Nova Bank - Infopool","Sun Jun 01 15:56:01 GMT 2025","passed","Sun Jun 01 15:56:02 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","84","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 01 15:55:49 GMT 2025","passed","Sun Jun 01 15:55:49 GMT 2025","v1 > Profile > update profile image","Bank User","",""
