"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","72","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","audit trail","QA|Nova Bank - Infopool","Fri May 30 17:09:13 GMT 2025","passed","Fri May 30 17:09:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","48","Create organization - empty city value","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","51","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports - No auth","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Update an existing report","32","Update Report","QA|Nova Bank - Infopool","Fri May 30 17:09:29 GMT 2025","passed","Fri May 30 17:09:29 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","34","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","40","Update role status","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","34","Get profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:06 GMT 2025","passed","Fri May 30 17:09:06 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","80","verifyOTP","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","32","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri May 30 17:09:16 GMT 2025","failed","Fri May 30 17:09:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","52","Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 17:09:15 GMT 2025","failed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","45","Invalid email format","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","88","update role","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:20 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","35","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri May 30 17:09:14 GMT 2025","passed","Fri May 30 17:09:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","33","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 17:09:19 GMT 2025","passed","Fri May 30 17:09:19 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","35","Get events - no auth","QA|Nova Bank - Infopool","Fri May 30 17:09:12 GMT 2025","passed","Fri May 30 17:09:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","failed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Update profile - no auth","QA|Nova Bank - Infopool","Fri May 30 17:09:09 GMT 2025","passed","Fri May 30 17:09:09 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","106","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","passed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","32","Get roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:28 GMT 2025","passed","Fri May 30 17:09:28 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","41","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri May 30 17:09:26 GMT 2025","passed","Fri May 30 17:09:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri May 30 17:09:16 GMT 2025","passed","Fri May 30 17:09:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","66","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:09:27 GMT 2025","passed","Fri May 30 17:09:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri May 30 17:09:04 GMT 2025","passed","Fri May 30 17:09:04 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","35","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri May 30 17:09:18 GMT 2025","failed","Fri May 30 17:09:18 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
