"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 23:47:56 GMT 2025","passed","Thu Jun 05 23:47:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","33","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","33","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:49:01 GMT 2025","passed","Thu Jun 05 23:49:01 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","32","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:49:00 GMT 2025","passed","Thu Jun 05 23:49:00 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","59","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:47:53 GMT 2025","failed","Thu Jun 05 23:47:53 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a specific report by ID","31","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Thu Jun 05 23:49:03 GMT 2025","passed","Thu Jun 05 23:49:03 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","78","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 23:47:56 GMT 2025","passed","Thu Jun 05 23:47:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","41","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:51 GMT 2025","passed","Thu Jun 05 23:47:51 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","120","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:47:42 GMT 2025","passed","Thu Jun 05 23:47:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","834","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 23:47:34 GMT 2025","passed","Thu Jun 05 23:47:35 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","search Corporate Adjustment","QA|Nova Bank - Infopool","Thu Jun 05 23:49:04 GMT 2025","passed","Thu Jun 05 23:49:04 GMT 2025","","corporate Adjustment","",""
"","39","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:47:52 GMT 2025","failed","Thu Jun 05 23:47:52 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","113","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:47:43 GMT 2025","passed","Thu Jun 05 23:47:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
