"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 14 16:11:43 GMT 2025","failed","Wed May 14 16:11:44 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get a specific report by ID","57","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","failed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","52","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed May 14 16:11:51 GMT 2025","passed","Wed May 14 16:11:51 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get a specific report by ID","51","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:11:56 GMT 2025","passed","Wed May 14 16:11:56 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","6217","Get single definition","QA|Nova Bank - Infopool","Wed May 14 16:11:44 GMT 2025","failed","Wed May 14 16:11:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","58","Get events - invalid end date","QA|Nova Bank - Infopool","Wed May 14 16:11:40 GMT 2025","failed","Wed May 14 16:11:40 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","53","No auth - Update role status","QA|Nova Bank - Infopool","Wed May 14 16:11:54 GMT 2025","passed","Wed May 14 16:11:54 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","62","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed May 14 16:11:53 GMT 2025","failed","Wed May 14 16:11:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","59","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:11:38 GMT 2025","passed","Wed May 14 16:11:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Delete a report (soft delete)","51","Delete Report","QA|Nova Bank - Infopool","Wed May 14 16:12:03 GMT 2025","failed","Wed May 14 16:12:03 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
