"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","46","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","46","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 13:15:29 GMT 2025","passed","Thu Jun 05 13:15:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","passed","Thu Jun 05 13:15:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","37","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","42","Get events - no auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","101","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 13:15:19 GMT 2025","passed","Thu Jun 05 13:15:19 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","39","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 13:15:28 GMT 2025","failed","Thu Jun 05 13:15:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","46","Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 13:15:27 GMT 2025","failed","Thu Jun 05 13:15:27 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","43","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 13:15:31 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","221","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 13:15:18 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Update profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:17 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","167","verifyOTP","QA|Nova Bank - Infopool","Thu Jun 05 13:15:15 GMT 2025","passed","Thu Jun 05 13:15:15 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","187","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 13:15:17 GMT 2025","passed","Thu Jun 05 13:15:18 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 13:15:30 GMT 2025","passed","Thu Jun 05 13:15:31 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
