"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Mar 30 20:25:13 GMT 2025","passed","Sun Mar 30 20:25:13 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","79","Create a New Issue - empty issue","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","passed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","141","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:14 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","85","get user role","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","78","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3281","Invalid credentials","QA|Nova Bank - Infopool","Sun Mar 30 20:25:07 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","2885","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Mar 30 20:25:22 GMT 2025","passed","Sun Mar 30 20:25:25 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","89","Create roles - invalid type","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","passed","Sun Mar 30 20:25:38 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","91","Update Customer Comment","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","83","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","failed","Sun Mar 30 20:25:38 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","82","Update Issue","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","83","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","184","Change password - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:12 GMT 2025","failed","Sun Mar 30 20:25:12 GMT 2025","v1 > Profile > Password","Bank User","",""
"","94","Change password - empty new password","QA|Nova Bank - Infopool","Sun Mar 30 20:25:12 GMT 2025","passed","Sun Mar 30 20:25:13 GMT 2025","v1 > Profile > Password","Bank User","",""
"","85","update role","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","218","Update user - invalid action","QA|Nova Bank - Infopool","Sun Mar 30 20:25:30 GMT 2025","passed","Sun Mar 30 20:25:30 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","89","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Mar 30 20:25:13 GMT 2025","passed","Sun Mar 30 20:25:13 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","Get single definition - invalid ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:29 GMT 2025","passed","Sun Mar 30 20:25:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","108","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Mar 30 20:25:29 GMT 2025","passed","Sun Mar 30 20:25:29 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","81","Forgot password - no email","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","65","Health","QA|Nova Bank - Infopool","Sun Mar 30 20:25:39 GMT 2025","passed","Sun Mar 30 20:25:39 GMT 2025","v1","Bank Admin","",""
"","89","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Mar 30 20:25:32 GMT 2025","passed","Sun Mar 30 20:25:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Mar 30 20:25:36 GMT 2025","failed","Sun Mar 30 20:25:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","84","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","failed","Sun Mar 30 20:25:38 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","103","get all category","QA|Nova Bank - Infopool","Sun Mar 30 20:25:39 GMT 2025","passed","Sun Mar 30 20:25:39 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","68","Update permissions - permissions do not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Roles > Permissions > Update permission - API needs review","Bank Admin","",""
"","96","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Get single definition - ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:29 GMT 2025","passed","Sun Mar 30 20:25:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","85","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","81","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","92","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","90","Create roles - role name already exists","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","83","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Mar 30 20:25:36 GMT 2025","passed","Sun Mar 30 20:25:36 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","82","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:30 GMT 2025","passed","Sun Mar 30 20:25:30 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","160","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > mfa > request","Bank User","",""
"","135","category by id","QA|Nova Bank - Infopool","Sun Mar 30 20:25:39 GMT 2025","passed","Sun Mar 30 20:25:39 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","105","update notification template","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","passed","Sun Mar 30 20:25:38 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","98","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","78","Create a New Issue - empty priority","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","passed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","103","Search Customers - invalid user phone number","QA|Nova Bank - Infopool","Sun Mar 30 20:25:18 GMT 2025","passed","Sun Mar 30 20:25:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","93","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","168","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:14 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","206","Get all notifications - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:39 GMT 2025","passed","Sun Mar 30 20:25:39 GMT 2025","v1 > Notifications","Bank Admin","",""
"","82","Get Issue by ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:16 GMT 2025","failed","Sun Mar 30 20:25:16 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","Invalid email format","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:11 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","105","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:36 GMT 2025","passed","Sun Mar 30 20:25:36 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","87","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","73","Send user invitation token - empty first name","QA|Nova Bank - Infopool","Sun Mar 30 20:25:15 GMT 2025","passed","Sun Mar 30 20:25:15 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","168","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Mar 30 20:25:29 GMT 2025","failed","Sun Mar 30 20:25:29 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","94","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Mar 30 20:25:36 GMT 2025","passed","Sun Mar 30 20:25:36 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","116","audit trail","QA|Nova Bank - Infopool","Sun Mar 30 20:25:14 GMT 2025","passed","Sun Mar 30 20:25:14 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","87","Fetch all organizations","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","66","Create notification template","QA|Nova Bank - Infopool","Sun Mar 30 20:25:38 GMT 2025","passed","Sun Mar 30 20:25:38 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","163","Search Customers","QA|Nova Bank - Infopool","Sun Mar 30 20:25:17 GMT 2025","passed","Sun Mar 30 20:25:17 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","74","Send user invitation token - empty last name","QA|Nova Bank - Infopool","Sun Mar 30 20:25:15 GMT 2025","passed","Sun Mar 30 20:25:15 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","3192","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Mar 30 20:25:32 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","115","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Mar 30 20:25:35 GMT 2025","passed","Sun Mar 30 20:25:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","4408","Successful login","QA|Nova Bank - Infopool","Sun Mar 30 20:25:03 GMT 2025","passed","Sun Mar 30 20:25:07 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","87","Create organization - empty description","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","89","Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Mar 30 20:25:11 GMT 2025","passed","Sun Mar 30 20:25:12 GMT 2025","v1 > Auth > mfa > verify","Bank User","",""
"","66","Get role permission - role ID does not exist","QA|Nova Bank - Infopool","Sun Mar 30 20:25:37 GMT 2025","passed","Sun Mar 30 20:25:37 GMT 2025","v1 > Roles > Permissions > Get role permissions","Bank Admin","",""
"","3233","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Mar 30 20:25:25 GMT 2025","failed","Sun Mar 30 20:25:29 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","87","Get single definition","QA|Nova Bank - Infopool","Sun Mar 30 20:25:29 GMT 2025","passed","Sun Mar 30 20:25:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3202","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:18 GMT 2025","passed","Sun Mar 30 20:25:21 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","90","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Mar 30 20:25:31 GMT 2025","passed","Sun Mar 30 20:25:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
