"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Create roles - Existing role","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","failed","Tue May 27 23:35:47 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","32","Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 23:35:38 GMT 2025","failed","Tue May 27 23:35:38 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","36","Update user - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","62","verify OTP","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","36","Update user - empty action field","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","712","Successful login","QA|Nova Bank - Infopool","Tue May 27 23:35:23 GMT 2025","passed","Tue May 27 23:35:24 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","34","Get Reports - No auth","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","passed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","broken","Tue May 27 23:35:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","failed","Tue May 27 23:35:32 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","31","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Create a new report","34","Create Report - Empty category","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","40","Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","failed","Tue May 27 23:35:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue May 27 23:35:46 GMT 2025","failed","Tue May 27 23:35:46 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Get profile roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","33","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","84","verifyOTP","QA|Nova Bank - Infopool","Tue May 27 23:35:30 GMT 2025","passed","Tue May 27 23:35:30 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","passed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","33","No Auth - Get all permissions","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","32","Get all permissions","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","failed","Tue May 27 23:35:47 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","33","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","passed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","32","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","34","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Tue May 27 23:35:49 GMT 2025","failed","Tue May 27 23:35:49 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","33","No auth - update role","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","passed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","46","Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","34","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Delete a report (soft delete)","33","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","46","Fetch all users","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","33","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","passed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","38","Update profile","QA|Nova Bank - Infopool","Tue May 27 23:35:32 GMT 2025","failed","Tue May 27 23:35:32 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","34","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","34","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:35:48 GMT 2025","failed","Tue May 27 23:35:48 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","31","Logout session - no session","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:48 GMT 2025","v1 > Logout","Bank Admin","",""
"","3130","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 23:35:41 GMT 2025","failed","Tue May 27 23:35:44 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","35","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","38","Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:35:31 GMT 2025","passed","Tue May 27 23:35:31 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","51","get all category","QA|Nova Bank - Infopool","Tue May 27 23:35:47 GMT 2025","passed","Tue May 27 23:35:47 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue May 27 23:35:33 GMT 2025","passed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","49","Get all definitions","QA|Nova Bank - Infopool","Tue May 27 23:35:44 GMT 2025","passed","Tue May 27 23:35:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","34","Role does not exist - update role","QA|Nova Bank - Infopool","Tue May 27 23:35:45 GMT 2025","failed","Tue May 27 23:35:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","92","Forgot password - successful","QA|Nova Bank - Infopool","Tue May 27 23:35:30 GMT 2025","failed","Tue May 27 23:35:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","52","Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 23:35:34 GMT 2025","failed","Tue May 27 23:35:34 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
