"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:40:31 GMT 2025","passed","Thu Jun 05 23:40:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","41","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","failed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","37","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:40:18 GMT 2025","passed","Thu Jun 05 23:40:18 GMT 2025","v1 > Profile > Password","Bank User","",""
"","35","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:40:21 GMT 2025","passed","Thu Jun 05 23:40:21 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","425","Invalid credentials","QA|Nova Bank - Infopool","Thu Jun 05 23:40:08 GMT 2025","passed","Thu Jun 05 23:40:08 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","238","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:22 GMT 2025","failed","Thu Jun 05 23:40:22 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","24","Create roles - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","28","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","25","successful dashboard embed","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","embed dashboard","Bank User","",""
"","38","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 23:40:15 GMT 2025","passed","Thu Jun 05 23:40:15 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","27","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","232","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:20 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","23","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3146","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:22 GMT 2025","passed","Thu Jun 05 23:40:25 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","34","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:40:16 GMT 2025","passed","Thu Jun 05 23:40:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","25","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","26","Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","24","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","24","Export Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:40:16 GMT 2025","passed","Thu Jun 05 23:40:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","48","Invalid name - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","failed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","23","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","25","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","25","Get Reports","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","245","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","passed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","32","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","passed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","58","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:40:16 GMT 2025","passed","Thu Jun 05 23:40:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","25","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","27","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","24","No auth - get all category","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","27","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Update an existing report","22","Update Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","411","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 23:40:18 GMT 2025","passed","Thu Jun 05 23:40:18 GMT 2025","v1 > Profile > Password","Bank User","",""
"","23","Logout session - no session","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Logout","Bank Admin","",""
"Get a paginated list of reports with optional filtering","25","Get Report Objects - Question","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","54","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:40:17 GMT 2025","passed","Thu Jun 05 23:40:17 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","26","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3100","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:40:26 GMT 2025","failed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","39","Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","failed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","27","update role","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","38","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","failed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","23","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a specific report by ID","23","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","25","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","25","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","24","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","22","Create Report - Duplicate name","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","24","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","39","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","passed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","29","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","309","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","passed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","25","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","57","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:40:16 GMT 2025","passed","Thu Jun 05 23:40:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","27","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","42","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","passed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","1950","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 23:40:32 GMT 2025","passed","Thu Jun 05 23:40:34 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","24","search Corporate Adjustment","QA|Nova Bank - Infopool","Thu Jun 05 23:41:44 GMT 2025","passed","Thu Jun 05 23:41:44 GMT 2025","","corporate Adjustment","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","153","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 23:40:16 GMT 2025","failed","Thu Jun 05 23:40:16 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","24","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","33","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","27","Get Reports Stats","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","23","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","24","No Auth - Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","67","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 23:40:18 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","29","Create roles","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","24","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","39","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:40:21 GMT 2025","passed","Thu Jun 05 23:40:21 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","23","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get a paginated list of reports with optional filtering","26","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","26","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","28","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","42","No email - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 23:40:15 GMT 2025","passed","Thu Jun 05 23:40:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","115","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:22 GMT 2025","passed","Thu Jun 05 23:40:22 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","46","Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","failed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","25","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","56","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","failed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","36","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","passed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Delete a report (soft delete)","25","Delete Report - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","56","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","failed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","37","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","failed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","24","Get role by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Delete a report (soft delete)","23","Delete Report -No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","54","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:40:21 GMT 2025","passed","Thu Jun 05 23:40:21 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","Health","QA|Nova Bank - Infopool","Thu Jun 05 23:41:40 GMT 2025","passed","Thu Jun 05 23:41:40 GMT 2025","v1 > Health","Bank Admin","",""
"","25","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","25","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","26","Export Report Data","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","failed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","155","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 23:40:31 GMT 2025","passed","Thu Jun 05 23:40:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","25","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","41","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 23:40:15 GMT 2025","passed","Thu Jun 05 23:40:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","26","Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","23","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","72","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","passed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","24","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Update an existing report","21","Update Report","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","59","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 23:40:15 GMT 2025","passed","Thu Jun 05 23:40:15 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","56","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","passed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","39","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:40:31 GMT 2025","failed","Thu Jun 05 23:40:31 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","34","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 23:40:29 GMT 2025","failed","Thu Jun 05 23:40:29 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a specific report by ID","23","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","229","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","58","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 23:40:31 GMT 2025","failed","Thu Jun 05 23:40:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","24","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","24","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","25","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 23:41:42 GMT 2025","passed","Thu Jun 05 23:41:42 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","318","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Thu Jun 05 23:40:20 GMT 2025","passed","Thu Jun 05 23:40:20 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","23","category by id","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","58","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 23:40:19 GMT 2025","passed","Thu Jun 05 23:40:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","48","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 23:40:30 GMT 2025","failed","Thu Jun 05 23:40:30 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","26","Get Reports - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a specific report by ID","23","Get Report by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:41:43 GMT 2025","passed","Thu Jun 05 23:41:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","25","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 23:41:41 GMT 2025","passed","Thu Jun 05 23:41:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
