"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","Fetch all users","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Update an existing report","39","Update Report - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","passed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","37","No auth - get user role","QA|Nova Bank - Infopool","Mon Jun 02 12:09:23 GMT 2025","passed","Mon Jun 02 12:09:23 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","36","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","passed","Mon Jun 02 12:09:15 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","38","No auth - category by id","QA|Nova Bank - Infopool","Mon Jun 02 12:09:26 GMT 2025","passed","Mon Jun 02 12:09:26 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","43","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Mon Jun 02 12:09:09 GMT 2025","passed","Mon Jun 02 12:09:09 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","143","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","passed","Mon Jun 02 12:09:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","Update user - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","39","Export Report Data","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","failed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","35","Get roles - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","38","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","failed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","41","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","53","get all category","QA|Nova Bank - Infopool","Mon Jun 02 12:09:26 GMT 2025","passed","Mon Jun 02 12:09:26 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","45","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","Fetch Customers Accounts","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","failed","Mon Jun 02 12:09:15 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","41","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Mon Jun 02 12:09:24 GMT 2025","failed","Mon Jun 02 12:09:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","passed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","42","Update Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:10 GMT 2025","failed","Mon Jun 02 12:09:10 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Update an existing report","107","Update Report","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","passed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","37","Update Customer Comment","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","failed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","37","No Auth - Fetch all users","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","45","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:06 GMT 2025","passed","Mon Jun 02 12:09:06 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","494","Create a New Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:09 GMT 2025","passed","Mon Jun 02 12:09:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","failed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","66","Search Customers","QA|Nova Bank - Infopool","Mon Jun 02 12:09:12 GMT 2025","passed","Mon Jun 02 12:09:12 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","106","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","56","Add Comment to Customer","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","failed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","126","Weak password - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:07 GMT 2025","passed","Mon Jun 02 12:09:07 GMT 2025","v1 > Profile > Password","Bank User","",""
"","120","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:10 GMT 2025","failed","Mon Jun 02 12:09:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","Health","QA|Nova Bank - Infopool","Mon Jun 02 12:09:15 GMT 2025","passed","Mon Jun 02 12:09:15 GMT 2025","v1 > Health","Bank Admin","",""
"","51","Get single definition","QA|Nova Bank - Infopool","Mon Jun 02 12:09:16 GMT 2025","passed","Mon Jun 02 12:09:16 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","121","Invalid current password - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:09:07 GMT 2025","passed","Mon Jun 02 12:09:07 GMT 2025","v1 > Profile > Password","Bank User","",""
"","167","Add Comment to Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:11 GMT 2025","passed","Mon Jun 02 12:09:11 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","60","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Mon Jun 02 12:09:24 GMT 2025","passed","Mon Jun 02 12:09:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","44","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:09:10 GMT 2025","passed","Mon Jun 02 12:09:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","37","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","160","Get events - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","passed","Mon Jun 02 12:09:08 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","61","managers","QA|Nova Bank - Infopool","Mon Jun 02 12:09:25 GMT 2025","passed","Mon Jun 02 12:09:25 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","45","Update profile - invalid phone number","QA|Nova Bank - Infopool","Mon Jun 02 12:09:08 GMT 2025","passed","Mon Jun 02 12:09:08 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","Send user invitation token - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:09 GMT 2025","passed","Mon Jun 02 12:09:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","151","verify OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:09:07 GMT 2025","passed","Mon Jun 02 12:09:07 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","37","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","37","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Mon Jun 02 12:09:12 GMT 2025","failed","Mon Jun 02 12:09:12 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","41","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Mon Jun 02 12:09:09 GMT 2025","passed","Mon Jun 02 12:09:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","Get profile roles - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:07 GMT 2025","passed","Mon Jun 02 12:09:07 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","40","Export Report Data - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:09:28 GMT 2025","passed","Mon Jun 02 12:09:28 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","48","Fetch user by ID - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:09:22 GMT 2025","passed","Mon Jun 02 12:09:22 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
