"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Feb 15 20:14:41 UTC 2026","broken","Sun Feb 15 20:14:41 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","62","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Feb 15 20:14:51 UTC 2026","broken","Sun Feb 15 20:14:51 UTC 2026","","corporate Adjustment","",""
"","64","Create organization - empty description","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","58","Logout session successfully","QA|Nova Bank - Infopool","Sun Feb 15 20:14:49 UTC 2026","broken","Sun Feb 15 20:14:49 UTC 2026","v1 > Logout","Bank Admin","",""
"","54","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","61","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","58","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Feb 15 20:14:41 UTC 2026","broken","Sun Feb 15 20:14:41 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","56","Get all Issues","QA|Nova Bank - Infopool","Sun Feb 15 20:14:41 UTC 2026","broken","Sun Feb 15 20:14:41 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","58","Update role status","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","57","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","60","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","144","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 15 20:14:37 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","129","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Feb 15 20:14:41 UTC 2026","broken","Sun Feb 15 20:14:41 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","60","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:40 UTC 2026","broken","Sun Feb 15 20:14:40 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","103","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 15 20:14:37 UTC 2026","broken","Sun Feb 15 20:14:37 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","54","Get Report by ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:50 UTC 2026","broken","Sun Feb 15 20:14:50 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","61","update role","QA|Nova Bank - Infopool","Sun Feb 15 20:14:45 UTC 2026","broken","Sun Feb 15 20:14:45 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","64","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","63","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","58","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","59","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:48 UTC 2026","broken","Sun Feb 15 20:14:48 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","62","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","89","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 15 20:14:40 UTC 2026","broken","Sun Feb 15 20:14:40 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","60","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 15 20:14:40 UTC 2026","broken","Sun Feb 15 20:14:40 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","63","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Feb 15 20:14:50 UTC 2026","broken","Sun Feb 15 20:14:50 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","58","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Feb 15 20:14:45 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","60","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","63","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Feb 15 20:14:51 UTC 2026","broken","Sun Feb 15 20:14:51 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","60","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","59","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","59","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Feb 15 20:14:44 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","65","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Feb 15 20:14:39 UTC 2026","broken","Sun Feb 15 20:14:39 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","61","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","58","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","60","No auth - get user role","QA|Nova Bank - Infopool","Sun Feb 15 20:14:45 UTC 2026","broken","Sun Feb 15 20:14:45 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","60","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","58","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","57","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:46 UTC 2026","broken","Sun Feb 15 20:14:46 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","57","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Feb 15 20:14:42 UTC 2026","broken","Sun Feb 15 20:14:42 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","68","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Feb 15 20:14:51 UTC 2026","broken","Sun Feb 15 20:14:51 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","65","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:47 UTC 2026","broken","Sun Feb 15 20:14:47 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","64","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 15 20:14:40 UTC 2026","broken","Sun Feb 15 20:14:41 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","64","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 15 20:14:41 UTC 2026","broken","Sun Feb 15 20:14:41 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","60","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Feb 15 20:14:43 UTC 2026","broken","Sun Feb 15 20:14:43 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
