"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Jan 28 18:59:34 UTC 2026","broken","Wed Jan 28 18:59:34 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","124","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Jan 28 18:59:41 UTC 2026","broken","Wed Jan 28 18:59:41 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","130","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed Jan 28 18:59:57 UTC 2026","broken","Wed Jan 28 18:59:57 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","122","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:53 UTC 2026","broken","Wed Jan 28 18:59:53 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","126","Get all definitions","QA|Nova Bank - Infopool","Wed Jan 28 18:59:43 UTC 2026","broken","Wed Jan 28 18:59:43 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","126","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","130","Change password - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:32 UTC 2026","broken","Wed Jan 28 18:59:32 UTC 2026","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","125","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:55 UTC 2026","broken","Wed Jan 28 18:59:55 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","150","No user credentials","QA|Nova Bank - Infopool","Wed Jan 28 18:59:29 UTC 2026","broken","Wed Jan 28 18:59:30 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","126","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:48 UTC 2026","broken","Wed Jan 28 18:59:48 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","128","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:31 UTC 2026","broken","Wed Jan 28 18:59:32 UTC 2026","v1 > Profile > Roles","Bank User","",""
"Create a new report","123","Create Report - No auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:56 UTC 2026","broken","Wed Jan 28 18:59:56 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","126","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Jan 28 18:59:49 UTC 2026","broken","Wed Jan 28 18:59:49 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","130","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:36 UTC 2026","broken","Wed Jan 28 18:59:37 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","132","Export Report Data","QA|Nova Bank - Infopool","Wed Jan 28 18:59:58 UTC 2026","broken","Wed Jan 28 18:59:58 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","125","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:53 UTC 2026","broken","Wed Jan 28 18:59:53 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","125","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","125","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Jan 28 18:59:40 UTC 2026","broken","Wed Jan 28 18:59:40 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","126","Update Report - No auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:57 UTC 2026","broken","Wed Jan 28 18:59:57 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","124","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Jan 28 18:59:58 UTC 2026","broken","Wed Jan 28 18:59:58 UTC 2026","","corporate Adjustment","",""
"Update an existing report","124","Update Report","QA|Nova Bank - Infopool","Wed Jan 28 18:59:56 UTC 2026","broken","Wed Jan 28 18:59:57 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","132","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","127","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed Jan 28 18:59:49 UTC 2026","broken","Wed Jan 28 18:59:49 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","133","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:32 UTC 2026","broken","Wed Jan 28 18:59:32 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","125","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","144","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Jan 28 18:59:37 UTC 2026","broken","Wed Jan 28 18:59:37 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","126","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","127","Update profile - no auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:33 UTC 2026","broken","Wed Jan 28 18:59:33 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","152","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Jan 28 18:59:30 UTC 2026","broken","Wed Jan 28 18:59:30 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","127","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Jan 28 18:59:33 UTC 2026","broken","Wed Jan 28 18:59:33 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","133","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Jan 28 18:59:44 UTC 2026","broken","Wed Jan 28 18:59:44 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","123","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Jan 28 18:59:37 UTC 2026","broken","Wed Jan 28 18:59:37 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","126","Logout session - no session","QA|Nova Bank - Infopool","Wed Jan 28 18:59:54 UTC 2026","broken","Wed Jan 28 18:59:54 UTC 2026","v1 > Logout","Bank Admin","",""
"","125","Health","QA|Nova Bank - Infopool","Wed Jan 28 18:59:43 UTC 2026","broken","Wed Jan 28 18:59:43 UTC 2026","v1 > Health","Bank Admin","",""
"","127","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:58 UTC 2026","broken","Wed Jan 28 18:59:58 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","135","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 28 18:59:31 UTC 2026","broken","Wed Jan 28 18:59:31 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","132","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Jan 28 18:59:48 UTC 2026","broken","Wed Jan 28 18:59:48 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","139","Forgot password - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:30 UTC 2026","broken","Wed Jan 28 18:59:30 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Delete a report (soft delete)","125","Delete Report -No auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:57 UTC 2026","broken","Wed Jan 28 18:59:57 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","129","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:32 UTC 2026","broken","Wed Jan 28 18:59:32 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","128","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Jan 28 18:59:47 UTC 2026","broken","Wed Jan 28 18:59:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","127","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:51 UTC 2026","broken","Wed Jan 28 18:59:51 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","122","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jan 28 18:59:41 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","122","Update user - empty action field","QA|Nova Bank - Infopool","Wed Jan 28 18:59:45 UTC 2026","broken","Wed Jan 28 18:59:45 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","133","No auth - get user role","QA|Nova Bank - Infopool","Wed Jan 28 18:59:45 UTC 2026","broken","Wed Jan 28 18:59:46 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","124","Create organization - no name","QA|Nova Bank - Infopool","Wed Jan 28 18:59:46 UTC 2026","broken","Wed Jan 28 18:59:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","125","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Jan 28 18:59:40 UTC 2026","broken","Wed Jan 28 18:59:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","127","Update role status","QA|Nova Bank - Infopool","Wed Jan 28 18:59:52 UTC 2026","broken","Wed Jan 28 18:59:52 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","128","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Jan 28 18:59:48 UTC 2026","broken","Wed Jan 28 18:59:48 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","128","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Jan 28 18:59:40 UTC 2026","broken","Wed Jan 28 18:59:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","125","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Jan 28 18:59:52 UTC 2026","broken","Wed Jan 28 18:59:52 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","128","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Jan 28 18:59:45 UTC 2026","broken","Wed Jan 28 18:59:45 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","126","Create roles","QA|Nova Bank - Infopool","Wed Jan 28 18:59:52 UTC 2026","broken","Wed Jan 28 18:59:52 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","126","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:44 UTC 2026","broken","Wed Jan 28 18:59:44 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","125","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","141","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed Jan 28 18:59:34 UTC 2026","broken","Wed Jan 28 18:59:34 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","125","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed Jan 28 18:59:55 UTC 2026","broken","Wed Jan 28 18:59:55 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","128","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:39 UTC 2026","broken","Wed Jan 28 18:59:39 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","130","Update Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:37 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","129","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed Jan 28 18:59:47 UTC 2026","broken","Wed Jan 28 18:59:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","133","Get all Issues","QA|Nova Bank - Infopool","Wed Jan 28 18:59:37 UTC 2026","broken","Wed Jan 28 18:59:37 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","125","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","122","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:35 UTC 2026","broken","Wed Jan 28 18:59:35 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","123","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed Jan 28 18:59:55 UTC 2026","broken","Wed Jan 28 18:59:55 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","126","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Jan 28 18:59:41 UTC 2026","broken","Wed Jan 28 18:59:41 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","123","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Jan 28 18:59:41 UTC 2026","broken","Wed Jan 28 18:59:41 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","124","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jan 28 18:59:39 UTC 2026","broken","Wed Jan 28 18:59:39 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","125","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:48 UTC 2026","broken","Wed Jan 28 18:59:49 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","129","Get events - no auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:34 UTC 2026","broken","Wed Jan 28 18:59:34 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"Delete a report (soft delete)","125","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed Jan 28 18:59:57 UTC 2026","broken","Wed Jan 28 18:59:57 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","124","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:44 UTC 2026","broken","Wed Jan 28 18:59:44 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","137","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:39 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","123","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:55 UTC 2026","broken","Wed Jan 28 18:59:55 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","128","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Jan 28 18:59:47 UTC 2026","broken","Wed Jan 28 18:59:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","127","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","127","Fetch all users","QA|Nova Bank - Infopool","Wed Jan 28 18:59:44 UTC 2026","broken","Wed Jan 28 18:59:45 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","128","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:49 UTC 2026","broken","Wed Jan 28 18:59:49 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","135","Create  organization","QA|Nova Bank - Infopool","Wed Jan 28 18:59:46 UTC 2026","broken","Wed Jan 28 18:59:46 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","125","audit-search","QA|Nova Bank - Infopool","Wed Jan 28 18:59:35 UTC 2026","broken","Wed Jan 28 18:59:35 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","128","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Jan 28 18:59:35 UTC 2026","broken","Wed Jan 28 18:59:35 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","128","Get Issue by ID","QA|Nova Bank - Infopool","Wed Jan 28 18:59:37 UTC 2026","broken","Wed Jan 28 18:59:37 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","130","Empty new password - Change password","QA|Nova Bank - Infopool","Wed Jan 28 18:59:33 UTC 2026","broken","Wed Jan 28 18:59:33 UTC 2026","v1 > Profile > Password","Bank User","",""
"","124","Fetch all organizations","QA|Nova Bank - Infopool","Wed Jan 28 18:59:48 UTC 2026","broken","Wed Jan 28 18:59:48 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","155","Create a New Issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:36 UTC 2026","broken","Wed Jan 28 18:59:36 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","127","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jan 28 18:59:42 UTC 2026","broken","Wed Jan 28 18:59:42 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","136","search Corporate Adjustment","QA|Nova Bank - Infopool","Wed Jan 28 18:59:58 UTC 2026","broken","Wed Jan 28 18:59:59 UTC 2026","","corporate Adjustment","",""
"Get a specific report by ID","125","Get Report by UUID","QA|Nova Bank - Infopool","Wed Jan 28 18:59:56 UTC 2026","broken","Wed Jan 28 18:59:56 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","126","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:51 UTC 2026","broken","Wed Jan 28 18:59:51 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","130","Update profile - no phone number","QA|Nova Bank - Infopool","Wed Jan 28 18:59:33 UTC 2026","broken","Wed Jan 28 18:59:33 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","125","Get roles - successful","QA|Nova Bank - Infopool","Wed Jan 28 18:59:51 UTC 2026","broken","Wed Jan 28 18:59:51 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","140","reset password","QA|Nova Bank - Infopool","Wed Jan 28 18:59:30 UTC 2026","broken","Wed Jan 28 18:59:30 UTC 2026","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","124","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed Jan 28 18:59:49 UTC 2026","broken","Wed Jan 28 18:59:49 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","128","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Jan 28 18:59:38 UTC 2026","broken","Wed Jan 28 18:59:38 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
