"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri May 30 21:01:09 GMT 2025","passed","Fri May 30 21:01:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","81","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 21:01:13 GMT 2025","passed","Fri May 30 21:01:13 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 21:00:40 GMT 2025","passed","Fri May 30 21:00:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 21:00:44 GMT 2025","passed","Fri May 30 21:00:44 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Delete a report (soft delete)","81","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 21:01:21 GMT 2025","failed","Fri May 30 21:01:21 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","82","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 21:00:59 GMT 2025","failed","Fri May 30 21:00:59 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","80","No auth - update role","QA|Nova Bank - Infopool","Fri May 30 21:01:07 GMT 2025","passed","Fri May 30 21:01:07 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","81","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri May 30 21:00:53 GMT 2025","passed","Fri May 30 21:00:53 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","78","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 21:01:12 GMT 2025","passed","Fri May 30 21:01:12 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a specific report by ID","81","Get Report by ID","QA|Nova Bank - Infopool","Fri May 30 21:01:13 GMT 2025","failed","Fri May 30 21:01:13 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","87","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri May 30 21:00:42 GMT 2025","passed","Fri May 30 21:00:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","84","No Auth - Change password","QA|Nova Bank - Infopool","Fri May 30 21:00:41 GMT 2025","passed","Fri May 30 21:00:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Update user - empty action field","QA|Nova Bank - Infopool","Fri May 30 21:01:06 GMT 2025","failed","Fri May 30 21:01:06 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 21:00:40 GMT 2025","passed","Fri May 30 21:00:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","77","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 21:01:10 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","95","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri May 30 21:01:10 GMT 2025","passed","Fri May 30 21:01:10 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
