"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1204","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 21:42:49 GMT 2025","passed","Sun Jun 08 21:42:50 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","262","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:43:12 GMT 2025","failed","Sun Jun 08 21:43:12 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","62","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:43:13 GMT 2025","passed","Sun Jun 08 21:43:13 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Delete a report (soft delete)","31","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","352","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 21:43:23 GMT 2025","passed","Sun Jun 08 21:43:24 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","53","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:43:14 GMT 2025","failed","Sun Jun 08 21:43:14 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","53","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:43:11 GMT 2025","passed","Sun Jun 08 21:43:11 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","339","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:44:38 GMT 2025","passed","Sun Jun 08 21:44:38 GMT 2025","","corporate Adjustment","",""
"","50","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:43:11 GMT 2025","passed","Sun Jun 08 21:43:11 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","268","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:42:59 GMT 2025","passed","Sun Jun 08 21:43:00 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","132","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:43:02 GMT 2025","passed","Sun Jun 08 21:43:02 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","33","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","151","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 21:44:38 GMT 2025","passed","Sun Jun 08 21:44:38 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","31","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","34","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:43:13 GMT 2025","failed","Sun Jun 08 21:43:13 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","550","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:43:01 GMT 2025","passed","Sun Jun 08 21:43:01 GMT 2025","v1 > Profile > Password","Bank User","",""
"","33","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","34","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","41","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:43:03 GMT 2025","passed","Sun Jun 08 21:43:03 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","33","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","55","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 21:42:58 GMT 2025","passed","Sun Jun 08 21:42:58 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","114","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","failed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","35","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","31","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","149","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:43:08 GMT 2025","passed","Sun Jun 08 21:43:08 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","34","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","33","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","252","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 21:43:03 GMT 2025","passed","Sun Jun 08 21:43:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","228","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:44:38 GMT 2025","passed","Sun Jun 08 21:44:39 GMT 2025","","corporate Adjustment","",""
"Delete a report (soft delete)","32","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","49","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:43:01 GMT 2025","passed","Sun Jun 08 21:43:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","35","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","60","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:43:14 GMT 2025","passed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","1141","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:43:16 GMT 2025","passed","Sun Jun 08 21:43:17 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","33","category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","148","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:43:16 GMT 2025","passed","Sun Jun 08 21:43:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","35","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","33","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:44:35 GMT 2025","passed","Sun Jun 08 21:44:35 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","40","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","failed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Delete a report (soft delete)","33","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","38","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:43:02 GMT 2025","passed","Sun Jun 08 21:43:02 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","268","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:43:14 GMT 2025","passed","Sun Jun 08 21:43:14 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","35","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 21:44:33 GMT 2025","passed","Sun Jun 08 21:44:33 GMT 2025","embed dashboard","Bank User","",""
"","44","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:43:15 GMT 2025","passed","Sun Jun 08 21:43:15 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","50","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:43:11 GMT 2025","passed","Sun Jun 08 21:43:11 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","36","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:44:34 GMT 2025","passed","Sun Jun 08 21:44:34 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","128","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:42:58 GMT 2025","passed","Sun Jun 08 21:42:58 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a specific report by ID","32","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:44:37 GMT 2025","passed","Sun Jun 08 21:44:37 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","35","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:44:36 GMT 2025","passed","Sun Jun 08 21:44:36 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
