"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","failed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","71","No auth - update role","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","71","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","73","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","failed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","71","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","failed","Sun Sep 14 20:10:58 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","74","Create  organization","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","70","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","failed","Sun Sep 14 20:11:00 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","71","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","failed","Sun Sep 14 20:10:58 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","120","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","73","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:43 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","70","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Sep 14 20:10:44 UTC 2025","passed","Sun Sep 14 20:10:44 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","72","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Sep 14 20:10:43 UTC 2025","failed","Sun Sep 14 20:10:43 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","75","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","71","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","70","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","71","managers","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","failed","Sun Sep 14 20:10:58 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","71","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:54 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","74","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:40 UTC 2025","failed","Sun Sep 14 20:10:40 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","71","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","passed","Sun Sep 14 20:10:59 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","72","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","71","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","passed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","75","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Get a specific report by ID","70","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Sep 14 20:11:01 UTC 2025","failed","Sun Sep 14 20:11:01 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","71","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Sep 14 20:10:54 UTC 2025","failed","Sun Sep 14 20:10:54 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","69","Get Reports Stats","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","failed","Sun Sep 14 20:11:00 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","72","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","failed","Sun Sep 14 20:10:58 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","69","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","72","Logout session successfully","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","failed","Sun Sep 14 20:11:00 UTC 2025","v1 > Logout","Bank Admin","",""
"","72","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","73","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","passed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","71","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","passed","Sun Sep 14 20:10:53 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","71","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","76","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","passed","Sun Sep 14 20:10:42 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","70","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","passed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","72","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","failed","Sun Sep 14 20:10:53 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","71","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","failed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","72","Get events - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","72","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","73","Update Customer Comment","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","75","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","73","Create Report","QA|Nova Bank - Infopool","Sun Sep 14 20:11:07 UTC 2025","failed","Sun Sep 14 20:11:07 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","414","Create a New Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:43 UTC 2025","failed","Sun Sep 14 20:10:43 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","71","Update profile - no auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","71","get user role","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","71","audit trail","QA|Nova Bank - Infopool","Sun Sep 14 20:10:42 UTC 2025","failed","Sun Sep 14 20:10:42 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Create a new report","78","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Sep 14 20:11:07 UTC 2025","failed","Sun Sep 14 20:11:07 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","70","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","passed","Sun Sep 14 20:10:53 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Delete a report (soft delete)","70","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","70","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","72","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","71","Create organization - no name","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","87","Invalid credentials","QA|Nova Bank - Infopool","Sun Sep 14 20:10:39 UTC 2025","failed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","69","Get roles - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","passed","Sun Sep 14 20:10:58 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","69","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","passed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","76","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Sep 14 20:10:45 UTC 2025","failed","Sun Sep 14 20:10:45 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Update an existing report","71","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Sep 14 20:11:07 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","3159","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Sep 14 20:10:47 UTC 2025","failed","Sun Sep 14 20:10:50 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","73","Change password - successful","QA|Nova Bank - Infopool","Sun Sep 14 20:10:40 UTC 2025","failed","Sun Sep 14 20:10:40 UTC 2025","v1 > Profile > Password","Bank User","",""
"","3122","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Sep 14 20:10:50 UTC 2025","failed","Sun Sep 14 20:10:53 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get a paginated list of reports with optional filtering","74","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","failed","Sun Sep 14 20:11:00 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","72","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:58 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","72","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:11:00 UTC 2025","passed","Sun Sep 14 20:11:00 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","72","Get all definitions","QA|Nova Bank - Infopool","Sun Sep 14 20:10:53 UTC 2025","failed","Sun Sep 14 20:10:53 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","72","Get all permissions","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","72","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:57 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","72","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","passed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","70","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Sep 14 20:10:44 UTC 2025","failed","Sun Sep 14 20:10:44 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","72","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","72","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Sep 14 20:10:41 UTC 2025","failed","Sun Sep 14 20:10:41 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","70","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:59 UTC 2025","passed","Sun Sep 14 20:10:59 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","71","Update user - invalid action","QA|Nova Bank - Infopool","Sun Sep 14 20:10:55 UTC 2025","failed","Sun Sep 14 20:10:55 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","72","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Sep 14 20:11:08 UTC 2025","failed","Sun Sep 14 20:11:08 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","71","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:56 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","70","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Sep 14 20:10:46 UTC 2025","failed","Sun Sep 14 20:10:46 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","78","verifyOTP","QA|Nova Bank - Infopool","Sun Sep 14 20:10:39 UTC 2025","failed","Sun Sep 14 20:10:39 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","71","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Sep 14 20:10:47 UTC 2025","failed","Sun Sep 14 20:10:47 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","75","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Sep 14 20:10:56 UTC 2025","failed","Sun Sep 14 20:10:57 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","71","Create roles - No auth","QA|Nova Bank - Infopool","Sun Sep 14 20:10:58 UTC 2025","failed","Sun Sep 14 20:10:59 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
