"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Jun 18 18:50:12 GMT 2025","passed","Wed Jun 18 18:50:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","95","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:01 GMT 2025","passed","Wed Jun 18 18:50:01 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","6225","Invalid email format","QA|Nova Bank - Infopool","Wed Jun 18 18:49:52 GMT 2025","passed","Wed Jun 18 18:49:58 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","164","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:31 GMT 2025","passed","Wed Jun 18 18:50:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","81","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Jun 18 18:50:48 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","82","Get events - no auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:04 GMT 2025","passed","Wed Jun 18 18:50:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","152","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed Jun 18 18:50:05 GMT 2025","passed","Wed Jun 18 18:50:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","258","Get Issue by ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:14 GMT 2025","passed","Wed Jun 18 18:50:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","93","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","142","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jun 18 18:50:01 GMT 2025","failed","Wed Jun 18 18:50:01 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","83","Get profile - No Auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:03 GMT 2025","passed","Wed Jun 18 18:50:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","82","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:16 GMT 2025","passed","Wed Jun 18 18:50:16 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","103","Fetch all users","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","306","audit-search","QA|Nova Bank - Infopool","Wed Jun 18 18:50:05 GMT 2025","passed","Wed Jun 18 18:50:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","109","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","93","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","passed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed Jun 18 18:50:38 GMT 2025","passed","Wed Jun 18 18:50:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","82","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:05 GMT 2025","passed","Wed Jun 18 18:50:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","150","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","passed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","93","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","passed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","93","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","passed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","250","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:13 GMT 2025","passed","Wed Jun 18 18:50:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","144","audit trail","QA|Nova Bank - Infopool","Wed Jun 18 18:50:05 GMT 2025","passed","Wed Jun 18 18:50:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jun 18 18:50:00 GMT 2025","passed","Wed Jun 18 18:50:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","93","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","passed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jun 18 18:50:17 GMT 2025","passed","Wed Jun 18 18:50:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","83","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Jun 18 18:50:35 GMT 2025","passed","Wed Jun 18 18:50:35 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","94","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:14 GMT 2025","passed","Wed Jun 18 18:50:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","171","add_comment_successfully","QA|Nova Bank - Infopool","Wed Jun 18 18:50:16 GMT 2025","passed","Wed Jun 18 18:50:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","85","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Jun 18 18:50:05 GMT 2025","passed","Wed Jun 18 18:50:06 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","185","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:14 GMT 2025","failed","Wed Jun 18 18:50:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","133","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Jun 18 18:50:31 GMT 2025","failed","Wed Jun 18 18:50:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","82","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","84","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jun 18 18:50:35 GMT 2025","passed","Wed Jun 18 18:50:35 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","91","No auth - update role","QA|Nova Bank - Infopool","Wed Jun 18 18:50:44 GMT 2025","passed","Wed Jun 18 18:50:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","3177","get user role","QA|Nova Bank - Infopool","Wed Jun 18 18:50:38 GMT 2025","passed","Wed Jun 18 18:50:41 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","82","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","failed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","6250","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:18 GMT 2025","failed","Wed Jun 18 18:50:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","92","Create organization - no country ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:45 GMT 2025","passed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","550","Get profile - successfully","QA|Nova Bank - Infopool","Wed Jun 18 18:50:03 GMT 2025","passed","Wed Jun 18 18:50:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","101","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed Jun 18 18:50:04 GMT 2025","passed","Wed Jun 18 18:50:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","83","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:16 GMT 2025","passed","Wed Jun 18 18:50:16 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jun 18 18:50:01 GMT 2025","passed","Wed Jun 18 18:50:01 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","88","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed Jun 18 18:50:12 GMT 2025","passed","Wed Jun 18 18:50:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","157","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Jun 18 18:50:05 GMT 2025","passed","Wed Jun 18 18:50:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","83","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Jun 18 18:50:03 GMT 2025","passed","Wed Jun 18 18:50:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","83","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","failed","Wed Jun 18 18:50:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","111","successful dashboard embed","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","passed","Wed Jun 18 18:50:36 GMT 2025","embed dashboard","Bank User","",""
"","100","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Jun 18 18:50:16 GMT 2025","passed","Wed Jun 18 18:50:17 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","80","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:16 GMT 2025","passed","Wed Jun 18 18:50:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","302","Search Customers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:17 GMT 2025","failed","Wed Jun 18 18:50:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","6275","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:24 GMT 2025","failed","Wed Jun 18 18:50:31 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","149","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jun 18 18:50:17 GMT 2025","passed","Wed Jun 18 18:50:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","115","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Jun 18 18:50:45 GMT 2025","passed","Wed Jun 18 18:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","268","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed Jun 18 18:50:02 GMT 2025","passed","Wed Jun 18 18:50:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","211","Get events - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:04 GMT 2025","passed","Wed Jun 18 18:50:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","142","Get all Issues","QA|Nova Bank - Infopool","Wed Jun 18 18:50:14 GMT 2025","failed","Wed Jun 18 18:50:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","191","update role","QA|Nova Bank - Infopool","Wed Jun 18 18:50:44 GMT 2025","passed","Wed Jun 18 18:50:44 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","103","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:15 GMT 2025","passed","Wed Jun 18 18:50:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","89","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","failed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","failed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed Jun 18 18:50:45 GMT 2025","passed","Wed Jun 18 18:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","101","Create organization - no name","QA|Nova Bank - Infopool","Wed Jun 18 18:50:45 GMT 2025","passed","Wed Jun 18 18:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Health","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","failed","Wed Jun 18 18:50:36 GMT 2025","v1 > Health","Bank Admin","",""
"","295","Update profile - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:03 GMT 2025","passed","Wed Jun 18 18:50:04 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","96","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","passed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3198","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed Jun 18 18:50:09 GMT 2025","passed","Wed Jun 18 18:50:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","84","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed Jun 18 18:50:32 GMT 2025","passed","Wed Jun 18 18:50:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","84","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:04 GMT 2025","passed","Wed Jun 18 18:50:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","82","No Auth - Change password","QA|Nova Bank - Infopool","Wed Jun 18 18:50:02 GMT 2025","passed","Wed Jun 18 18:50:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","96","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","passed","Wed Jun 18 18:50:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","88","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:31 GMT 2025","passed","Wed Jun 18 18:50:31 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","106","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Jun 18 18:50:45 GMT 2025","passed","Wed Jun 18 18:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","119","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Jun 18 18:50:35 GMT 2025","failed","Wed Jun 18 18:50:35 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","84","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jun 18 18:50:47 GMT 2025","passed","Wed Jun 18 18:50:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","135","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Jun 18 18:50:06 GMT 2025","passed","Wed Jun 18 18:50:06 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","163","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:16 GMT 2025","passed","Wed Jun 18 18:50:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","85","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","115","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed Jun 18 18:50:45 GMT 2025","passed","Wed Jun 18 18:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","102","Get roles - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:49 GMT 2025","passed","Wed Jun 18 18:50:49 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","213","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Jun 18 18:50:48 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","81","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Jun 18 18:50:46 GMT 2025","passed","Wed Jun 18 18:50:46 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","2846","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jun 18 18:50:32 GMT 2025","passed","Wed Jun 18 18:50:35 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","96","Update profile","QA|Nova Bank - Infopool","Wed Jun 18 18:50:04 GMT 2025","failed","Wed Jun 18 18:50:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","125","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Jun 18 18:50:48 GMT 2025","passed","Wed Jun 18 18:50:48 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","97","Get single definition","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","passed","Wed Jun 18 18:50:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Jun 18 18:50:37 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","251","Invalid credentials","QA|Nova Bank - Infopool","Wed Jun 18 18:49:52 GMT 2025","passed","Wed Jun 18 18:49:52 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","256","Update Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:15 GMT 2025","passed","Wed Jun 18 18:50:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","87","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Jun 18 18:50:24 GMT 2025","passed","Wed Jun 18 18:50:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","195","Update definition","QA|Nova Bank - Infopool","Wed Jun 18 18:50:36 GMT 2025","passed","Wed Jun 18 18:50:37 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","91","Empty new password - Change password","QA|Nova Bank - Infopool","Wed Jun 18 18:50:02 GMT 2025","passed","Wed Jun 18 18:50:03 GMT 2025","v1 > Profile > Password","Bank User","",""
"","1041","Create a New Issue","QA|Nova Bank - Infopool","Wed Jun 18 18:50:12 GMT 2025","passed","Wed Jun 18 18:50:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","467","reset password","QA|Nova Bank - Infopool","Wed Jun 18 18:50:00 GMT 2025","passed","Wed Jun 18 18:50:00 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","517","verifyOTP","QA|Nova Bank - Infopool","Wed Jun 18 18:49:59 GMT 2025","passed","Wed Jun 18 18:49:59 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","84","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Jun 18 18:50:17 GMT 2025","passed","Wed Jun 18 18:50:17 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jun 18 18:50:00 GMT 2025","passed","Wed Jun 18 18:50:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
