"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","33","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","41","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:16:40 GMT 2025","passed","Sun Jun 08 22:16:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","48","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:16:27 GMT 2025","passed","Sun Jun 08 22:16:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","153","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:16:53 GMT 2025","passed","Sun Jun 08 22:16:53 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","30","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","46","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:16:52 GMT 2025","passed","Sun Jun 08 22:16:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","54","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:16:30 GMT 2025","passed","Sun Jun 08 22:16:30 GMT 2025","v1 > Profile > Password","Bank User","",""
"","145","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:16:52 GMT 2025","passed","Sun Jun 08 22:16:53 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","33","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","51","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:16:40 GMT 2025","passed","Sun Jun 08 22:16:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Delete a report (soft delete)","31","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","30","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Logout","Bank Admin","",""
"","32","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","32","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a paginated list of reports with optional filtering","31","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 22:18:07 GMT 2025","passed","Sun Jun 08 22:18:07 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","32","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:16:27 GMT 2025","passed","Sun Jun 08 22:16:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","120","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:16:39 GMT 2025","passed","Sun Jun 08 22:16:39 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","32","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","31","Health","QA|Nova Bank - Infopool","Sun Jun 08 22:18:04 GMT 2025","passed","Sun Jun 08 22:18:04 GMT 2025","v1 > Health","Bank Admin","",""
"","33","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 22:18:05 GMT 2025","passed","Sun Jun 08 22:18:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:18:06 GMT 2025","passed","Sun Jun 08 22:18:06 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","102","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 22:16:42 GMT 2025","failed","Sun Jun 08 22:16:42 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","43","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:16:38 GMT 2025","passed","Sun Jun 08 22:16:38 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","43","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:16:29 GMT 2025","passed","Sun Jun 08 22:16:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"Delete a report (soft delete)","33","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 22:18:08 GMT 2025","passed","Sun Jun 08 22:18:08 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
