"","81","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Delete a report (soft delete)","78","Delete Report -No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:47 UTC 2025","failed","Wed Oct 08 18:49:47 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","77","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Oct 08 18:49:32 UTC 2025","passed","Wed Oct 08 18:49:32 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","Update profile - no auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:19 UTC 2025","failed","Wed Oct 08 18:49:19 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","81","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:20 UTC 2025","failed","Wed Oct 08 18:49:20 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","82","Create organization - empty description","QA|Nova Bank - Infopool","Wed Oct 08 18:49:34 UTC 2025","failed","Wed Oct 08 18:49:35 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","474","Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 08 18:49:21 UTC 2025","failed","Wed Oct 08 18:49:22 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","79","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Oct 08 18:49:31 UTC 2025","failed","Wed Oct 08 18:49:31 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","79","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed Oct 08 18:49:38 UTC 2025","failed","Wed Oct 08 18:49:38 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","93","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:18 UTC 2025","failed","Wed Oct 08 18:49:18 UTC 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","85","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Oct 08 18:49:46 UTC 2025","passed","Wed Oct 08 18:49:46 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","79","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Oct 08 18:49:37 UTC 2025","failed","Wed Oct 08 18:49:37 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","78","Search Customers","QA|Nova Bank - Infopool","Wed Oct 08 18:49:24 UTC 2025","failed","Wed Oct 08 18:49:24 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
