"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","failed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","83","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue Jun 03 17:59:57 GMT 2025","failed","Tue Jun 03 17:59:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","80","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 18:00:06 GMT 2025","failed","Tue Jun 03 18:00:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","87","Empty current password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 17:59:45 GMT 2025","passed","Tue Jun 03 17:59:45 GMT 2025","v1 > Profile > Password","Bank User","",""
"","133","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 17:59:49 GMT 2025","passed","Tue Jun 03 17:59:49 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","88","Create organization - no country ID","QA|Nova Bank - Infopool","Tue Jun 03 18:00:12 GMT 2025","passed","Tue Jun 03 18:00:12 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 17:59:58 GMT 2025","passed","Tue Jun 03 17:59:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","93","Role does not exist - update role","QA|Nova Bank - Infopool","Tue Jun 03 18:00:11 GMT 2025","passed","Tue Jun 03 18:00:11 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","80","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue Jun 03 17:59:59 GMT 2025","failed","Tue Jun 03 17:59:59 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","81","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Tue Jun 03 17:59:47 GMT 2025","passed","Tue Jun 03 17:59:47 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue Jun 03 18:00:14 GMT 2025","passed","Tue Jun 03 18:00:14 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","81","Get events - no auth","QA|Nova Bank - Infopool","Tue Jun 03 17:59:46 GMT 2025","passed","Tue Jun 03 17:59:46 GMT 2025","v1 > Audit trail > Event","Bank User","",""
