"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","57","Create Report - Empty category","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","59","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","62","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","59","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","65","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"Update an existing report","60","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","67","No user credentials","QA|Nova Bank - Infopool","Fri Jan 30 19:21:34 UTC 2026","broken","Fri Jan 30 19:21:34 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","61","Get all definitions","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","62","Fetch all users","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","57","Get all Issues","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:38 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","60","managers","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","63","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","56","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","4140","Successful login","QA|Nova Bank - Infopool","Fri Jan 30 19:21:30 UTC 2026","broken","Fri Jan 30 19:21:34 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","57","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","60","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","60","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","59","No auth - managers","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","60","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","61","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","56","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:40 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","58","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","60","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","67","reset password","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","56","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"Update an existing report","55","Update Report","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","135","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jan 30 19:21:34 UTC 2026","broken","Fri Jan 30 19:21:34 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","59","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","57","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","verifyOTP","QA|Nova Bank - Infopool","Fri Jan 30 19:21:34 UTC 2026","broken","Fri Jan 30 19:21:34 UTC 2026","v1 > Auth > Session > verify OTP","Bank User","",""
"","59","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:38 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","57","Health","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Health","Bank Admin","",""
"","56","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","59","update role","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","58","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","59","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:44 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","60","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Jan 30 19:21:40 UTC 2026","broken","Fri Jan 30 19:21:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Delete a report (soft delete)","59","Delete Report","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","60","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","56","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","58","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Fri Jan 30 19:21:48 UTC 2026","broken","Fri Jan 30 19:21:48 UTC 2026","","corporate Adjustment","",""
"","54","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","62","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","57","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","129","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","61","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","59","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","60","Logout session - no session","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Logout","Bank Admin","",""
"","60","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jan 30 19:21:41 UTC 2026","broken","Fri Jan 30 19:21:41 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","60","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","59","Create organization - no name","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","58","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","57","get all category","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","56","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","56","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","61","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:38 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","57","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","139","Invalid credentials","QA|Nova Bank - Infopool","Fri Jan 30 19:21:34 UTC 2026","broken","Fri Jan 30 19:21:34 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","59","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","55","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","60","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:38 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","58","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","64","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","59","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jan 30 19:21:45 UTC 2026","broken","Fri Jan 30 19:21:45 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","123","Get events - no auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","59","Change password - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Password","Bank User","",""
"","59","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","68","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","54","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","55","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","54","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jan 30 19:21:40 UTC 2026","broken","Fri Jan 30 19:21:40 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","71","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jan 30 19:21:34 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","56","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:46 UTC 2026","broken","Fri Jan 30 19:21:46 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","60","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:44 UTC 2026","broken","Fri Jan 30 19:21:44 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","59","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:39 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a specific report by ID","62","Get Report by UUID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","66","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","57","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:42 UTC 2026","broken","Fri Jan 30 19:21:42 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","58","audit trail","QA|Nova Bank - Infopool","Fri Jan 30 19:21:37 UTC 2026","broken","Fri Jan 30 19:21:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"Get a specific report by ID","57","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","59","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","60","Update Issue","QA|Nova Bank - Infopool","Fri Jan 30 19:21:38 UTC 2026","broken","Fri Jan 30 19:21:39 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","94","Invalid email format","QA|Nova Bank - Infopool","Fri Jan 30 19:21:34 UTC 2026","broken","Fri Jan 30 19:21:34 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","61","Search Customers","QA|Nova Bank - Infopool","Fri Jan 30 19:21:40 UTC 2026","broken","Fri Jan 30 19:21:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","62","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","58","Search Customers","QA|Nova Bank - Infopool","Fri Jan 30 19:21:40 UTC 2026","broken","Fri Jan 30 19:21:40 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","123","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:35 UTC 2026","broken","Fri Jan 30 19:21:35 UTC 2026","v1 > Profile > Roles","Bank User","",""
"Get a specific report by ID","57","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a paginated list of reports with optional filtering","60","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri Jan 30 19:21:47 UTC 2026","broken","Fri Jan 30 19:21:47 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","89","Update profile - successful","QA|Nova Bank - Infopool","Fri Jan 30 19:21:36 UTC 2026","broken","Fri Jan 30 19:21:36 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","61","Create  organization","QA|Nova Bank - Infopool","Fri Jan 30 19:21:43 UTC 2026","broken","Fri Jan 30 19:21:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
