"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","failed","Wed Oct 15 18:49:01 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Oct 15 18:49:02 UTC 2025","failed","Wed Oct 15 18:49:02 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Oct 15 18:48:57 UTC 2025","passed","Wed Oct 15 18:48:57 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","90","category by id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:13 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","94","Get events - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","95","Get all Issues","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","91","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","passed","Wed Oct 15 18:48:59 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","101","No user credentials","QA|Nova Bank - Infopool","Wed Oct 15 18:48:42 UTC 2025","failed","Wed Oct 15 18:48:42 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","94","No Auth - Change password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:44 UTC 2025","failed","Wed Oct 15 18:48:44 UTC 2025","v1 > Profile > Password","Bank User","",""
"","97","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","failed","Wed Oct 15 18:48:47 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","90","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Oct 15 18:49:12 UTC 2025","failed","Wed Oct 15 18:49:13 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","91","add_comment_successfully","QA|Nova Bank - Infopool","Wed Oct 15 18:48:50 UTC 2025","failed","Wed Oct 15 18:48:50 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","99","Update Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","93","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Oct 15 18:49:10 UTC 2025","passed","Wed Oct 15 18:49:10 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","91","Update profile - no auth","QA|Nova Bank - Infopool","Wed Oct 15 18:48:45 UTC 2025","failed","Wed Oct 15 18:48:45 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","87","audit-search","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","passed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","98","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Oct 15 18:48:43 UTC 2025","failed","Wed Oct 15 18:48:43 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a specific report by ID","95","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:14 UTC 2025","failed","Wed Oct 15 18:49:14 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","91","No auth - get user role","QA|Nova Bank - Infopool","Wed Oct 15 18:49:01 UTC 2025","passed","Wed Oct 15 18:49:01 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","91","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","92","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3171","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Oct 15 18:48:50 UTC 2025","failed","Wed Oct 15 18:48:53 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","91","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","110","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:48 UTC 2025","failed","Wed Oct 15 18:48:48 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","93","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Oct 15 18:49:16 UTC 2025","failed","Wed Oct 15 18:49:16 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","94","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Oct 15 18:49:03 UTC 2025","failed","Wed Oct 15 18:49:03 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","90","audit trail","QA|Nova Bank - Infopool","Wed Oct 15 18:48:46 UTC 2025","failed","Wed Oct 15 18:48:46 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","92","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Oct 15 18:48:49 UTC 2025","failed","Wed Oct 15 18:48:49 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","90","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Oct 15 18:48:59 UTC 2025","passed","Wed Oct 15 18:48:59 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
