"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Aug 31 20:11:12 UTC 2025","failed","Sun Aug 31 20:11:12 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","87","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:44 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","84","Search Customers","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","84","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:10 UTC 2025","failed","Sun Aug 31 20:11:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Aug 31 20:10:54 UTC 2025","failed","Sun Aug 31 20:10:54 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:09 UTC 2025","failed","Sun Aug 31 20:11:09 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Aug 31 20:11:21 UTC 2025","failed","Sun Aug 31 20:11:21 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","80","Update role status","QA|Nova Bank - Infopool","Sun Aug 31 20:11:12 UTC 2025","failed","Sun Aug 31 20:11:12 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","86","Get profile - successfully","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","failed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","81","Get all Issues","QA|Nova Bank - Infopool","Sun Aug 31 20:10:55 UTC 2025","failed","Sun Aug 31 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a paginated list of reports with optional filtering","83","Get Reports","QA|Nova Bank - Infopool","Sun Aug 31 20:11:13 UTC 2025","failed","Sun Aug 31 20:11:13 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","81","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","failed","Sun Aug 31 20:11:11 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a specific report by ID","80","Get Report by ID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:14 UTC 2025","failed","Sun Aug 31 20:11:14 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","82","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:57 UTC 2025","failed","Sun Aug 31 20:10:57 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","80","Fetch all users","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:01 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","83","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Aug 31 20:11:10 UTC 2025","failed","Sun Aug 31 20:11:10 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","80","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","85","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","82","Update profile - no auth","QA|Nova Bank - Infopool","Sun Aug 31 20:10:47 UTC 2025","failed","Sun Aug 31 20:10:47 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","81","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","Get events - no auth","QA|Nova Bank - Infopool","Sun Aug 31 20:10:53 UTC 2025","passed","Sun Aug 31 20:10:53 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","80","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:00 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:22 UTC 2025","passed","Sun Aug 31 20:11:22 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","82","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Aug 31 20:11:14 UTC 2025","failed","Sun Aug 31 20:11:14 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","82","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:14 UTC 2025","passed","Sun Aug 31 20:11:14 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","83","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:10 UTC 2025","failed","Sun Aug 31 20:11:10 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","82","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Aug 31 20:10:56 UTC 2025","failed","Sun Aug 31 20:10:56 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","Health","QA|Nova Bank - Infopool","Sun Aug 31 20:10:59 UTC 2025","failed","Sun Aug 31 20:10:59 UTC 2025","v1 > Health","Bank Admin","",""
"","86","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","failed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Password","Bank User","",""
"","83","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Aug 31 20:10:57 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","80","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Aug 31 20:10:57 UTC 2025","failed","Sun Aug 31 20:10:57 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","81","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","passed","Sun Aug 31 20:11:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","483","Create a New Issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:55 UTC 2025","failed","Sun Aug 31 20:10:55 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","86","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:55 UTC 2025","failed","Sun Aug 31 20:10:55 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","82","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:10 UTC 2025","failed","Sun Aug 31 20:11:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Aug 31 20:10:57 UTC 2025","failed","Sun Aug 31 20:10:57 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","80","Create roles - No auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","failed","Sun Aug 31 20:11:11 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","83","No Auth - Change password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","failed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Password","Bank User","",""
"","82","Get all permissions","QA|Nova Bank - Infopool","Sun Aug 31 20:11:12 UTC 2025","failed","Sun Aug 31 20:11:12 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","83","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","passed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","88","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:44 UTC 2025","failed","Sun Aug 31 20:10:44 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","84","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Aug 31 20:10:53 UTC 2025","failed","Sun Aug 31 20:10:53 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","82","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","passed","Sun Aug 31 20:10:59 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Create a new report","85","Create Report","QA|Nova Bank - Infopool","Sun Aug 31 20:11:14 UTC 2025","failed","Sun Aug 31 20:11:14 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","82","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Aug 31 20:11:09 UTC 2025","failed","Sun Aug 31 20:11:09 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","81","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:13 UTC 2025","passed","Sun Aug 31 20:11:13 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","82","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Aug 31 20:10:54 UTC 2025","failed","Sun Aug 31 20:10:54 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Update an existing report","81","Update Report - No auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:15 UTC 2025","failed","Sun Aug 31 20:11:15 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","80","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:00 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","83","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Aug 31 20:10:54 UTC 2025","failed","Sun Aug 31 20:10:54 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Aug 31 20:11:09 UTC 2025","failed","Sun Aug 31 20:11:09 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","failed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Password","Bank User","",""
"","80","No auth - category by id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:13 UTC 2025","passed","Sun Aug 31 20:11:13 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","85","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","failed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","80","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Aug 31 20:11:01 UTC 2025","passed","Sun Aug 31 20:11:01 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","82","Export Report Data","QA|Nova Bank - Infopool","Sun Aug 31 20:11:22 UTC 2025","failed","Sun Aug 31 20:11:22 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a specific report by ID","90","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:14 UTC 2025","failed","Sun Aug 31 20:11:14 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","80","managers","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","failed","Sun Aug 31 20:11:11 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","81","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 31 20:10:57 UTC 2025","failed","Sun Aug 31 20:10:57 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","81","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","failed","Sun Aug 31 20:11:11 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","84","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:09 UTC 2025","failed","Sun Aug 31 20:11:10 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Aug 31 20:10:59 UTC 2025","failed","Sun Aug 31 20:10:59 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","83","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Aug 31 20:11:09 UTC 2025","failed","Sun Aug 31 20:11:09 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","81","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:13 UTC 2025","passed","Sun Aug 31 20:11:13 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","87","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","failed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Password","Bank User","",""
"","82","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:08 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","80","No auth - managers","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","passed","Sun Aug 31 20:11:11 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","92","No user credentials","QA|Nova Bank - Infopool","Sun Aug 31 20:10:44 UTC 2025","failed","Sun Aug 31 20:10:44 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","84","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:13 UTC 2025","failed","Sun Aug 31 20:11:13 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Update definition","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:00 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","83","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Aug 31 20:11:09 UTC 2025","failed","Sun Aug 31 20:11:09 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Aug 31 20:11:11 UTC 2025","failed","Sun Aug 31 20:11:11 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","83","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Aug 31 20:10:58 UTC 2025","passed","Sun Aug 31 20:10:58 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","6242","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Aug 31 20:10:47 UTC 2025","failed","Sun Aug 31 20:10:53 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","84","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 31 20:10:45 UTC 2025","failed","Sun Aug 31 20:10:45 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Aug 31 20:10:54 UTC 2025","failed","Sun Aug 31 20:10:55 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:21 UTC 2025","failed","Sun Aug 31 20:11:21 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","81","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Aug 31 20:10:53 UTC 2025","failed","Sun Aug 31 20:10:53 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","86","Update user - no auth","QA|Nova Bank - Infopool","Sun Aug 31 20:11:04 UTC 2025","failed","Sun Aug 31 20:11:04 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","87","Update profile","QA|Nova Bank - Infopool","Sun Aug 31 20:10:53 UTC 2025","failed","Sun Aug 31 20:10:53 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","82","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Aug 31 20:11:21 UTC 2025","failed","Sun Aug 31 20:11:21 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","80","successful dashboard embed","QA|Nova Bank - Infopool","Sun Aug 31 20:10:59 UTC 2025","failed","Sun Aug 31 20:10:59 UTC 2025","embed dashboard","Bank User","",""
"","81","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","passed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","82","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Aug 31 20:10:46 UTC 2025","passed","Sun Aug 31 20:10:46 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","82","audit trail","QA|Nova Bank - Infopool","Sun Aug 31 20:10:54 UTC 2025","failed","Sun Aug 31 20:10:54 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","82","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Aug 31 20:11:22 UTC 2025","failed","Sun Aug 31 20:11:22 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","82","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:09 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Aug 31 20:11:00 UTC 2025","failed","Sun Aug 31 20:11:00 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","82","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Aug 31 20:11:08 UTC 2025","failed","Sun Aug 31 20:11:08 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
