"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","69","Update organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","passed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Create organization - empty mis code","QA|Nova Bank - Infopool","Thu Jun 05 15:47:33 GMT 2025","failed","Thu Jun 05 15:47:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 15:47:16 GMT 2025","passed","Thu Jun 05 15:47:17 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","60","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","413","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:47:17 GMT 2025","passed","Thu Jun 05 15:47:17 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","37","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 15:47:34 GMT 2025","passed","Thu Jun 05 15:47:34 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","40","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:47:19 GMT 2025","failed","Thu Jun 05 15:47:19 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","45","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:47:32 GMT 2025","passed","Thu Jun 05 15:47:32 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 15:47:18 GMT 2025","failed","Thu Jun 05 15:47:18 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
