"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Update user - empty action field","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","failed","Wed May 14 16:14:19 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","84","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 14 16:14:19 GMT 2025","passed","Wed May 14 16:14:19 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","No auth - get user role","QA|Nova Bank - Infopool","Wed May 14 16:14:19 GMT 2025","passed","Wed May 14 16:14:19 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","86","Get roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","passed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","92","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed May 14 16:14:19 GMT 2025","failed","Wed May 14 16:14:19 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:14:01 GMT 2025","failed","Wed May 14 16:14:01 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","85","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","passed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","85","No auth - managers","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","passed","Wed May 14 16:14:23 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","94","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","failed","Wed May 14 16:13:57 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","85","Create roles - No auth","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","passed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","93","audit trail","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","failed","Wed May 14 16:13:58 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","90","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:13:55 GMT 2025","passed","Wed May 14 16:13:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","86","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","passed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","92","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","failed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","87","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","passed","Wed May 14 16:14:10 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","104","Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:13:55 GMT 2025","failed","Wed May 14 16:13:55 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","84","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","passed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","6251","Invalid email format","QA|Nova Bank - Infopool","Wed May 14 16:13:48 GMT 2025","passed","Wed May 14 16:13:54 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","91","Export Report Data","QA|Nova Bank - Infopool","Wed May 14 16:14:40 GMT 2025","failed","Wed May 14 16:14:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","91","Create roles - empty name field","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","failed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","88","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","passed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","6","New Request","QA|Nova Bank - Infopool","Wed May 14 16:14:17 GMT 2025","broken","Wed May 14 16:14:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 14 16:14:09 GMT 2025","failed","Wed May 14 16:14:09 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","88","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","passed","Wed May 14 16:13:56 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","100","Update profile - no phone number","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","failed","Wed May 14 16:13:57 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","93","Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","failed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","91","No email - Forgot Password","QA|Nova Bank - Infopool","Wed May 14 16:13:54 GMT 2025","passed","Wed May 14 16:13:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","90","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","failed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","90","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:14:20 GMT 2025","failed","Wed May 14 16:14:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","94","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed May 14 16:13:58 GMT 2025","passed","Wed May 14 16:13:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","85","No auth - category by id","QA|Nova Bank - Infopool","Wed May 14 16:14:24 GMT 2025","passed","Wed May 14 16:14:25 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","90","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","failed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","89","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","failed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","407","Get all definitions","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","failed","Wed May 14 16:14:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","548","Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:13:58 GMT 2025","failed","Wed May 14 16:13:59 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","85","No auth - Update role status","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","passed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","172","Invalid credentials","QA|Nova Bank - Infopool","Wed May 14 16:13:48 GMT 2025","passed","Wed May 14 16:13:48 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","89","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:13:58 GMT 2025","passed","Wed May 14 16:13:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","92","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","failed","Wed May 14 16:14:10 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","95","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:14:01 GMT 2025","failed","Wed May 14 16:14:01 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","92","Get events - successful","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","failed","Wed May 14 16:13:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","89","Role does not exist - update role","QA|Nova Bank - Infopool","Wed May 14 16:14:19 GMT 2025","failed","Wed May 14 16:14:19 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","191","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:13:59 GMT 2025","passed","Wed May 14 16:13:59 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","86","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:14:21 GMT 2025","failed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","86","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","passed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","94","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","failed","Wed May 14 16:13:56 GMT 2025","v1 > Profile > Password","Bank User","",""
"","94","Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","failed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a specific report by ID","89","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:14:32 GMT 2025","failed","Wed May 14 16:14:32 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:13:55 GMT 2025","passed","Wed May 14 16:13:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","87","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","passed","Wed May 14 16:14:10 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","91","Update definition","QA|Nova Bank - Infopool","Wed May 14 16:14:17 GMT 2025","failed","Wed May 14 16:14:17 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","93","category by id","QA|Nova Bank - Infopool","Wed May 14 16:14:24 GMT 2025","failed","Wed May 14 16:14:24 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","90","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","failed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","91","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed May 14 16:14:21 GMT 2025","failed","Wed May 14 16:14:21 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","failed","Wed May 14 16:14:01 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","85","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 14 16:14:24 GMT 2025","passed","Wed May 14 16:14:24 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","92","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:13:58 GMT 2025","passed","Wed May 14 16:13:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","95","Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 14 16:14:01 GMT 2025","failed","Wed May 14 16:14:01 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get a specific report by ID","6900","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed May 14 16:14:32 GMT 2025","failed","Wed May 14 16:14:39 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","84","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 14 16:14:24 GMT 2025","passed","Wed May 14 16:14:24 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","92","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed May 14 16:14:21 GMT 2025","failed","Wed May 14 16:14:21 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:13:58 GMT 2025","passed","Wed May 14 16:13:58 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get a paginated list of reports with optional filtering","3183","Get Reports","QA|Nova Bank - Infopool","Wed May 14 16:14:25 GMT 2025","failed","Wed May 14 16:14:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","84","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","passed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","85","No auth - get all category","QA|Nova Bank - Infopool","Wed May 14 16:14:24 GMT 2025","passed","Wed May 14 16:14:24 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","92","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","failed","Wed May 14 16:14:10 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","90","Create organization - no country ID","QA|Nova Bank - Infopool","Wed May 14 16:14:20 GMT 2025","failed","Wed May 14 16:14:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:14:09 GMT 2025","failed","Wed May 14 16:14:09 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","90","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed May 14 16:14:17 GMT 2025","failed","Wed May 14 16:14:18 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","87","Update profile - no auth","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","passed","Wed May 14 16:13:57 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","85","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:21 GMT 2025","failed","Wed May 14 16:14:21 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","89","managers","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","failed","Wed May 14 16:14:23 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","92","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","passed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","93","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 14 16:14:01 GMT 2025","failed","Wed May 14 16:14:02 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","143","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:13:54 GMT 2025","passed","Wed May 14 16:13:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed May 14 16:13:54 GMT 2025","passed","Wed May 14 16:13:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","89","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 14 16:14:09 GMT 2025","passed","Wed May 14 16:14:09 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","91","Get Report Data - Question","QA|Nova Bank - Infopool","Wed May 14 16:14:40 GMT 2025","failed","Wed May 14 16:14:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","92","Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:14:08 GMT 2025","failed","Wed May 14 16:14:08 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","3137","Update Customer Comment Copy","QA|Nova Bank - Infopool","Wed May 14 16:14:02 GMT 2025","passed","Wed May 14 16:14:05 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","88","Get Reports - No auth","QA|Nova Bank - Infopool","Wed May 14 16:14:28 GMT 2025","passed","Wed May 14 16:14:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","90","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","failed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Create a new report","92","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 14 16:14:39 GMT 2025","failed","Wed May 14 16:14:39 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","100","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:13:55 GMT 2025","passed","Wed May 14 16:13:55 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","94","Get events - invalid end date","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","failed","Wed May 14 16:13:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","83","Update user - no auth","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","passed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","128","Forgot password - successful","QA|Nova Bank - Infopool","Wed May 14 16:13:54 GMT 2025","passed","Wed May 14 16:13:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","92","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","failed","Wed May 14 16:14:10 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","88","Update profile - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:13:57 GMT 2025","passed","Wed May 14 16:13:57 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","93","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 14 16:14:10 GMT 2025","failed","Wed May 14 16:14:10 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:13:55 GMT 2025","passed","Wed May 14 16:13:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","89","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 14 16:14:01 GMT 2025","passed","Wed May 14 16:14:01 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","97","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","failed","Wed May 14 16:13:56 GMT 2025","v1 > Profile > Password","Bank User","",""
"","1061","Successful login","QA|Nova Bank - Infopool","Wed May 14 16:13:46 GMT 2025","passed","Wed May 14 16:13:48 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","85","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed May 14 16:14:11 GMT 2025","passed","Wed May 14 16:14:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","89","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:14:01 GMT 2025","passed","Wed May 14 16:14:01 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","87","Get Report Data - No auth","QA|Nova Bank - Infopool","Wed May 14 16:14:40 GMT 2025","passed","Wed May 14 16:14:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","94","Update role status","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","failed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","84","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:14:32 GMT 2025","passed","Wed May 14 16:14:32 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","89","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","failed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","86","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:14:21 GMT 2025","passed","Wed May 14 16:14:21 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","94","Get profile - successfully","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","failed","Wed May 14 16:13:56 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","83","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:14:24 GMT 2025","passed","Wed May 14 16:14:24 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","90","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed May 14 16:14:31 GMT 2025","failed","Wed May 14 16:14:32 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","91","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 14 16:14:22 GMT 2025","failed","Wed May 14 16:14:22 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Update an existing report","94","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 14 16:14:40 GMT 2025","failed","Wed May 14 16:14:40 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","95","Weak password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","failed","Wed May 14 16:13:56 GMT 2025","v1 > Profile > Password","Bank User","",""
"","89","Get role by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","failed","Wed May 14 16:14:24 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","91","Create roles - Existing role","QA|Nova Bank - Infopool","Wed May 14 16:14:23 GMT 2025","failed","Wed May 14 16:14:23 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","88","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:13:58 GMT 2025","passed","Wed May 14 16:13:58 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","Create organization - empty city value","QA|Nova Bank - Infopool","Wed May 14 16:14:20 GMT 2025","failed","Wed May 14 16:14:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:14:09 GMT 2025","failed","Wed May 14 16:14:09 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","94","Update profile - successful","QA|Nova Bank - Infopool","Wed May 14 16:13:56 GMT 2025","failed","Wed May 14 16:13:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","91","Update user - successful","QA|Nova Bank - Infopool","Wed May 14 16:14:18 GMT 2025","failed","Wed May 14 16:14:18 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","90","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed May 14 16:14:21 GMT 2025","failed","Wed May 14 16:14:21 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","89","Get Reports Stats","QA|Nova Bank - Infopool","Wed May 14 16:14:31 GMT 2025","failed","Wed May 14 16:14:31 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","96","Get all Issues","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","failed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","90","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:14:20 GMT 2025","failed","Wed May 14 16:14:20 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:14:00 GMT 2025","failed","Wed May 14 16:14:00 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","95","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed May 14 16:14:40 GMT 2025","failed","Wed May 14 16:14:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","92","update role","QA|Nova Bank - Infopool","Wed May 14 16:14:19 GMT 2025","failed","Wed May 14 16:14:19 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
