"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Apr 25 18:53:38 GMT 2025","passed","Fri Apr 25 18:53:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Create a new report","6209","Create Report - No auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:03 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Create a new report","52","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri Apr 25 18:54:10 GMT 2025","passed","Fri Apr 25 18:54:10 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Create a new report","73","Create Report","QA|Nova Bank - Infopool","Fri Apr 25 18:54:03 GMT 2025","passed","Fri Apr 25 18:54:03 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","89","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Apr 25 18:53:42 GMT 2025","failed","Fri Apr 25 18:53:42 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","33","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Apr 25 18:53:37 GMT 2025","passed","Fri Apr 25 18:53:37 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","52","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Apr 25 18:53:33 GMT 2025","passed","Fri Apr 25 18:53:33 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","42","managers","QA|Nova Bank - Infopool","Fri Apr 25 18:54:01 GMT 2025","passed","Fri Apr 25 18:54:01 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","46","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Apr 25 18:54:00 GMT 2025","passed","Fri Apr 25 18:54:00 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","67","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Apr 25 18:53:38 GMT 2025","passed","Fri Apr 25 18:53:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
