"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:40 GMT 2025","passed","Sun Apr 20 20:26:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","88","No auth - managers","QA|Nova Bank - Infopool","Sun Apr 20 20:26:19 GMT 2025","passed","Sun Apr 20 20:26:19 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","98","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","passed","Sun Apr 20 20:26:16 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","90","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:25:39 GMT 2025","passed","Sun Apr 20 20:25:39 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","100","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:28 GMT 2025","passed","Sun Apr 20 20:26:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","116","Update user - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","94","Get Report by UUID","QA|Nova Bank - Infopool","Sun Apr 20 20:26:29 GMT 2025","passed","Sun Apr 20 20:26:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","87","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Apr 20 20:26:06 GMT 2025","passed","Sun Apr 20 20:26:06 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Apr 20 20:25:36 GMT 2025","passed","Sun Apr 20 20:25:36 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","103","get user role","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","88","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:25:38 GMT 2025","passed","Sun Apr 20 20:25:38 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","351","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Apr 20 20:26:37 GMT 2025","failed","Sun Apr 20 20:26:38 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","86","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:29 GMT 2025","passed","Sun Apr 20 20:26:29 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","108","managers","QA|Nova Bank - Infopool","Sun Apr 20 20:26:19 GMT 2025","passed","Sun Apr 20 20:26:19 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","110","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Apr 20 20:26:15 GMT 2025","passed","Sun Apr 20 20:26:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","104","Fetch all users","QA|Nova Bank - Infopool","Sun Apr 20 20:26:13 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","106","Update user - invalid action","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","101","Get Reports Stats","QA|Nova Bank - Infopool","Sun Apr 20 20:26:28 GMT 2025","passed","Sun Apr 20 20:26:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","97","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Apr 20 20:25:52 GMT 2025","passed","Sun Apr 20 20:25:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","90","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Apr 20 20:25:40 GMT 2025","passed","Sun Apr 20 20:25:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","85","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","150","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Apr 20 20:25:39 GMT 2025","passed","Sun Apr 20 20:25:39 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","98","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","failed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","7062","Successful login","QA|Nova Bank - Infopool","Sun Apr 20 20:25:28 GMT 2025","passed","Sun Apr 20 20:25:35 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","89","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Apr 20 20:25:40 GMT 2025","passed","Sun Apr 20 20:25:40 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","87","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:26 GMT 2025","passed","Sun Apr 20 20:26:27 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","98","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Apr 20 20:25:49 GMT 2025","passed","Sun Apr 20 20:25:49 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","89","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Apr 20 20:25:56 GMT 2025","passed","Sun Apr 20 20:25:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","145","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Apr 20 20:25:56 GMT 2025","failed","Sun Apr 20 20:25:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","90","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Apr 20 20:25:35 GMT 2025","passed","Sun Apr 20 20:25:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","101","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Apr 20 20:26:15 GMT 2025","passed","Sun Apr 20 20:26:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","388","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Apr 20 20:26:28 GMT 2025","passed","Sun Apr 20 20:26:28 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","133","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","passed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","105","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Apr 20 20:25:39 GMT 2025","passed","Sun Apr 20 20:25:39 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","94","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","passed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","85","Logout session - no session","QA|Nova Bank - Infopool","Sun Apr 20 20:26:27 GMT 2025","passed","Sun Apr 20 20:26:28 GMT 2025","v1 > Logout","Bank Admin","",""
"","95","Add attachment to issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:49 GMT 2025","failed","Sun Apr 20 20:25:49 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","84","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:19 GMT 2025","passed","Sun Apr 20 20:26:19 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","89","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","passed","Sun Apr 20 20:25:51 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","3170","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Apr 20 20:26:23 GMT 2025","passed","Sun Apr 20 20:26:26 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","105","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","passed","Sun Apr 20 20:26:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Apr 20 20:25:36 GMT 2025","passed","Sun Apr 20 20:25:36 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Update an existing report","106","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:37 GMT 2025","passed","Sun Apr 20 20:26:37 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","98","Get Issue by ID","QA|Nova Bank - Infopool","Sun Apr 20 20:25:49 GMT 2025","failed","Sun Apr 20 20:25:49 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","87","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Apr 20 20:26:06 GMT 2025","passed","Sun Apr 20 20:26:06 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","88","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Apr 20 20:25:48 GMT 2025","passed","Sun Apr 20 20:25:49 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","103","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Apr 20 20:26:18 GMT 2025","passed","Sun Apr 20 20:26:18 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","3156","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 20 20:25:42 GMT 2025","passed","Sun Apr 20 20:25:45 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","85","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Apr 20 20:25:51 GMT 2025","passed","Sun Apr 20 20:25:51 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","96","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:40 GMT 2025","passed","Sun Apr 20 20:26:40 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","107","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Apr 20 20:26:17 GMT 2025","passed","Sun Apr 20 20:26:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","106","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","passed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","86","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Apr 20 20:25:51 GMT 2025","passed","Sun Apr 20 20:25:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","93","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Apr 20 20:26:40 GMT 2025","passed","Sun Apr 20 20:26:40 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","90","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Apr 20 20:25:50 GMT 2025","passed","Sun Apr 20 20:25:50 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","115","Get roles - successful","QA|Nova Bank - Infopool","Sun Apr 20 20:26:19 GMT 2025","passed","Sun Apr 20 20:26:19 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Create a new report","111","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Apr 20 20:26:36 GMT 2025","passed","Sun Apr 20 20:26:37 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","6233","Get single definition","QA|Nova Bank - Infopool","Sun Apr 20 20:26:06 GMT 2025","passed","Sun Apr 20 20:26:13 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","88","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Apr 20 20:26:18 GMT 2025","passed","Sun Apr 20 20:26:18 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","84","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Apr 20 20:26:06 GMT 2025","passed","Sun Apr 20 20:26:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","107","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Apr 20 20:26:16 GMT 2025","passed","Sun Apr 20 20:26:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","136","update role","QA|Nova Bank - Infopool","Sun Apr 20 20:26:14 GMT 2025","passed","Sun Apr 20 20:26:14 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","88","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Apr 20 20:25:51 GMT 2025","passed","Sun Apr 20 20:25:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
