"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Search Customers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","99","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:15 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","94","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","91","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Nov 12 18:47:21 UTC 2025","broken","Wed Nov 12 18:47:21 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","89","Get single definition","QA|Nova Bank - Infopool","Wed Nov 12 18:47:24 UTC 2025","broken","Wed Nov 12 18:47:24 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","91","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Nov 12 18:47:23 UTC 2025","broken","Wed Nov 12 18:47:23 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","95","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Nov 12 18:47:19 UTC 2025","broken","Wed Nov 12 18:47:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","94","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Nov 12 18:47:23 UTC 2025","broken","Wed Nov 12 18:47:23 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","96","Health","QA|Nova Bank - Infopool","Wed Nov 12 18:47:24 UTC 2025","broken","Wed Nov 12 18:47:24 UTC 2025","v1 > Health","Bank Admin","",""
"Create a new report","91","Create Report - No auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:34 UTC 2025","broken","Wed Nov 12 18:47:34 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","94","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed Nov 12 18:47:17 UTC 2025","broken","Wed Nov 12 18:47:17 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","92","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:16 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","95","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Update role status","QA|Nova Bank - Infopool","Wed Nov 12 18:47:31 UTC 2025","broken","Wed Nov 12 18:47:31 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","90","No auth - managers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:30 UTC 2025","broken","Wed Nov 12 18:47:30 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","94","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed Nov 12 18:47:20 UTC 2025","broken","Wed Nov 12 18:47:20 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","94","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","96","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","90","Logout session successfully","QA|Nova Bank - Infopool","Wed Nov 12 18:47:32 UTC 2025","broken","Wed Nov 12 18:47:32 UTC 2025","v1 > Logout","Bank Admin","",""
"","92","Update user - empty action field","QA|Nova Bank - Infopool","Wed Nov 12 18:47:26 UTC 2025","broken","Wed Nov 12 18:47:26 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","94","audit trail","QA|Nova Bank - Infopool","Wed Nov 12 18:47:18 UTC 2025","broken","Wed Nov 12 18:47:18 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","94","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:15 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","91","managers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:30 UTC 2025","broken","Wed Nov 12 18:47:30 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","91","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:30 UTC 2025","broken","Wed Nov 12 18:47:30 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a specific report by ID","90","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:33 UTC 2025","broken","Wed Nov 12 18:47:33 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","94","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","95","Update Issue","QA|Nova Bank - Infopool","Wed Nov 12 18:47:20 UTC 2025","broken","Wed Nov 12 18:47:20 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","95","Search Customers","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Update an existing report","96","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Nov 12 18:47:34 UTC 2025","broken","Wed Nov 12 18:47:34 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","93","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Nov 12 18:47:21 UTC 2025","broken","Wed Nov 12 18:47:21 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","515","Successful login","QA|Nova Bank - Infopool","Wed Nov 12 18:47:13 UTC 2025","broken","Wed Nov 12 18:47:14 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","94","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Nov 12 18:47:18 UTC 2025","broken","Wed Nov 12 18:47:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","94","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Nov 12 18:47:21 UTC 2025","broken","Wed Nov 12 18:47:21 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","89","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","94","get all category","QA|Nova Bank - Infopool","Wed Nov 12 18:47:32 UTC 2025","broken","Wed Nov 12 18:47:32 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","89","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:30 UTC 2025","broken","Wed Nov 12 18:47:30 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","92","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed Nov 12 18:47:28 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","90","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","94","update role","QA|Nova Bank - Infopool","Wed Nov 12 18:47:26 UTC 2025","broken","Wed Nov 12 18:47:26 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","91","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Nov 12 18:47:35 UTC 2025","broken","Wed Nov 12 18:47:35 UTC 2025","","corporate Adjustment","",""
"","90","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","94","get user role","QA|Nova Bank - Infopool","Wed Nov 12 18:47:26 UTC 2025","broken","Wed Nov 12 18:47:26 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","92","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed Nov 12 18:47:29 UTC 2025","broken","Wed Nov 12 18:47:29 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","89","Update definition","QA|Nova Bank - Infopool","Wed Nov 12 18:47:24 UTC 2025","broken","Wed Nov 12 18:47:24 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","96","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Nov 12 18:47:14 UTC 2025","broken","Wed Nov 12 18:47:14 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","92","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Nov 12 18:47:25 UTC 2025","broken","Wed Nov 12 18:47:25 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","96","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:28 UTC 2025","broken","Wed Nov 12 18:47:28 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","89","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Nov 12 18:47:27 UTC 2025","broken","Wed Nov 12 18:47:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","92","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Nov 12 18:47:25 UTC 2025","broken","Wed Nov 12 18:47:25 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","94","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed Nov 12 18:47:35 UTC 2025","broken","Wed Nov 12 18:47:35 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","91","Delete Customer Comment","QA|Nova Bank - Infopool","Wed Nov 12 18:47:22 UTC 2025","broken","Wed Nov 12 18:47:22 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","93","reset password","QA|Nova Bank - Infopool","Wed Nov 12 18:47:15 UTC 2025","broken","Wed Nov 12 18:47:15 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","92","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Nov 12 18:47:23 UTC 2025","broken","Wed Nov 12 18:47:24 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","94","No auth - get all category","QA|Nova Bank - Infopool","Wed Nov 12 18:47:32 UTC 2025","broken","Wed Nov 12 18:47:32 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","95","Update profile - no phone number","QA|Nova Bank - Infopool","Wed Nov 12 18:47:17 UTC 2025","broken","Wed Nov 12 18:47:17 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","92","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Nov 12 18:47:24 UTC 2025","broken","Wed Nov 12 18:47:24 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","89","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Nov 12 18:47:24 UTC 2025","broken","Wed Nov 12 18:47:24 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Get events - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:17 UTC 2025","broken","Wed Nov 12 18:47:17 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","92","Update profile - no auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:17 UTC 2025","broken","Wed Nov 12 18:47:17 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","91","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Nov 12 18:47:18 UTC 2025","broken","Wed Nov 12 18:47:18 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","91","Get profile - No Auth","QA|Nova Bank - Infopool","Wed Nov 12 18:47:16 UTC 2025","broken","Wed Nov 12 18:47:17 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","94","Change password - successful","QA|Nova Bank - Infopool","Wed Nov 12 18:47:16 UTC 2025","broken","Wed Nov 12 18:47:16 UTC 2025","v1 > Profile > Password","Bank User","",""
"","90","No auth - Update role status","QA|Nova Bank - Infopool","Wed Nov 12 18:47:31 UTC 2025","broken","Wed Nov 12 18:47:31 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
