"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","39","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","202","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","Create organization - empty mis code","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","failed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","failed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","102","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","46","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","35","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","passed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","43","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","43","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","update role","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","51","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","failed","Thu Jun 05 15:50:29 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","46","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","41","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","43","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","107","Invalid credentials","QA|Nova Bank - Infopool","Thu Jun 05 15:50:26 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","43","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","34","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","passed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","65","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","passed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","36","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","failed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","failed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","57","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","failed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","34","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","passed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","43","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","Create organization - empty street value","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","172","reset password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","37","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 15:50:35 GMT 2025","passed","Thu Jun 05 15:50:35 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","36","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","failed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","42","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","51","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","failed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","33","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","45","managers","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","42","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","60","Update definition","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","42","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","41","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","34","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","38","Get events - no auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","34","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","110","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","passed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","35","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","33","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","64","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","36","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","failed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","38","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:30 GMT 2025","passed","Thu Jun 05 15:50:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","87","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 15:50:35 GMT 2025","passed","Thu Jun 05 15:50:35 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","43","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","42","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","46","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:47 GMT 2025","passed","Thu Jun 05 15:50:47 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","2798","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 15:50:35 GMT 2025","passed","Thu Jun 05 15:50:38 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","100","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 15:50:33 GMT 2025","passed","Thu Jun 05 15:50:33 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","69","Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","36","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","passed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","44","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","44","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","39","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 15:50:31 GMT 2025","passed","Thu Jun 05 15:50:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:28 GMT 2025","passed","Thu Jun 05 15:50:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","64","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 15:50:45 GMT 2025","passed","Thu Jun 05 15:50:45 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","1825","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 15:50:33 GMT 2025","passed","Thu Jun 05 15:50:35 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","35","Health","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","passed","Thu Jun 05 15:50:44 GMT 2025","v1 > Health","Bank Admin","",""
"","35","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:46 GMT 2025","passed","Thu Jun 05 15:50:46 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","43","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","audit trail - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","38","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 15:50:32 GMT 2025","passed","Thu Jun 05 15:50:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","40","No email - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 15:50:27 GMT 2025","passed","Thu Jun 05 15:50:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","134","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 15:50:29 GMT 2025","passed","Thu Jun 05 15:50:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","43","Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 15:50:44 GMT 2025","failed","Thu Jun 05 15:50:44 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
