"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Get permission by ID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:42 GMT 2025","passed","Tue Jun 03 10:59:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","88","Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","failed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","89","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","93","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","7129","Successful login","QA|Nova Bank - Infopool","Tue Jun 03 10:59:00 GMT 2025","passed","Tue Jun 03 10:59:07 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","97","get all category","QA|Nova Bank - Infopool","Tue Jun 03 10:59:43 GMT 2025","passed","Tue Jun 03 10:59:43 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","88","Get profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","84","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:51 GMT 2025","passed","Tue Jun 03 10:59:51 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","135","resend_invitation_toUser","QA|Nova Bank - Infopool","Tue Jun 03 10:59:13 GMT 2025","passed","Tue Jun 03 10:59:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","200","Add Comment to Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","passed","Tue Jun 03 10:59:23 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","87","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","failed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","148","Update profile - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:11 GMT 2025","passed","Tue Jun 03 10:59:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","421","Get Report Objects - Question","QA|Nova Bank - Infopool","Tue Jun 03 10:59:50 GMT 2025","passed","Tue Jun 03 10:59:50 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","98","get user role","QA|Nova Bank - Infopool","Tue Jun 03 10:59:36 GMT 2025","passed","Tue Jun 03 10:59:37 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","189","Get events - invalid start date","QA|Nova Bank - Infopool","Tue Jun 03 10:59:12 GMT 2025","passed","Tue Jun 03 10:59:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","84","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 10:59:25 GMT 2025","failed","Tue Jun 03 10:59:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","212","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue Jun 03 10:59:28 GMT 2025","passed","Tue Jun 03 10:59:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","96","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 10:59:38 GMT 2025","passed","Tue Jun 03 10:59:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","2459","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue Jun 03 10:59:25 GMT 2025","passed","Tue Jun 03 10:59:28 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","81","Get roles - successful","QA|Nova Bank - Infopool","Tue Jun 03 10:59:41 GMT 2025","passed","Tue Jun 03 10:59:41 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","86","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue Jun 03 10:59:32 GMT 2025","failed","Tue Jun 03 10:59:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","86","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue Jun 03 10:59:53 GMT 2025","passed","Tue Jun 03 10:59:53 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","93","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue Jun 03 10:59:39 GMT 2025","passed","Tue Jun 03 10:59:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","264","No auth - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 10:59:14 GMT 2025","passed","Tue Jun 03 10:59:15 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","87","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 10:59:22 GMT 2025","passed","Tue Jun 03 10:59:22 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
