"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Create roles - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:40 UTC 2025","failed","Sun Sep 21 20:11:40 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"Update an existing report","81","Update Report","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","passed","Sun Sep 21 20:11:44 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Update an existing report","85","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","failed","Sun Sep 21 20:11:44 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","92","Health","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","failed","Sun Sep 21 20:11:28 UTC 2025","v1 > Health","Bank Admin","",""
"","85","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Sep 21 20:11:26 UTC 2025","passed","Sun Sep 21 20:11:26 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","85","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Sep 21 20:11:34 UTC 2025","failed","Sun Sep 21 20:11:34 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","83","No auth - category by id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","passed","Sun Sep 21 20:11:42 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","85","Update profile - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","failed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","83","audit-search","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","passed","Sun Sep 21 20:11:16 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","79","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","passed","Sun Sep 21 20:11:16 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","89","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Sep 21 20:11:15 UTC 2025","failed","Sun Sep 21 20:11:15 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","84","No auth - managers","QA|Nova Bank - Infopool","Sun Sep 21 20:11:37 UTC 2025","passed","Sun Sep 21 20:11:37 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","86","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","failed","Sun Sep 21 20:11:44 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","85","Update role status","QA|Nova Bank - Infopool","Sun Sep 21 20:11:41 UTC 2025","failed","Sun Sep 21 20:11:41 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","85","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Sep 21 20:11:19 UTC 2025","failed","Sun Sep 21 20:11:20 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","84","Logout session - no session","QA|Nova Bank - Infopool","Sun Sep 21 20:11:42 UTC 2025","failed","Sun Sep 21 20:11:42 UTC 2025","v1 > Logout","Bank Admin","",""
"","84","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Sep 21 20:11:33 UTC 2025","passed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","86","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","failed","Sun Sep 21 20:11:16 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","84","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:41 UTC 2025","failed","Sun Sep 21 20:11:41 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","83","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:41 UTC 2025","passed","Sun Sep 21 20:11:41 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","85","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","failed","Sun Sep 21 20:11:14 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","84","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","failed","Sun Sep 21 20:11:16 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","84","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Sep 21 20:11:40 UTC 2025","failed","Sun Sep 21 20:11:41 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","85","Export Report Data","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","failed","Sun Sep 21 20:11:45 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","85","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Sep 21 20:11:27 UTC 2025","passed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","87","No Auth - Change password","QA|Nova Bank - Infopool","Sun Sep 21 20:11:14 UTC 2025","failed","Sun Sep 21 20:11:14 UTC 2025","v1 > Profile > Password","Bank User","",""
"Update an existing report","85","Update Report - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:44 UTC 2025","failed","Sun Sep 21 20:11:44 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a specific report by ID","85","Get Report by ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","failed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a specific report by ID","84","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","passed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","87","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Sep 21 20:11:30 UTC 2025","failed","Sun Sep 21 20:11:30 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","86","Fetch all users","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:29 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","84","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Sep 21 20:11:26 UTC 2025","failed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","86","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","failed","Sun Sep 21 20:11:16 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","83","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Sep 21 20:11:27 UTC 2025","failed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","94","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:18 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","84","get user role","QA|Nova Bank - Infopool","Sun Sep 21 20:11:30 UTC 2025","failed","Sun Sep 21 20:11:30 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","86","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:18 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","86","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:27 UTC 2025","failed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","86","Update user - successful","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:29 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","84","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Sep 21 20:11:27 UTC 2025","passed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","87","Get single definition","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","failed","Sun Sep 21 20:11:28 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","84","Create Report - No auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","failed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Create a new report","84","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Sep 21 20:11:43 UTC 2025","failed","Sun Sep 21 20:11:43 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","88","Update user - no auth","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:30 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","85","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:32 UTC 2025","failed","Sun Sep 21 20:11:33 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Create organization - no name","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Sep 21 20:11:28 UTC 2025","failed","Sun Sep 21 20:11:28 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","85","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Sep 21 20:11:31 UTC 2025","failed","Sun Sep 21 20:11:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","audit trail","QA|Nova Bank - Infopool","Sun Sep 21 20:11:16 UTC 2025","failed","Sun Sep 21 20:11:16 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","86","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Sep 21 20:11:18 UTC 2025","failed","Sun Sep 21 20:11:18 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","86","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Sep 21 20:11:19 UTC 2025","failed","Sun Sep 21 20:11:19 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","84","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Sep 21 20:11:27 UTC 2025","failed","Sun Sep 21 20:11:27 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","84","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Sep 21 20:11:29 UTC 2025","failed","Sun Sep 21 20:11:29 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
