"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","verifyOTP","QA|Nova Bank - Infopool","Mon Jun 02 12:12:17 GMT 2025","passed","Mon Jun 02 12:12:17 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","99","Add user to an organization - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","81","Get Report Data - Question","QA|Nova Bank - Infopool","Mon Jun 02 12:13:00 GMT 2025","failed","Mon Jun 02 12:13:00 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","98","Remove user from an organization - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","82","Fetch Customers Accounts","QA|Nova Bank - Infopool","Mon Jun 02 12:12:37 GMT 2025","failed","Mon Jun 02 12:12:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Update an existing report","79","Update Report - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:13:00 GMT 2025","passed","Mon Jun 02 12:13:00 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","90","Update profile","QA|Nova Bank - Infopool","Mon Jun 02 12:12:21 GMT 2025","failed","Mon Jun 02 12:12:21 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","87","Create organization - no name","QA|Nova Bank - Infopool","Mon Jun 02 12:12:46 GMT 2025","passed","Mon Jun 02 12:12:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","100","resend_invitation_toUser","QA|Nova Bank - Infopool","Mon Jun 02 12:12:22 GMT 2025","passed","Mon Jun 02 12:12:22 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","90","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","passed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","failed","Mon Jun 02 12:12:38 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","90","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:12:46 GMT 2025","passed","Mon Jun 02 12:12:46 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Mon Jun 02 12:13:01 GMT 2025","failed","Mon Jun 02 12:13:01 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","79","No auth - get user role","QA|Nova Bank - Infopool","Mon Jun 02 12:12:45 GMT 2025","passed","Mon Jun 02 12:12:45 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","123","Update organization details by ID - successful","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","143","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Mon Jun 02 12:12:36 GMT 2025","passed","Mon Jun 02 12:12:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","82","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Mon Jun 02 12:12:36 GMT 2025","passed","Mon Jun 02 12:12:36 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","80","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","79","Get role by ID - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:50 GMT 2025","passed","Mon Jun 02 12:12:50 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","87","Create organization - empty street value","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","88","Get Report by UUID","QA|Nova Bank - Infopool","Mon Jun 02 12:12:56 GMT 2025","failed","Mon Jun 02 12:12:56 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","77","No auth - update role","QA|Nova Bank - Infopool","Mon Jun 02 12:12:45 GMT 2025","passed","Mon Jun 02 12:12:46 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","166","Invalid current password - Change password","QA|Nova Bank - Infopool","Mon Jun 02 12:12:19 GMT 2025","passed","Mon Jun 02 12:12:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","99","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","passed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","680","Successful login","QA|Nova Bank - Infopool","Mon Jun 02 12:12:10 GMT 2025","passed","Mon Jun 02 12:12:11 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","80","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:49 GMT 2025","passed","Mon Jun 02 12:12:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","78","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Mon Jun 02 12:12:38 GMT 2025","passed","Mon Jun 02 12:12:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Jun 02 12:12:18 GMT 2025","passed","Mon Jun 02 12:12:18 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","241","No auth - Create a New Issue","QA|Nova Bank - Infopool","Mon Jun 02 12:12:24 GMT 2025","passed","Mon Jun 02 12:12:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Mon Jun 02 12:12:37 GMT 2025","passed","Mon Jun 02 12:12:37 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","131","update role","QA|Nova Bank - Infopool","Mon Jun 02 12:12:45 GMT 2025","passed","Mon Jun 02 12:12:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","89","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Mon Jun 02 12:12:18 GMT 2025","passed","Mon Jun 02 12:12:18 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","80","Get profile roles - No Auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:19 GMT 2025","passed","Mon Jun 02 12:12:19 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","226","category by id","QA|Nova Bank - Infopool","Mon Jun 02 12:12:51 GMT 2025","passed","Mon Jun 02 12:12:51 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","90","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","passed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:47 GMT 2025","passed","Mon Jun 02 12:12:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","124","audit trail","QA|Nova Bank - Infopool","Mon Jun 02 12:12:22 GMT 2025","passed","Mon Jun 02 12:12:22 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Create a new report","91","Create Report - Duplicate name","QA|Nova Bank - Infopool","Mon Jun 02 12:12:59 GMT 2025","passed","Mon Jun 02 12:13:00 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","158","Get events - invalid end date","QA|Nova Bank - Infopool","Mon Jun 02 12:12:21 GMT 2025","passed","Mon Jun 02 12:12:22 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","80","Update Customer Comment Copy","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","passed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","86","Update profile - no phone number","QA|Nova Bank - Infopool","Mon Jun 02 12:12:21 GMT 2025","passed","Mon Jun 02 12:12:21 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","81","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","failed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","Update Customer Comment","QA|Nova Bank - Infopool","Mon Jun 02 12:12:32 GMT 2025","failed","Mon Jun 02 12:12:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a specific report by ID","87","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Mon Jun 02 12:12:59 GMT 2025","passed","Mon Jun 02 12:12:59 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","82","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","failed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","98","Get all Issues","QA|Nova Bank - Infopool","Mon Jun 02 12:12:24 GMT 2025","failed","Mon Jun 02 12:12:24 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","79","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Mon Jun 02 12:12:50 GMT 2025","failed","Mon Jun 02 12:12:50 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","82","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Mon Jun 02 12:12:48 GMT 2025","passed","Mon Jun 02 12:12:48 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","81","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Mon Jun 02 12:12:37 GMT 2025","passed","Mon Jun 02 12:12:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","89","Role does not exist - update role","QA|Nova Bank - Infopool","Mon Jun 02 12:12:45 GMT 2025","passed","Mon Jun 02 12:12:45 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","83","Get profile - user not logged in","QA|Nova Bank - Infopool","Mon Jun 02 12:12:20 GMT 2025","passed","Mon Jun 02 12:12:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
