"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","167","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:50 GMT 2025","passed","Sun Jun 08 21:30:51 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","56","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:31:10 GMT 2025","passed","Sun Jun 08 21:31:10 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","106","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:52 GMT 2025","passed","Sun Jun 08 21:30:52 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","25","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","26","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","51","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:31:05 GMT 2025","passed","Sun Jun 08 21:31:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Logout","Bank Admin","",""
"","152","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","failed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","49","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:30:53 GMT 2025","passed","Sun Jun 08 21:30:53 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","56","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","failed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","367","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 21:31:06 GMT 2025","failed","Sun Jun 08 21:31:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Create a new report","27","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","230","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:05 GMT 2025","passed","Sun Jun 08 21:31:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","30","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","25","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","56","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:31:08 GMT 2025","passed","Sun Jun 08 21:31:08 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","24","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","51","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:31:09 GMT 2025","passed","Sun Jun 08 21:31:09 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","24","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","2665","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:31:11 GMT 2025","passed","Sun Jun 08 21:31:13 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","27","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","passed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","26","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","164","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:05 GMT 2025","failed","Sun Jun 08 21:31:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","42","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:31:05 GMT 2025","passed","Sun Jun 08 21:31:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","25","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","24","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","147","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:31:09 GMT 2025","passed","Sun Jun 08 21:31:09 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","23","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","33","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:31:13 GMT 2025","passed","Sun Jun 08 21:31:13 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","53","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:52 GMT 2025","passed","Sun Jun 08 21:30:52 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","57","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:31:05 GMT 2025","passed","Sun Jun 08 21:31:05 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","passed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","730","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:30:54 GMT 2025","passed","Sun Jun 08 21:30:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","25","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","355","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","passed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","143","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:30:58 GMT 2025","passed","Sun Jun 08 21:30:58 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","43","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","failed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","23","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","35","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:30:54 GMT 2025","passed","Sun Jun 08 21:30:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","24","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","44","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:30:55 GMT 2025","passed","Sun Jun 08 21:30:55 GMT 2025","v1 > Profile > Password","Bank User","",""
"","24","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","26","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","50","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:30:50 GMT 2025","passed","Sun Jun 08 21:30:50 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","24","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","1060","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:30:53 GMT 2025","passed","Sun Jun 08 21:30:54 GMT 2025","v1 > Profile > Password","Bank User","",""
"","25","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Delete a report (soft delete)","24","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","168","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","passed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a paginated list of reports with optional filtering","27","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","187","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:31:08 GMT 2025","passed","Sun Jun 08 21:31:08 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Delete a report (soft delete)","24","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","25","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","152","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:31:01 GMT 2025","passed","Sun Jun 08 21:31:01 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","46","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","failed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","25","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","25","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","24","category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","43","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:30:56 GMT 2025","passed","Sun Jun 08 21:30:56 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","25","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","26","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Update an existing report","27","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","26","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","34","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","failed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","54","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:30:53 GMT 2025","passed","Sun Jun 08 21:30:53 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","774","reset password","QA|Nova Bank - Infopool","Sun Jun 08 21:30:51 GMT 2025","passed","Sun Jun 08 21:30:52 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Create a new report","26","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","233","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:30:57 GMT 2025","passed","Sun Jun 08 21:30:58 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","26","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","26","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","25","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a specific report by ID","24","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","25","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","63120","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:31:14 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","39","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:31:11 GMT 2025","passed","Sun Jun 08 21:31:11 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","24","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","26","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","340","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:30:57 GMT 2025","passed","Sun Jun 08 21:30:57 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","24","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","25","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","24","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","24","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","51","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","failed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","25","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:32:19 GMT 2025","passed","Sun Jun 08 21:32:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","167","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:52 GMT 2025","failed","Sun Jun 08 21:30:52 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","26","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:32:20 GMT 2025","passed","Sun Jun 08 21:32:20 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","32","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:31:07 GMT 2025","passed","Sun Jun 08 21:31:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","26","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","26","update role","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:52 GMT 2025","passed","Sun Jun 08 21:30:52 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","24","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:32:18 GMT 2025","passed","Sun Jun 08 21:32:18 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","25","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","27","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:32:17 GMT 2025","passed","Sun Jun 08 21:32:17 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","54","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:30:52 GMT 2025","passed","Sun Jun 08 21:30:52 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","238","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:31:08 GMT 2025","passed","Sun Jun 08 21:31:08 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","127","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:31:06 GMT 2025","passed","Sun Jun 08 21:31:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
