"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","148","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:28 GMT 2025","failed","Tue Jun 03 12:16:28 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","83","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:49 GMT 2025","passed","Tue Jun 03 12:16:49 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","83","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","passed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","82","Get profile - No Auth","QA|Nova Bank - Infopool","Tue Jun 03 12:16:24 GMT 2025","passed","Tue Jun 03 12:16:24 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","84","Update Issue","QA|Nova Bank - Infopool","Tue Jun 03 12:16:35 GMT 2025","failed","Tue Jun 03 12:16:35 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","92","Role does not exist - update role","QA|Nova Bank - Infopool","Tue Jun 03 12:16:50 GMT 2025","passed","Tue Jun 03 12:16:50 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","81","Logout session - no session","QA|Nova Bank - Infopool","Tue Jun 03 12:16:59 GMT 2025","passed","Tue Jun 03 12:16:59 GMT 2025","v1 > Logout","Bank Admin","",""
"","79","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","81","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Update an existing report","91","Update Report - Invalid id","QA|Nova Bank - Infopool","Tue Jun 03 12:17:05 GMT 2025","passed","Tue Jun 03 12:17:05 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Create a new report","104","Create Report","QA|Nova Bank - Infopool","Tue Jun 03 12:17:04 GMT 2025","failed","Tue Jun 03 12:17:04 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","78","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:53 GMT 2025","passed","Tue Jun 03 12:16:53 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","170","Invalid current password - Change password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:23 GMT 2025","passed","Tue Jun 03 12:16:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","94","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Tue Jun 03 12:16:59 GMT 2025","passed","Tue Jun 03 12:16:59 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","147","Fetch Customer By ID","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","passed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","85","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue Jun 03 12:16:21 GMT 2025","passed","Tue Jun 03 12:16:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","80","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue Jun 03 12:16:37 GMT 2025","failed","Tue Jun 03 12:16:37 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","134","resend_invitation_toUser","QA|Nova Bank - Infopool","Tue Jun 03 12:16:26 GMT 2025","passed","Tue Jun 03 12:16:26 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","119","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Tue Jun 03 12:16:22 GMT 2025","failed","Tue Jun 03 12:16:22 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","81","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Tue Jun 03 12:16:55 GMT 2025","failed","Tue Jun 03 12:16:55 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","82","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue Jun 03 12:16:38 GMT 2025","failed","Tue Jun 03 12:16:38 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
