"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","36","Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 23:56:56 GMT 2025","failed","Tue May 27 23:56:56 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","34","Get role by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","failed","Tue May 27 23:57:10 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","50","get all category","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get a specific report by ID","33","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Tue May 27 23:57:11 GMT 2025","failed","Tue May 27 23:57:11 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","34","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 23:56:57 GMT 2025","failed","Tue May 27 23:56:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","89","category by id","QA|Nova Bank - Infopool","Tue May 27 23:57:10 GMT 2025","passed","Tue May 27 23:57:10 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","32","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:56:53 GMT 2025","passed","Tue May 27 23:56:54 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 23:57:09 GMT 2025","passed","Tue May 27 23:57:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
