"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:53:27 GMT 2025","passed","Sun Jun 08 22:53:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","3222","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:54:51 GMT 2025","passed","Sun Jun 08 22:54:54 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","143","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:54:47 GMT 2025","failed","Sun Jun 08 22:54:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","317","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:52:56 GMT 2025","passed","Sun Jun 08 22:52:56 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","85","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:53:00 GMT 2025","passed","Sun Jun 08 22:53:00 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","83","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 22:54:43 GMT 2025","passed","Sun Jun 08 22:54:43 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","80","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:54:47 GMT 2025","passed","Sun Jun 08 22:54:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:54:43 GMT 2025","passed","Sun Jun 08 22:54:43 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","83","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 22:54:47 GMT 2025","passed","Sun Jun 08 22:54:47 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","160","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:52:59 GMT 2025","passed","Sun Jun 08 22:52:59 GMT 2025","v1 > Profile > Password","Bank User","",""
"","165","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:23 GMT 2025","failed","Sun Jun 08 22:53:23 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","80","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 22:54:43 GMT 2025","passed","Sun Jun 08 22:54:43 GMT 2025","embed dashboard","Bank User","",""
"","236","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 22:53:11 GMT 2025","passed","Sun Jun 08 22:53:11 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","209","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:24 GMT 2025","failed","Sun Jun 08 22:53:24 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","369","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 22:53:36 GMT 2025","passed","Sun Jun 08 22:53:36 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","149","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:53:12 GMT 2025","passed","Sun Jun 08 22:53:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","169","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:53:25 GMT 2025","failed","Sun Jun 08 22:53:25 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
