"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","28","Fetch all organizations","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","33","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","29","Logout session - no session","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Logout","Bank Admin","",""
"","113","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Change password - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Password","Bank User","",""
"","27","Logout session successfully","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Logout","Bank Admin","",""
"","30","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Create  organization","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","passed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","29","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","passed","Wed Sep 17 18:46:37 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","32","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","31","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","32","get user role","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","40","verifyOTP","QA|Nova Bank - Infopool","Wed Sep 17 18:46:33 UTC 2025","failed","Wed Sep 17 18:46:33 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","29","Weak password - Change password","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Reports Stats","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","30","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","passed","Wed Sep 17 18:46:40 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","29","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","25","audit-search","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","passed","Wed Sep 17 18:46:35 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","32","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","passed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","29","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","28","Health","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Health","Bank Admin","",""
"","28","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","28","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Create a new report","30","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","30","No auth - Create  organization","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","verify OTP","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","30","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","28","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","passed","Wed Sep 17 18:46:37 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","34","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","29","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","passed","Wed Sep 17 18:46:39 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","31","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","29","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","40","Invalid email format","QA|Nova Bank - Infopool","Wed Sep 17 18:46:33 UTC 2025","failed","Wed Sep 17 18:46:33 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","30","add_comment_successfully","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","29","Create roles","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","29","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","30","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","Update user - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","34","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","31","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","30","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Create a new report","33","Create Report","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","29","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","28","Get all definitions","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","25","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","passed","Wed Sep 17 18:46:35 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","Get Issue by ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","29","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","passed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","30","No auth - get user role","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","passed","Wed Sep 17 18:46:38 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","28","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","passed","Wed Sep 17 18:46:37 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","29","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","30","Get events - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","28","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","passed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","64","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","passed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","37","No user credentials","QA|Nova Bank - Infopool","Wed Sep 17 18:46:33 UTC 2025","failed","Wed Sep 17 18:46:33 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Password","Bank User","",""
"","33","Empty new password - Change password","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Password","Bank User","",""
"","29","Update profile - no auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","29","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","passed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","31","Create organization - empty description","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","passed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","29","Role does not exist - update role","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","29","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","30","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","passed","Wed Sep 17 18:46:37 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","30","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","28","Get Report by ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","29","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","31","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","30","No auth - Update role status","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","29","reset password","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","passed","Wed Sep 17 18:46:34 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","29","Get single definition","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","62","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","28","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","28","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","29","Update user - no auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Delete a report (soft delete)","29","Delete Report -No auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:41 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","31","Get Reports","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","30","Update definition","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","29","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","29","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","passed","Wed Sep 17 18:46:37 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","33","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","31","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Sep 17 18:46:44 UTC 2025","failed","Wed Sep 17 18:46:44 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","30","Get profile - successfully","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","30","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","32","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Wed Sep 17 18:46:47 UTC 2025","failed","Wed Sep 17 18:46:47 UTC 2025","","corporate Adjustment","",""
"","33","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","passed","Wed Sep 17 18:46:35 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","29","No auth - get all category","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","passed","Wed Sep 17 18:46:40 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get a specific report by ID","29","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","30","managers","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","32","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","29","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","31","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed Sep 17 18:46:39 UTC 2025","failed","Wed Sep 17 18:46:39 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","32","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","33","Update profile","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Update an existing report","29","Update Report - No auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","29","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","30","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","failed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","29","audit trail","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","29","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Sep 17 18:46:36 UTC 2025","passed","Wed Sep 17 18:46:36 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","28","category by id","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","29","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","35","Update user - empty action field","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","47","Create_issue_without_attachment","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Sep 17 18:46:35 UTC 2025","failed","Wed Sep 17 18:46:35 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","29","Create organization - no name","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","28","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","failed","Wed Sep 17 18:46:37 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","29","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Sep 17 18:46:37 UTC 2025","passed","Wed Sep 17 18:46:37 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","34","Empty current password - Change password","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > Password","Bank User","",""
"","30","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Sep 17 18:46:38 UTC 2025","failed","Wed Sep 17 18:46:38 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","29","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed Sep 17 18:46:40 UTC 2025","failed","Wed Sep 17 18:46:40 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","37","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Sep 17 18:46:33 UTC 2025","failed","Wed Sep 17 18:46:33 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","30","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Sep 17 18:46:34 UTC 2025","failed","Wed Sep 17 18:46:34 UTC 2025","v1 > Profile > update profile image","Bank User","",""
