"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Aug 22 18:57:09 UTC 2025","passed","Fri Aug 22 18:57:09 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","89","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:19 UTC 2025","passed","Fri Aug 22 18:57:19 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","124","Create  organization","QA|Nova Bank - Infopool","Fri Aug 22 18:57:36 UTC 2025","failed","Fri Aug 22 18:57:36 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","100","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","passed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","88","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Aug 22 18:57:09 UTC 2025","passed","Fri Aug 22 18:57:09 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","1019","Create a New Issue","QA|Nova Bank - Infopool","Fri Aug 22 18:57:13 UTC 2025","passed","Fri Aug 22 18:57:14 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","93","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Aug 22 18:57:35 UTC 2025","passed","Fri Aug 22 18:57:35 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","130","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:38 UTC 2025","passed","Fri Aug 22 18:57:38 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","99","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Aug 22 18:57:38 UTC 2025","passed","Fri Aug 22 18:57:38 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Update user - no auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:35 UTC 2025","passed","Fri Aug 22 18:57:35 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","95","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Aug 22 18:57:21 UTC 2025","passed","Fri Aug 22 18:57:21 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","159","Update definition","QA|Nova Bank - Infopool","Fri Aug 22 18:57:34 UTC 2025","passed","Fri Aug 22 18:57:34 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","177","add_comment_successfully","QA|Nova Bank - Infopool","Fri Aug 22 18:57:20 UTC 2025","passed","Fri Aug 22 18:57:20 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","97","Create organization - empty description","QA|Nova Bank - Infopool","Fri Aug 22 18:57:36 UTC 2025","passed","Fri Aug 22 18:57:37 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","115","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Aug 22 18:57:21 UTC 2025","failed","Fri Aug 22 18:57:21 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","84","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","failed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","88","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","passed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","96","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Aug 22 18:57:38 UTC 2025","passed","Fri Aug 22 18:57:38 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","Update profile - no auth","QA|Nova Bank - Infopool","Fri Aug 22 18:57:07 UTC 2025","passed","Fri Aug 22 18:57:07 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","81","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Aug 22 18:57:21 UTC 2025","passed","Fri Aug 22 18:57:22 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","103","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Aug 22 18:57:39 UTC 2025","passed","Fri Aug 22 18:57:39 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
