"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Health","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Health","Bank Admin","",""
"Create a new report","27","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","37","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:36:59 GMT 2025","passed","Sun Jun 08 21:36:59 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","25","managers","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","23","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","25","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","175","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:07 GMT 2025","failed","Sun Jun 08 21:37:07 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","54","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:36:53 GMT 2025","passed","Sun Jun 08 21:36:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","151","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","passed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","145","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","failed","Sun Jun 08 21:37:11 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","24","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","67","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:37:09 GMT 2025","passed","Sun Jun 08 21:37:09 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","2667","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:37:13 GMT 2025","passed","Sun Jun 08 21:37:15 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","32","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:36:56 GMT 2025","passed","Sun Jun 08 21:36:56 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","25","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","28","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","57","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:37:11 GMT 2025","failed","Sun Jun 08 21:37:11 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","24","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","52","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 21:36:53 GMT 2025","passed","Sun Jun 08 21:36:53 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","27","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","25","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","24","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","embed dashboard","Bank User","",""
"Create a new report","24","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","61","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:37:09 GMT 2025","passed","Sun Jun 08 21:37:09 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","25","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","29","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:09 GMT 2025","failed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","26","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","26","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 21:38:29 GMT 2025","passed","Sun Jun 08 21:38:29 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","381","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 21:37:08 GMT 2025","failed","Sun Jun 08 21:37:09 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","3134","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:37:01 GMT 2025","passed","Sun Jun 08 21:37:04 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Delete a report (soft delete)","24","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","340","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:36:57 GMT 2025","passed","Sun Jun 08 21:36:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","26","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a specific report by ID","23","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","129","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","passed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","24","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","30","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:37:11 GMT 2025","passed","Sun Jun 08 21:37:11 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","3136","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:38:22 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","27","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","26","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","42","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","failed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","29","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","164","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","passed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","27","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Delete a report (soft delete)","25","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","47","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:37:07 GMT 2025","passed","Sun Jun 08 21:37:07 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","59","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","passed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","24","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","22","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","26","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","25","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","29","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","578","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:08 GMT 2025","failed","Sun Jun 08 21:37:08 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","66254","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:37:16 GMT 2025","passed","Sun Jun 08 21:38:22 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","106","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:36:58 GMT 2025","passed","Sun Jun 08 21:36:58 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","24","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","88","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:36:57 GMT 2025","passed","Sun Jun 08 21:36:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","24","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","26","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","25","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","27","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","27","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","26","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","140","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:07 GMT 2025","passed","Sun Jun 08 21:37:07 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","27","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","24","Create Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","247","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:36:58 GMT 2025","passed","Sun Jun 08 21:36:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","25","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Update an existing report","25","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","25","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","26","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Delete a report (soft delete)","24","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","26","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:29 GMT 2025","passed","Sun Jun 08 21:38:29 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get a specific report by ID","23","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","27","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:38:29 GMT 2025","passed","Sun Jun 08 21:38:29 GMT 2025","","corporate Adjustment","",""
"","24","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","26","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","254","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:37:11 GMT 2025","passed","Sun Jun 08 21:37:11 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","56","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:36:55 GMT 2025","passed","Sun Jun 08 21:36:55 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","25","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","347","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 21:37:00 GMT 2025","passed","Sun Jun 08 21:37:00 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","459","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:36:57 GMT 2025","passed","Sun Jun 08 21:36:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","54","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:37:09 GMT 2025","failed","Sun Jun 08 21:37:09 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","56","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:37:01 GMT 2025","passed","Sun Jun 08 21:37:01 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:38:25 GMT 2025","passed","Sun Jun 08 21:38:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","357","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 21:37:15 GMT 2025","passed","Sun Jun 08 21:37:16 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","151","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:37:00 GMT 2025","passed","Sun Jun 08 21:37:01 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get a specific report by ID","25","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Create a new report","24","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","25","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","52","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:36:56 GMT 2025","passed","Sun Jun 08 21:36:56 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Get a specific report by ID","24","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","25","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","27","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","1003","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:36:56 GMT 2025","passed","Sun Jun 08 21:36:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","25","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 21:38:26 GMT 2025","passed","Sun Jun 08 21:38:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","passed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","367","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:36:55 GMT 2025","failed","Sun Jun 08 21:36:55 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","218","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:36:59 GMT 2025","passed","Sun Jun 08 21:36:59 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","24","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","62","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 21:36:59 GMT 2025","failed","Sun Jun 08 21:36:59 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","50","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:37:00 GMT 2025","passed","Sun Jun 08 21:37:00 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get a specific report by ID","23","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","45","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:37:11 GMT 2025","failed","Sun Jun 08 21:37:11 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","54","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:37:10 GMT 2025","failed","Sun Jun 08 21:37:10 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","37","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:36:53 GMT 2025","passed","Sun Jun 08 21:36:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","491","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:36:46 GMT 2025","passed","Sun Jun 08 21:36:46 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","24","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get a paginated list of reports with optional filtering","25","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:38:28 GMT 2025","passed","Sun Jun 08 21:38:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","40","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:37:13 GMT 2025","passed","Sun Jun 08 21:37:13 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","26","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:38:27 GMT 2025","passed","Sun Jun 08 21:38:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","58","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:36:59 GMT 2025","passed","Sun Jun 08 21:36:59 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:37:00 GMT 2025","passed","Sun Jun 08 21:37:00 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
