"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","36","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","43","No email - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 22:51:16 GMT 2025","passed","Thu Jun 05 22:51:16 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","53","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","33","get user role","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","37","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","52","Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 22:51:20 GMT 2025","failed","Thu Jun 05 22:51:20 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Reports","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Reports - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","34","Create roles","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","46","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 22:51:20 GMT 2025","passed","Thu Jun 05 22:51:20 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","46","Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:51:17 GMT 2025","passed","Thu Jun 05 22:51:17 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","136","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","passed","Thu Jun 05 22:51:21 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","42","Export Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:44 GMT 2025","passed","Thu Jun 05 22:52:44 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","34","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","38","Create roles - empty name field","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","35","Get role by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","115","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","557","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 22:51:22 GMT 2025","passed","Thu Jun 05 22:51:23 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","35","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","134","Invalid credentials","QA|Nova Bank - Infopool","Thu Jun 05 22:51:09 GMT 2025","passed","Thu Jun 05 22:51:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","35","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","34","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 22:52:38 GMT 2025","passed","Thu Jun 05 22:52:38 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","79","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 22:51:22 GMT 2025","passed","Thu Jun 05 22:51:22 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","54","Update profile - Invalid file size","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","34","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 22:52:39 GMT 2025","passed","Thu Jun 05 22:52:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Get roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:40 GMT 2025","passed","Thu Jun 05 22:52:40 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","38","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","3133","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 22:52:34 GMT 2025","passed","Thu Jun 05 22:52:37 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 22:51:20 GMT 2025","failed","Thu Jun 05 22:51:20 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","39","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 22:51:21 GMT 2025","failed","Thu Jun 05 22:51:22 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","37","Get profile - user not logged in","QA|Nova Bank - Infopool","Thu Jun 05 22:51:18 GMT 2025","passed","Thu Jun 05 22:51:18 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Create a new report","35","Create Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 22:52:41 GMT 2025","passed","Thu Jun 05 22:52:41 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 22:51:16 GMT 2025","passed","Thu Jun 05 22:51:16 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
