"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","555","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:10:22 GMT 2025","failed","Sun Jun 08 22:10:22 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","28","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","29","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","54","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 22:10:26 GMT 2025","failed","Sun Jun 08 22:10:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","30","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","28","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:11:57 GMT 2025","passed","Sun Jun 08 22:11:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","29","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","","corporate Adjustment","",""
"","428","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:10:23 GMT 2025","passed","Sun Jun 08 22:10:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"","30","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","28","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:12:00 GMT 2025","passed","Sun Jun 08 22:12:00 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","38","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:10:22 GMT 2025","passed","Sun Jun 08 22:10:22 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","28","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:11:59 GMT 2025","passed","Sun Jun 08 22:11:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Delete a report (soft delete)","28","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","266","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:10:26 GMT 2025","passed","Sun Jun 08 22:10:26 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","32","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","","corporate Adjustment","",""
"","30","update role","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Delete a report (soft delete)","29","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:12:01 GMT 2025","passed","Sun Jun 08 22:12:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","625","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 22:10:19 GMT 2025","passed","Sun Jun 08 22:10:19 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","30","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 22:11:58 GMT 2025","passed","Sun Jun 08 22:11:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","48","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:10:34 GMT 2025","passed","Sun Jun 08 22:10:34 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
