"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","129","Add attachment to issue","QA|Nova Bank - Infopool","Sun Nov 30 20:12:18 UTC 2025","broken","Sun Nov 30 20:12:18 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","138","Search Customers","QA|Nova Bank - Infopool","Sun Nov 30 20:12:20 UTC 2025","broken","Sun Nov 30 20:12:20 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","135","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Nov 30 20:12:14 UTC 2025","broken","Sun Nov 30 20:12:14 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","127","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Nov 30 20:12:10 UTC 2025","broken","Sun Nov 30 20:12:10 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","128","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Nov 30 20:12:27 UTC 2025","broken","Sun Nov 30 20:12:27 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","130","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:36 UTC 2025","broken","Sun Nov 30 20:12:36 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","132","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:35 UTC 2025","broken","Sun Nov 30 20:12:35 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","132","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Nov 30 20:12:18 UTC 2025","broken","Sun Nov 30 20:12:18 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","127","add_comment_successfully","QA|Nova Bank - Infopool","Sun Nov 30 20:12:18 UTC 2025","broken","Sun Nov 30 20:12:18 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","137","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Nov 30 20:12:30 UTC 2025","broken","Sun Nov 30 20:12:31 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","134","Update profile","QA|Nova Bank - Infopool","Sun Nov 30 20:12:13 UTC 2025","broken","Sun Nov 30 20:12:13 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","127","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:33 UTC 2025","broken","Sun Nov 30 20:12:33 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","129","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Nov 30 20:12:30 UTC 2025","broken","Sun Nov 30 20:12:30 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","134","Create organization - no name","QA|Nova Bank - Infopool","Sun Nov 30 20:12:26 UTC 2025","broken","Sun Nov 30 20:12:26 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","122","Get all definitions","QA|Nova Bank - Infopool","Sun Nov 30 20:12:23 UTC 2025","broken","Sun Nov 30 20:12:23 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","127","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Nov 30 20:12:27 UTC 2025","broken","Sun Nov 30 20:12:28 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","123","No auth - managers","QA|Nova Bank - Infopool","Sun Nov 30 20:12:31 UTC 2025","broken","Sun Nov 30 20:12:31 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","135","update role","QA|Nova Bank - Infopool","Sun Nov 30 20:12:25 UTC 2025","broken","Sun Nov 30 20:12:26 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","129","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Nov 30 20:12:16 UTC 2025","broken","Sun Nov 30 20:12:16 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","127","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Nov 30 20:12:32 UTC 2025","broken","Sun Nov 30 20:12:32 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","137","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Nov 30 20:12:20 UTC 2025","broken","Sun Nov 30 20:12:21 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","139","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Nov 30 20:12:29 UTC 2025","broken","Sun Nov 30 20:12:29 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
