"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","95","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Apr 14 07:33:02 GMT 2025","passed","Mon Apr 14 07:33:02 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","88","Get roles - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:43 GMT 2025","passed","Mon Apr 14 07:33:43 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","94","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","91","Send user invitation token - successful","QA|Nova Bank - Infopool","Mon Apr 14 07:33:06 GMT 2025","passed","Mon Apr 14 07:33:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","100","get all category","QA|Nova Bank - Infopool","Mon Apr 14 07:33:50 GMT 2025","passed","Mon Apr 14 07:33:51 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","110","Update user - ID does not exist","QA|Nova Bank - Infopool","Mon Apr 14 07:33:37 GMT 2025","passed","Mon Apr 14 07:33:38 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","96","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:15 GMT 2025","passed","Mon Apr 14 07:33:16 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","105","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Mon Apr 14 07:33:41 GMT 2025","passed","Mon Apr 14 07:33:42 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","93","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Mon Apr 14 07:33:02 GMT 2025","passed","Mon Apr 14 07:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","96","Get profile roles - successful","QA|Nova Bank - Infopool","Mon Apr 14 07:33:03 GMT 2025","passed","Mon Apr 14 07:33:03 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","126","Update organization details by ID - successful","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","89","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:52 GMT 2025","passed","Mon Apr 14 07:33:52 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","94","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:08 GMT 2025","passed","Mon Apr 14 07:33:08 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","1962","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Mon Apr 14 07:34:02 GMT 2025","passed","Mon Apr 14 07:34:04 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","105","Create organization - empty description","QA|Nova Bank - Infopool","Mon Apr 14 07:33:39 GMT 2025","passed","Mon Apr 14 07:33:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","889","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Mon Apr 14 07:33:18 GMT 2025","passed","Mon Apr 14 07:33:19 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","110","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Mon Apr 14 07:33:41 GMT 2025","passed","Mon Apr 14 07:33:41 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","114","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:41 GMT 2025","passed","Mon Apr 14 07:33:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","100","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Mon Apr 14 07:33:36 GMT 2025","passed","Mon Apr 14 07:33:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","86","Health","QA|Nova Bank - Infopool","Mon Apr 14 07:33:29 GMT 2025","passed","Mon Apr 14 07:33:29 GMT 2025","v1 > Health","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","98","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Mon Apr 14 07:33:03 GMT 2025","passed","Mon Apr 14 07:33:03 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","95","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Mon Apr 14 07:34:05 GMT 2025","passed","Mon Apr 14 07:34:05 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","95","Add Comment to Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:16 GMT 2025","failed","Mon Apr 14 07:33:16 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","86","audit trail - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:06 GMT 2025","passed","Mon Apr 14 07:33:06 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","110","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Mon Apr 14 07:33:41 GMT 2025","failed","Mon Apr 14 07:33:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","90","No email - Forgot Password","QA|Nova Bank - Infopool","Mon Apr 14 07:33:02 GMT 2025","passed","Mon Apr 14 07:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","109","Create organization - empty city value","QA|Nova Bank - Infopool","Mon Apr 14 07:33:39 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","106","Create Report - Empty category","QA|Nova Bank - Infopool","Mon Apr 14 07:34:00 GMT 2025","passed","Mon Apr 14 07:34:00 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","93","No auth - managers","QA|Nova Bank - Infopool","Mon Apr 14 07:33:43 GMT 2025","passed","Mon Apr 14 07:33:43 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a specific report by ID","254","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Mon Apr 14 07:33:53 GMT 2025","passed","Mon Apr 14 07:33:53 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","1160","Export Report Data","QA|Nova Bank - Infopool","Mon Apr 14 07:34:04 GMT 2025","passed","Mon Apr 14 07:34:05 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","116","Fetch Customer Comments","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","90","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:42 GMT 2025","passed","Mon Apr 14 07:33:42 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","6582","Get all definitions","QA|Nova Bank - Infopool","Mon Apr 14 07:33:29 GMT 2025","passed","Mon Apr 14 07:33:36 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","186","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:52 GMT 2025","failed","Mon Apr 14 07:33:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Delete a report (soft delete)","86","Delete Report -No auth","QA|Nova Bank - Infopool","Mon Apr 14 07:34:00 GMT 2025","passed","Mon Apr 14 07:34:00 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","87","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","275","Get Report Objects - Question","QA|Nova Bank - Infopool","Mon Apr 14 07:33:52 GMT 2025","passed","Mon Apr 14 07:33:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","87","No Auth - Search Customers","QA|Nova Bank - Infopool","Mon Apr 14 07:33:17 GMT 2025","passed","Mon Apr 14 07:33:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","146","Get events - invalid start date","QA|Nova Bank - Infopool","Mon Apr 14 07:33:06 GMT 2025","passed","Mon Apr 14 07:33:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","106","Create organization - no country ID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:39 GMT 2025","passed","Mon Apr 14 07:33:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","196","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Mon Apr 14 07:33:22 GMT 2025","failed","Mon Apr 14 07:33:23 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","105","Update profile - Invalid file size","QA|Nova Bank - Infopool","Mon Apr 14 07:33:05 GMT 2025","passed","Mon Apr 14 07:33:05 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","108","Create organization - empty street value","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","88","No Auth - Fetch all users","QA|Nova Bank - Infopool","Mon Apr 14 07:33:37 GMT 2025","passed","Mon Apr 14 07:33:37 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get a paginated list of reports with optional filtering","209","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Mon Apr 14 07:33:52 GMT 2025","passed","Mon Apr 14 07:33:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","252","Get profile - successfully","QA|Nova Bank - Infopool","Mon Apr 14 07:33:04 GMT 2025","passed","Mon Apr 14 07:33:04 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","1003","Create a New Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:07 GMT 2025","passed","Mon Apr 14 07:33:08 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","103","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:40 GMT 2025","passed","Mon Apr 14 07:33:40 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","107","Update profile - no phone number","QA|Nova Bank - Infopool","Mon Apr 14 07:33:05 GMT 2025","passed","Mon Apr 14 07:33:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","144","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Mon Apr 14 07:33:06 GMT 2025","passed","Mon Apr 14 07:33:06 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","257","No auth - Create a New Issue","QA|Nova Bank - Infopool","Mon Apr 14 07:33:08 GMT 2025","passed","Mon Apr 14 07:33:08 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Update an existing report","88","Update Report - No auth","QA|Nova Bank - Infopool","Mon Apr 14 07:34:00 GMT 2025","passed","Mon Apr 14 07:34:00 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","97","Get Issue by ID","QA|Nova Bank - Infopool","Mon Apr 14 07:33:12 GMT 2025","failed","Mon Apr 14 07:33:12 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","143","update role","QA|Nova Bank - Infopool","Mon Apr 14 07:33:38 GMT 2025","passed","Mon Apr 14 07:33:38 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Create a new report","6219","Create Report - No auth","QA|Nova Bank - Infopool","Mon Apr 14 07:33:53 GMT 2025","passed","Mon Apr 14 07:34:00 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","110","Create  organization - without parent id","QA|Nova Bank - Infopool","Mon Apr 14 07:33:39 GMT 2025","passed","Mon Apr 14 07:33:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
