"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","24","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","26","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","32","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:40:00 GMT 2025","passed","Sun Jun 08 21:40:00 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","29","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","25","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","265","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:40:12 GMT 2025","passed","Sun Jun 08 21:40:13 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","24","get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","262","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:10 GMT 2025","failed","Sun Jun 08 21:40:11 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","25","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","6255","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 21:39:48 GMT 2025","passed","Sun Jun 08 21:39:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","24","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","238","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:39:57 GMT 2025","passed","Sun Jun 08 21:39:57 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","28","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","26","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","24","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","49","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:40:13 GMT 2025","passed","Sun Jun 08 21:40:13 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","32","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:40:18 GMT 2025","passed","Sun Jun 08 21:40:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","46","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:40:09 GMT 2025","passed","Sun Jun 08 21:40:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","44","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:40:13 GMT 2025","passed","Sun Jun 08 21:40:13 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","149","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:10 GMT 2025","passed","Sun Jun 08 21:40:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","48","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:39:57 GMT 2025","passed","Sun Jun 08 21:39:57 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","340","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:40:14 GMT 2025","passed","Sun Jun 08 21:40:14 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","26","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","24","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","49","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:40:09 GMT 2025","passed","Sun Jun 08 21:40:10 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","45","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:40:14 GMT 2025","failed","Sun Jun 08 21:40:14 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","24","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","26","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","67","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:40:14 GMT 2025","failed","Sun Jun 08 21:40:14 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","656","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 21:40:00 GMT 2025","passed","Sun Jun 08 21:40:01 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","175","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:39:55 GMT 2025","passed","Sun Jun 08 21:39:55 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","2567","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 21:40:16 GMT 2025","passed","Sun Jun 08 21:40:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","25","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","41","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:39:55 GMT 2025","passed","Sun Jun 08 21:39:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","26","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Delete a report (soft delete)","25","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","162","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:10 GMT 2025","failed","Sun Jun 08 21:40:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","25","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","28","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","26","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:39:56 GMT 2025","passed","Sun Jun 08 21:39:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","330","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:10 GMT 2025","passed","Sun Jun 08 21:40:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","325","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:40:00 GMT 2025","passed","Sun Jun 08 21:40:00 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","24","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","26","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","24","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:40:13 GMT 2025","passed","Sun Jun 08 21:40:13 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","25","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","247","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:40:13 GMT 2025","passed","Sun Jun 08 21:40:13 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","26","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","41","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:40:14 GMT 2025","failed","Sun Jun 08 21:40:14 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","26","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:12 GMT 2025","failed","Sun Jun 08 21:40:12 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","26","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","26","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","347","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:39:58 GMT 2025","passed","Sun Jun 08 21:39:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","26","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","43","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:39:56 GMT 2025","passed","Sun Jun 08 21:39:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","25","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","24","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","26","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","24","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","965","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:39:57 GMT 2025","passed","Sun Jun 08 21:39:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:40:10 GMT 2025","passed","Sun Jun 08 21:40:10 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","25","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","25","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","25","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","26","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","25","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","24","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","25","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Create a new report","25","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","57","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Jun 08 21:40:13 GMT 2025","passed","Sun Jun 08 21:40:13 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","66","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:40:11 GMT 2025","passed","Sun Jun 08 21:40:12 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","25","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","219","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:11 GMT 2025","passed","Sun Jun 08 21:40:11 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","839","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:40:01 GMT 2025","passed","Sun Jun 08 21:40:02 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","52","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:39:56 GMT 2025","passed","Sun Jun 08 21:39:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","240","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 21:40:02 GMT 2025","passed","Sun Jun 08 21:40:02 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","102","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:39:59 GMT 2025","passed","Sun Jun 08 21:40:00 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","28","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","","corporate Adjustment","",""
"","25","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","","corporate Adjustment","",""
"","22","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get a paginated list of reports with optional filtering","27","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","25","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","42","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 21:39:55 GMT 2025","passed","Sun Jun 08 21:39:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:40:16 GMT 2025","passed","Sun Jun 08 21:40:16 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","23","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","","corporate Adjustment","",""
"","29","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:40:14 GMT 2025","passed","Sun Jun 08 21:40:14 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:39:56 GMT 2025","passed","Sun Jun 08 21:39:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","934","reset password","QA|Nova Bank - Infopool","Sun Jun 08 21:39:55 GMT 2025","passed","Sun Jun 08 21:39:56 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","52","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:12 GMT 2025","failed","Sun Jun 08 21:40:12 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","25","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","24","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","26","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","failed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","52","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:12 GMT 2025","failed","Sun Jun 08 21:40:12 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","25","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","140","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:39:59 GMT 2025","passed","Sun Jun 08 21:39:59 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","26","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","3372","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:40:02 GMT 2025","passed","Sun Jun 08 21:40:06 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","54","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:39:59 GMT 2025","passed","Sun Jun 08 21:39:59 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:40:12 GMT 2025","failed","Sun Jun 08 21:40:12 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","38","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:40:11 GMT 2025","failed","Sun Jun 08 21:40:11 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","58","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:40:10 GMT 2025","passed","Sun Jun 08 21:40:10 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","24","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","26","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","25","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:41:29 GMT 2025","passed","Sun Jun 08 21:41:29 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","211","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:40:13 GMT 2025","failed","Sun Jun 08 21:40:14 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","27","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:41:30 GMT 2025","passed","Sun Jun 08 21:41:30 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","3344","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 21:40:06 GMT 2025","passed","Sun Jun 08 21:40:09 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","25","Health","QA|Nova Bank - Infopool","Sun Jun 08 21:41:28 GMT 2025","passed","Sun Jun 08 21:41:28 GMT 2025","v1 > Health","Bank Admin","",""
"Delete a report (soft delete)","25","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:41:31 GMT 2025","passed","Sun Jun 08 21:41:31 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
