"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","No email - Forgot Password","QA|Nova Bank - Infopool","Wed May 28 00:18:27 GMT 2025","passed","Wed May 28 00:18:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","37","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:18:34 GMT 2025","passed","Wed May 28 00:18:35 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed May 28 00:18:46 GMT 2025","failed","Wed May 28 00:18:46 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","37","Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:18:45 GMT 2025","failed","Wed May 28 00:18:45 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","37","Weak password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","failed","Wed May 28 00:18:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:18:28 GMT 2025","failed","Wed May 28 00:18:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","125","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 28 00:18:44 GMT 2025","passed","Wed May 28 00:18:44 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","36","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 28 00:18:43 GMT 2025","failed","Wed May 28 00:18:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Get all Issues","QA|Nova Bank - Infopool","Wed May 28 00:18:31 GMT 2025","failed","Wed May 28 00:18:31 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","passed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","35","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:18:32 GMT 2025","passed","Wed May 28 00:18:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","60","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:18:41 GMT 2025","passed","Wed May 28 00:18:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
