"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","43","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","62","Update user - successful","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","50","Create organization - name already exists","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","117","Get events - invalid end date","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:33 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","failed","Fri May 30 17:46:48 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","40","No email - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","38","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","failed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","50","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","37","Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a specific report by ID","37","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","39","Get Report Data - Question","QA|Nova Bank - Infopool","Fri May 30 17:46:50 GMT 2025","failed","Fri May 30 17:46:50 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri May 30 17:46:33 GMT 2025","passed","Fri May 30 17:46:33 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","50","get all category","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:48 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","failed","Fri May 30 17:46:39 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","38","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","36","No auth - get user role","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","38","Create roles - empty name field","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","failed","Fri May 30 17:46:48 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","48","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","43","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri May 30 17:46:39 GMT 2025","passed","Fri May 30 17:46:39 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","36","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","passed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri May 30 17:46:35 GMT 2025","failed","Fri May 30 17:46:35 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","35","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","36","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","failed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a specific report by ID","37","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","passed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 17:46:31 GMT 2025","passed","Fri May 30 17:46:31 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","37","audit trail - No Auth","QA|Nova Bank - Infopool","Fri May 30 17:46:33 GMT 2025","passed","Fri May 30 17:46:33 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","89","category by id","QA|Nova Bank - Infopool","Fri May 30 17:46:48 GMT 2025","passed","Fri May 30 17:46:49 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","41","Update profile - no auth","QA|Nova Bank - Infopool","Fri May 30 17:46:32 GMT 2025","passed","Fri May 30 17:46:32 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","36","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 17:46:47 GMT 2025","passed","Fri May 30 17:46:47 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","46","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 17:46:40 GMT 2025","passed","Fri May 30 17:46:40 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","37","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri May 30 17:46:49 GMT 2025","failed","Fri May 30 17:46:49 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","43","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 17:46:30 GMT 2025","passed","Fri May 30 17:46:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 17:46:38 GMT 2025","passed","Fri May 30 17:46:38 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
