"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","160","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 22 20:11:08 GMT 2025","passed","Sun Jun 22 20:11:08 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","49","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","46","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:04 GMT 2025","passed","Sun Jun 22 20:11:04 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","54","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","50","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 22 20:11:31 GMT 2025","passed","Sun Jun 22 20:11:31 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","115","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 22 20:11:16 GMT 2025","passed","Sun Jun 22 20:11:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","45","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 22 20:11:17 GMT 2025","passed","Sun Jun 22 20:11:17 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","46","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 22 20:11:28 GMT 2025","passed","Sun Jun 22 20:11:28 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","46","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 22 20:11:06 GMT 2025","passed","Sun Jun 22 20:11:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","44","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","48","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:21 GMT 2025","passed","Sun Jun 22 20:11:21 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","96","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","47","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","76","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 22 20:11:15 GMT 2025","failed","Sun Jun 22 20:11:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","136","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 22 20:11:05 GMT 2025","passed","Sun Jun 22 20:11:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","57","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 22 20:11:30 GMT 2025","passed","Sun Jun 22 20:11:30 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","48","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","failed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","89","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 22 20:11:29 GMT 2025","passed","Sun Jun 22 20:11:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","46","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 22 20:11:07 GMT 2025","passed","Sun Jun 22 20:11:07 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","187","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 22 20:11:31 GMT 2025","passed","Sun Jun 22 20:11:31 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
