"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","search Corporate Adjustment","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","","corporate Adjustment","",""
"","33","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","35","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Health","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Health","Bank Admin","",""
"","35","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","33","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","1937","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 19:07:16 GMT 2025","passed","Thu Jun 05 19:07:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","38","Get events - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","Get role by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","83","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","failed","Thu Jun 05 19:07:11 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","35","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","39","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","failed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","37","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","32","Get Report Data - Question","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","41","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:07:13 GMT 2025","passed","Thu Jun 05 19:07:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Create a new report","33","Create Report - Duplicate name","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","60","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:07:13 GMT 2025","passed","Thu Jun 05 19:07:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","No Auth - Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","passed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","109","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","failed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","33","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","33","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","179","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","passed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","37","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","34","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","38","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 19:07:13 GMT 2025","passed","Thu Jun 05 19:07:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","105","Invalid current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","32","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","74","verifyOTP","QA|Nova Bank - Infopool","Thu Jun 05 19:07:10 GMT 2025","passed","Thu Jun 05 19:07:10 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","34","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","588","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 19:07:03 GMT 2025","passed","Thu Jun 05 19:07:03 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","43","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 19:07:14 GMT 2025","failed","Thu Jun 05 19:07:14 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","38","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 19:07:16 GMT 2025","failed","Thu Jun 05 19:07:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","45","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 19:07:12 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","38","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 19:07:16 GMT 2025","failed","Thu Jun 05 19:07:16 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","33","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","34","get user role","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Create a new report","34","Create Report - Empty category","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","43","Empty current password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","33","No auth - get all category","QA|Nova Bank - Infopool","Thu Jun 05 19:08:28 GMT 2025","passed","Thu Jun 05 19:08:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","36","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","49","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 19:07:10 GMT 2025","passed","Thu Jun 05 19:07:10 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","33","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 19:08:26 GMT 2025","passed","Thu Jun 05 19:08:26 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","No Auth - Change password","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","34","Export Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","36","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","45","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 19:07:10 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","97","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:12 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","36","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 19:07:18 GMT 2025","passed","Thu Jun 05 19:07:18 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","34","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","33","Create roles","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","34","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","49","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 19:07:13 GMT 2025","passed","Thu Jun 05 19:07:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","33","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","40","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 19:07:11 GMT 2025","passed","Thu Jun 05 19:07:11 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","33","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 19:08:25 GMT 2025","passed","Thu Jun 05 19:08:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Create a new report","34","Create Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:29 GMT 2025","passed","Thu Jun 05 19:08:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","33","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 19:08:27 GMT 2025","passed","Thu Jun 05 19:08:27 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","39","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","passed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","39","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 19:07:15 GMT 2025","failed","Thu Jun 05 19:07:15 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
