"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Jan 07 18:55:37 UTC 2026","broken","Wed Jan 07 18:55:37 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","66","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:43 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","62","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","61","No auth - managers","QA|Nova Bank - Infopool","Wed Jan 07 18:55:46 UTC 2026","broken","Wed Jan 07 18:55:46 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","63","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","77","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Jan 07 18:55:38 UTC 2026","broken","Wed Jan 07 18:55:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","69","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed Jan 07 18:55:36 UTC 2026","broken","Wed Jan 07 18:55:36 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","63","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","65","Health","QA|Nova Bank - Infopool","Wed Jan 07 18:55:42 UTC 2026","broken","Wed Jan 07 18:55:42 UTC 2026","v1 > Health","Bank Admin","",""
"","63","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Jan 07 18:55:40 UTC 2026","broken","Wed Jan 07 18:55:40 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","64","update role","QA|Nova Bank - Infopool","Wed Jan 07 18:55:43 UTC 2026","broken","Wed Jan 07 18:55:43 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","66","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:35 UTC 2026","broken","Wed Jan 07 18:55:36 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","63","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:41 UTC 2026","broken","Wed Jan 07 18:55:41 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","64","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","78","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Jan 07 18:55:34 UTC 2026","broken","Wed Jan 07 18:55:34 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","65","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed Jan 07 18:55:39 UTC 2026","broken","Wed Jan 07 18:55:39 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","65","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed Jan 07 18:55:45 UTC 2026","broken","Wed Jan 07 18:55:45 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","63","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:49 UTC 2026","broken","Wed Jan 07 18:55:49 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","62","category by id","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","66","Fetch all organizations","QA|Nova Bank - Infopool","Wed Jan 07 18:55:44 UTC 2026","broken","Wed Jan 07 18:55:44 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"Get a specific report by ID","68","Get Report by UUID","QA|Nova Bank - Infopool","Wed Jan 07 18:55:48 UTC 2026","broken","Wed Jan 07 18:55:48 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","65","No auth - Update role status","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","61","No auth - get all category","QA|Nova Bank - Infopool","Wed Jan 07 18:55:47 UTC 2026","broken","Wed Jan 07 18:55:47 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","350","Successful login","QA|Nova Bank - Infopool","Wed Jan 07 18:55:34 UTC 2026","broken","Wed Jan 07 18:55:34 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
