"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","46","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Get all Issues","QA|Nova Bank - Infopool","Fri Jul 11 18:58:44 GMT 2025","failed","Fri Jul 11 18:58:44 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","45","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","48","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:59:00 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","34","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jul 11 18:58:59 GMT 2025","passed","Fri Jul 11 18:58:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","44","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","33","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","33","No auth - get user role","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","35","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jul 11 18:58:43 GMT 2025","passed","Fri Jul 11 18:58:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","2664","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jul 11 18:58:53 GMT 2025","passed","Fri Jul 11 18:58:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","6198","Invalid email format","QA|Nova Bank - Infopool","Fri Jul 11 18:58:32 GMT 2025","passed","Fri Jul 11 18:58:39 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","49","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jul 11 18:58:52 GMT 2025","passed","Fri Jul 11 18:58:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","47","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","47","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jul 11 18:58:52 GMT 2025","passed","Fri Jul 11 18:58:52 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","failed","Fri Jul 11 18:58:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 11 18:58:40 GMT 2025","passed","Fri Jul 11 18:58:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","44","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","failed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jul 11 18:58:49 GMT 2025","passed","Fri Jul 11 18:58:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","32","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","audit trail","QA|Nova Bank - Infopool","Fri Jul 11 18:58:42 GMT 2025","passed","Fri Jul 11 18:58:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","88","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:39 GMT 2025","failed","Fri Jul 11 18:58:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","32","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jul 11 18:58:56 GMT 2025","passed","Fri Jul 11 18:58:56 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","34","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jul 11 18:58:45 GMT 2025","passed","Fri Jul 11 18:58:45 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","59","Update user - successful","QA|Nova Bank - Infopool","Fri Jul 11 18:58:57 GMT 2025","passed","Fri Jul 11 18:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","44","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jul 11 18:58:58 GMT 2025","passed","Fri Jul 11 18:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","71","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jul 11 18:58:56 GMT 2025","failed","Fri Jul 11 18:58:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
