"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139","Logout session successfully","QA|Nova Bank - Infopool","Fri Dec 05 18:58:39 UTC 2025","broken","Fri Dec 05 18:58:39 UTC 2025","v1 > Logout","Bank Admin","",""
"","135","Update role status","QA|Nova Bank - Infopool","Fri Dec 05 18:58:37 UTC 2025","broken","Fri Dec 05 18:58:37 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","144","Health","QA|Nova Bank - Infopool","Fri Dec 05 18:58:26 UTC 2025","broken","Fri Dec 05 18:58:26 UTC 2025","v1 > Health","Bank Admin","",""
"","144","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:23 UTC 2025","broken","Fri Dec 05 18:58:23 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","139","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:21 UTC 2025","broken","Fri Dec 05 18:58:21 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","139","No auth - update role","QA|Nova Bank - Infopool","Fri Dec 05 18:58:30 UTC 2025","broken","Fri Dec 05 18:58:30 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","142","audit trail","QA|Nova Bank - Infopool","Fri Dec 05 18:58:17 UTC 2025","broken","Fri Dec 05 18:58:17 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","144","verify OTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:14 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","141","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:28 UTC 2025","broken","Fri Dec 05 18:58:28 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","143","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Dec 05 18:58:30 UTC 2025","broken","Fri Dec 05 18:58:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","147","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Dec 05 18:58:18 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","137","Update user - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:29 UTC 2025","broken","Fri Dec 05 18:58:29 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","141","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Dec 05 18:58:34 UTC 2025","broken","Fri Dec 05 18:58:34 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","140","get all category","QA|Nova Bank - Infopool","Fri Dec 05 18:58:38 UTC 2025","broken","Fri Dec 05 18:58:38 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","144","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Dec 05 18:58:29 UTC 2025","broken","Fri Dec 05 18:58:29 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","142","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Dec 05 18:58:23 UTC 2025","broken","Fri Dec 05 18:58:24 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get a paginated list of reports with optional filtering","149","Get Reports - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:39 UTC 2025","broken","Fri Dec 05 18:58:39 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","140","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:23 UTC 2025","broken","Fri Dec 05 18:58:23 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","144","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:35 UTC 2025","broken","Fri Dec 05 18:58:35 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","141","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:28 UTC 2025","broken","Fri Dec 05 18:58:28 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","146","Create Report - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:41 UTC 2025","broken","Fri Dec 05 18:58:41 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a specific report by ID","144","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:41 UTC 2025","broken","Fri Dec 05 18:58:41 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","136","reset password","QA|Nova Bank - Infopool","Fri Dec 05 18:58:12 UTC 2025","broken","Fri Dec 05 18:58:13 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","148","Update profile","QA|Nova Bank - Infopool","Fri Dec 05 18:58:16 UTC 2025","broken","Fri Dec 05 18:58:16 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","144","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:13 UTC 2025","broken","Fri Dec 05 18:58:13 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","139","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:13 UTC 2025","broken","Fri Dec 05 18:58:13 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","152","No user credentials","QA|Nova Bank - Infopool","Fri Dec 05 18:58:11 UTC 2025","broken","Fri Dec 05 18:58:12 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","139","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Dec 05 18:58:27 UTC 2025","broken","Fri Dec 05 18:58:27 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","137","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:37 UTC 2025","broken","Fri Dec 05 18:58:37 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","148","Export Report Data - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:43 UTC 2025","broken","Fri Dec 05 18:58:43 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","146","Get profile - successfully","QA|Nova Bank - Infopool","Fri Dec 05 18:58:15 UTC 2025","broken","Fri Dec 05 18:58:15 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","162","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:13 UTC 2025","broken","Fri Dec 05 18:58:13 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","140","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Dec 05 18:58:30 UTC 2025","broken","Fri Dec 05 18:58:30 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","145","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:33 UTC 2025","broken","Fri Dec 05 18:58:34 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","148","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Dec 05 18:58:39 UTC 2025","broken","Fri Dec 05 18:58:40 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","139","category by id","QA|Nova Bank - Infopool","Fri Dec 05 18:58:39 UTC 2025","broken","Fri Dec 05 18:58:39 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","150","verifyOTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:12 UTC 2025","broken","Fri Dec 05 18:58:12 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","158","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:14 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","145","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:37 UTC 2025","broken","Fri Dec 05 18:58:37 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","144","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:33 UTC 2025","broken","Fri Dec 05 18:58:33 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","147","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Dec 05 18:58:43 UTC 2025","broken","Fri Dec 05 18:58:43 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","137","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:19 UTC 2025","broken","Fri Dec 05 18:58:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","141","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Dec 05 18:58:17 UTC 2025","broken","Fri Dec 05 18:58:17 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","142","Add attachment to issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:21 UTC 2025","broken","Fri Dec 05 18:58:21 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a specific report by ID","145","Get Report by ID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:40 UTC 2025","broken","Fri Dec 05 18:58:40 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a specific report by ID","142","Get Report by UUID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:41 UTC 2025","broken","Fri Dec 05 18:58:41 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","164","Invalid credentials","QA|Nova Bank - Infopool","Fri Dec 05 18:58:11 UTC 2025","broken","Fri Dec 05 18:58:11 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","146","Get all definitions","QA|Nova Bank - Infopool","Fri Dec 05 18:58:26 UTC 2025","broken","Fri Dec 05 18:58:27 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","135","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Dec 05 18:58:18 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","144","No auth - get all category","QA|Nova Bank - Infopool","Fri Dec 05 18:58:38 UTC 2025","broken","Fri Dec 05 18:58:39 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","141","Weak password - Change password","QA|Nova Bank - Infopool","Fri Dec 05 18:58:15 UTC 2025","broken","Fri Dec 05 18:58:15 UTC 2025","v1 > Profile > Password","Bank User","",""
"","136","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Dec 05 18:58:31 UTC 2025","broken","Fri Dec 05 18:58:32 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Dec 05 18:58:26 UTC 2025","broken","Fri Dec 05 18:58:26 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","154","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:13 UTC 2025","broken","Fri Dec 05 18:58:13 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","142","Fetch all users","QA|Nova Bank - Infopool","Fri Dec 05 18:58:28 UTC 2025","broken","Fri Dec 05 18:58:28 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","144","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:23 UTC 2025","broken","Fri Dec 05 18:58:23 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","168","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:19 UTC 2025","broken","Fri Dec 05 18:58:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","140","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri Dec 05 18:58:41 UTC 2025","broken","Fri Dec 05 18:58:41 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","136","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Dec 05 18:58:35 UTC 2025","broken","Fri Dec 05 18:58:35 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"Get a specific report by ID","141","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Dec 05 18:58:41 UTC 2025","broken","Fri Dec 05 18:58:41 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","141","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:33 UTC 2025","broken","Fri Dec 05 18:58:33 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","143","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Dec 05 18:58:18 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","146","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Dec 05 18:58:33 UTC 2025","broken","Fri Dec 05 18:58:33 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","147","Export Report Data","QA|Nova Bank - Infopool","Fri Dec 05 18:58:43 UTC 2025","broken","Fri Dec 05 18:58:43 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Update an existing report","142","Update Report - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:42 UTC 2025","broken","Fri Dec 05 18:58:42 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","140","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:35 UTC 2025","broken","Fri Dec 05 18:58:35 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","147","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Dec 05 18:58:31 UTC 2025","broken","Fri Dec 05 18:58:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","147","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Dec 05 18:58:12 UTC 2025","broken","Fri Dec 05 18:58:12 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","149","Create  organization","QA|Nova Bank - Infopool","Fri Dec 05 18:58:30 UTC 2025","broken","Fri Dec 05 18:58:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","147","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:24 UTC 2025","broken","Fri Dec 05 18:58:24 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","135","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Dec 05 18:58:22 UTC 2025","broken","Fri Dec 05 18:58:23 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","140","No auth - managers","QA|Nova Bank - Infopool","Fri Dec 05 18:58:36 UTC 2025","broken","Fri Dec 05 18:58:36 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","143","No Auth - Change password","QA|Nova Bank - Infopool","Fri Dec 05 18:58:14 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Profile > Password","Bank User","",""
"","142","add_comment_successfully","QA|Nova Bank - Infopool","Fri Dec 05 18:58:22 UTC 2025","broken","Fri Dec 05 18:58:22 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","144","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:24 UTC 2025","broken","Fri Dec 05 18:58:24 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","146","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Dec 05 18:58:25 UTC 2025","broken","Fri Dec 05 18:58:25 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","143","Get Reports","QA|Nova Bank - Infopool","Fri Dec 05 18:58:39 UTC 2025","broken","Fri Dec 05 18:58:39 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","157","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:19 UTC 2025","broken","Fri Dec 05 18:58:20 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","144","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Dec 05 18:58:17 UTC 2025","broken","Fri Dec 05 18:58:17 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","146","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:34 UTC 2025","broken","Fri Dec 05 18:58:34 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","146","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Dec 05 18:58:17 UTC 2025","broken","Fri Dec 05 18:58:17 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","142","Search Customers","QA|Nova Bank - Infopool","Fri Dec 05 18:58:23 UTC 2025","broken","Fri Dec 05 18:58:23 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","135","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Dec 05 18:58:24 UTC 2025","broken","Fri Dec 05 18:58:25 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","147","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Dec 05 18:58:32 UTC 2025","broken","Fri Dec 05 18:58:32 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","141","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Dec 05 18:58:38 UTC 2025","broken","Fri Dec 05 18:58:38 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","146","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Dec 05 18:58:26 UTC 2025","broken","Fri Dec 05 18:58:26 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","146","Get single definition","QA|Nova Bank - Infopool","Fri Dec 05 18:58:27 UTC 2025","broken","Fri Dec 05 18:58:27 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","142","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Dec 05 18:58:40 UTC 2025","broken","Fri Dec 05 18:58:40 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","136","Create organization - no name","QA|Nova Bank - Infopool","Fri Dec 05 18:58:30 UTC 2025","broken","Fri Dec 05 18:58:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","142","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Dec 05 18:58:20 UTC 2025","broken","Fri Dec 05 18:58:20 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","142","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:18 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","139","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:37 UTC 2025","broken","Fri Dec 05 18:58:37 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","145","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Dec 05 18:58:24 UTC 2025","broken","Fri Dec 05 18:58:24 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","137","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Dec 05 18:58:43 UTC 2025","broken","Fri Dec 05 18:58:43 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","137","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Dec 05 18:58:31 UTC 2025","broken","Fri Dec 05 18:58:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","144","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:38 UTC 2025","broken","Fri Dec 05 18:58:38 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","147","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:44 UTC 2025","broken","Fri Dec 05 18:58:44 UTC 2025","","corporate Adjustment","",""
"","149","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Dec 05 18:58:33 UTC 2025","broken","Fri Dec 05 18:58:33 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","142","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Dec 05 18:58:18 UTC 2025","broken","Fri Dec 05 18:58:18 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","139","Create organization - empty description","QA|Nova Bank - Infopool","Fri Dec 05 18:58:31 UTC 2025","broken","Fri Dec 05 18:58:31 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","140","successful dashboard embed","QA|Nova Bank - Infopool","Fri Dec 05 18:58:26 UTC 2025","broken","Fri Dec 05 18:58:26 UTC 2025","embed dashboard","Bank User","",""
"","149","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:14 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","142","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Dec 05 18:58:19 UTC 2025","broken","Fri Dec 05 18:58:19 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","140","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Dec 05 18:58:28 UTC 2025","broken","Fri Dec 05 18:58:28 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","138","Search Customers","QA|Nova Bank - Infopool","Fri Dec 05 18:58:24 UTC 2025","broken","Fri Dec 05 18:58:24 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","142","Change password - successful","QA|Nova Bank - Infopool","Fri Dec 05 18:58:14 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Profile > Password","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","142","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 05 18:58:13 UTC 2025","broken","Fri Dec 05 18:58:14 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","136","Update Customer Comment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:23 UTC 2025","broken","Fri Dec 05 18:58:23 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","144","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Dec 05 18:58:28 UTC 2025","broken","Fri Dec 05 18:58:29 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","172","Create a New Issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:19 UTC 2025","broken","Fri Dec 05 18:58:19 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","142","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Dec 05 18:58:43 UTC 2025","broken","Fri Dec 05 18:58:43 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","141","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Dec 05 18:58:38 UTC 2025","broken","Fri Dec 05 18:58:38 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","149","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Dec 05 18:58:12 UTC 2025","broken","Fri Dec 05 18:58:12 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Update an existing report","147","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Dec 05 18:58:42 UTC 2025","broken","Fri Dec 05 18:58:42 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","142","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Dec 05 18:58:40 UTC 2025","broken","Fri Dec 05 18:58:40 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","153","Update Issue","QA|Nova Bank - Infopool","Fri Dec 05 18:58:20 UTC 2025","broken","Fri Dec 05 18:58:21 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","141","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Dec 05 18:58:44 UTC 2025","broken","Fri Dec 05 18:58:44 UTC 2025","","corporate Adjustment","",""
