"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jul 06 20:11:31 GMT 2025","passed","Sun Jul 06 20:11:31 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","93","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jul 06 20:11:32 GMT 2025","passed","Sun Jul 06 20:11:32 GMT 2025","v1 > Profile > Password","Bank User","",""
"","156","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jul 06 20:11:34 GMT 2025","passed","Sun Jul 06 20:11:34 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","83","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jul 06 20:11:55 GMT 2025","passed","Sun Jul 06 20:11:55 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","80","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jul 06 20:11:47 GMT 2025","passed","Sun Jul 06 20:11:47 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","6366","Invalid credentials","QA|Nova Bank - Infopool","Sun Jul 06 20:11:22 GMT 2025","passed","Sun Jul 06 20:11:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jul 06 20:12:05 GMT 2025","passed","Sun Jul 06 20:12:05 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","211","update role","QA|Nova Bank - Infopool","Sun Jul 06 20:12:01 GMT 2025","passed","Sun Jul 06 20:12:01 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","169","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jul 06 20:11:45 GMT 2025","passed","Sun Jul 06 20:11:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","150","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jul 06 20:12:03 GMT 2025","failed","Sun Jul 06 20:12:04 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
