"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","135","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 21:15:43 GMT 2025","failed","Sun Jun 08 21:15:44 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","131","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:15:42 GMT 2025","passed","Sun Jun 08 21:15:42 GMT 2025","v1 > Profile > Password","Bank User","",""
"","337","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:15:52 GMT 2025","passed","Sun Jun 08 21:15:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","40","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:15:44 GMT 2025","passed","Sun Jun 08 21:15:44 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","41","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:15:40 GMT 2025","passed","Sun Jun 08 21:15:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","50","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:15:53 GMT 2025","passed","Sun Jun 08 21:15:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Logout session - no session","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Logout","Bank Admin","",""
"","37","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","37","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","35","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:14 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","40","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:15:56 GMT 2025","failed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","38","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","251","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 21:15:56 GMT 2025","passed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","171","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:15:40 GMT 2025","failed","Sun Jun 08 21:15:40 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","34","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","60","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:15:39 GMT 2025","passed","Sun Jun 08 21:15:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","64","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:17:14 GMT 2025","passed","Sun Jun 08 21:17:14 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","34","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","42","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:15:52 GMT 2025","passed","Sun Jun 08 21:15:52 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","52","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:15:40 GMT 2025","passed","Sun Jun 08 21:15:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","54","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:15:40 GMT 2025","passed","Sun Jun 08 21:15:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","37","managers","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","34","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:17:12 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","34","category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","60","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","failed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","3643","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 21:17:18 GMT 2025","failed","Sun Jun 08 21:17:22 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","164","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:15:56 GMT 2025","passed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","285","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:15:42 GMT 2025","passed","Sun Jun 08 21:15:43 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","39","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:15:55 GMT 2025","failed","Sun Jun 08 21:15:55 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","35","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:12 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","88","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:15:37 GMT 2025","failed","Sun Jun 08 21:15:38 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:15:54 GMT 2025","passed","Sun Jun 08 21:15:54 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","55","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:15:54 GMT 2025","failed","Sun Jun 08 21:15:54 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","66","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:15:43 GMT 2025","passed","Sun Jun 08 21:15:43 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","39","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:15:56 GMT 2025","failed","Sun Jun 08 21:15:56 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","36","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:17:13 GMT 2025","passed","Sun Jun 08 21:17:13 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","35","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:17:10 GMT 2025","passed","Sun Jun 08 21:17:10 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","150","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:17:15 GMT 2025","passed","Sun Jun 08 21:17:15 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","50","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:15:52 GMT 2025","passed","Sun Jun 08 21:15:52 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:17:11 GMT 2025","passed","Sun Jun 08 21:17:11 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
