"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","76","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","failed","Fri May 30 16:59:45 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","36","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 16:59:58 GMT 2025","failed","Fri May 30 16:59:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","38","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","passed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","No auth - update role","QA|Nova Bank - Infopool","Fri May 30 16:59:59 GMT 2025","passed","Fri May 30 16:59:59 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","37","Create roles - No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","34","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri May 30 17:00:08 GMT 2025","passed","Fri May 30 17:00:08 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","95","Get profile - successfully","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:45 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Delete a report (soft delete)","34","Delete Report -No auth","QA|Nova Bank - Infopool","Fri May 30 17:00:09 GMT 2025","failed","Fri May 30 17:00:09 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","35","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","failed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","56","Search Customers","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","50","managers","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","76","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 17:00:06 GMT 2025","passed","Fri May 30 17:00:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 16:59:55 GMT 2025","passed","Fri May 30 16:59:55 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","38","Get profile - No Auth","QA|Nova Bank - Infopool","Fri May 30 16:59:45 GMT 2025","passed","Fri May 30 16:59:46 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","34","No auth - managers","QA|Nova Bank - Infopool","Fri May 30 17:00:07 GMT 2025","passed","Fri May 30 17:00:07 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","42","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri May 30 16:59:44 GMT 2025","passed","Fri May 30 16:59:44 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
