"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","138","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:33 UTC 2026","broken","Sun Feb 22 20:14:33 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","143","Export Report Data","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","137","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","135","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:39 UTC 2026","broken","Sun Feb 22 20:14:39 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Delete a report (soft delete)","136","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:15:02 UTC 2026","broken","Sun Feb 22 20:15:02 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","135","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","136","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:47 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","137","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 22 20:14:38 UTC 2026","broken","Sun Feb 22 20:14:38 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","143","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"Update an existing report","142","Update Report","QA|Nova Bank - Infopool","Sun Feb 22 20:15:01 UTC 2026","broken","Sun Feb 22 20:15:01 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","135","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:57 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","133","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Feb 22 20:14:44 UTC 2026","broken","Sun Feb 22 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get a paginated list of reports with optional filtering","140","Get Reports","QA|Nova Bank - Infopool","Sun Feb 22 20:14:58 UTC 2026","broken","Sun Feb 22 20:14:59 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","158","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:33 UTC 2026","broken","Sun Feb 22 20:14:33 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Create a new report","135","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Feb 22 20:15:01 UTC 2026","broken","Sun Feb 22 20:15:01 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","150","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:32 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","147","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","134","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:56 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","135","Create organization - no name","QA|Nova Bank - Infopool","Sun Feb 22 20:14:50 UTC 2026","broken","Sun Feb 22 20:14:50 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","141","No auth - update role","QA|Nova Bank - Infopool","Sun Feb 22 20:14:49 UTC 2026","broken","Sun Feb 22 20:14:49 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","142","audit-search","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","138","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Feb 22 20:14:45 UTC 2026","broken","Sun Feb 22 20:14:45 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a specific report by ID","139","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 22 20:15:00 UTC 2026","broken","Sun Feb 22 20:15:00 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","135","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:53 UTC 2026","broken","Sun Feb 22 20:14:53 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","142","No Auth - Change password","QA|Nova Bank - Infopool","Sun Feb 22 20:14:34 UTC 2026","broken","Sun Feb 22 20:14:34 UTC 2026","v1 > Profile > Password","Bank User","",""
"","136","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Feb 22 20:14:37 UTC 2026","broken","Sun Feb 22 20:14:37 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","134","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:56 UTC 2026","broken","Sun Feb 22 20:14:57 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","143","Update Issue","QA|Nova Bank - Infopool","Sun Feb 22 20:14:40 UTC 2026","broken","Sun Feb 22 20:14:40 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","135","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Feb 22 20:14:50 UTC 2026","broken","Sun Feb 22 20:14:50 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","145","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Feb 22 20:14:51 UTC 2026","broken","Sun Feb 22 20:14:51 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","163","verifyOTP","QA|Nova Bank - Infopool","Sun Feb 22 20:14:32 UTC 2026","broken","Sun Feb 22 20:14:32 UTC 2026","v1 > Auth > Session > verify OTP","Bank User","",""
"","142","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Feb 22 20:14:34 UTC 2026","broken","Sun Feb 22 20:14:34 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","137","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Feb 22 20:14:36 UTC 2026","broken","Sun Feb 22 20:14:36 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","140","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Feb 22 20:14:47 UTC 2026","broken","Sun Feb 22 20:14:48 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","134","No auth - get all category","QA|Nova Bank - Infopool","Sun Feb 22 20:14:58 UTC 2026","broken","Sun Feb 22 20:14:58 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
