"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Create definition - empty fields","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Create definition","Bank Admin","",""
"","33","Retrieve master setting by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Retrieve master setting by ID","Bank Admin","",""
"","39","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","47","Forgot password - user does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:51:56 GMT 2025","passed","Fri Mar 14 18:51:56 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","109","audit trail","QA|Nova Bank - Infopool","Fri Mar 14 18:51:58 GMT 2025","passed","Fri Mar 14 18:51:58 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","56","Change password - empty new password","QA|Nova Bank - Infopool","Fri Mar 14 18:51:57 GMT 2025","passed","Fri Mar 14 18:51:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","32","Retrieve master setting by ID - invalid ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Retrieve master setting by ID","Bank Admin","",""
"","32","Update master setting - no description","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Master > Update master settings","Bank Admin","",""
"","31","Get all notifications - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications","Bank Admin","",""
"","33","Create Settings - missing master settings ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","32","Notifications Controller create Notification v1","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Notifications","Bank Admin","",""
"","34","Create Settings - invalid master settings ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:12 GMT 2025","passed","Fri Mar 14 18:53:12 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","33","Get roles - successful","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","passed","Fri Mar 14 18:53:15 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","34","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","passed","Fri Mar 14 18:53:11 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","36","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:15 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","40","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Mar 14 18:53:14 GMT 2025","failed","Fri Mar 14 18:53:14 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","38","Get all definitions","QA|Nova Bank - Infopool","Fri Mar 14 18:53:11 GMT 2025","failed","Fri Mar 14 18:53:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","114","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Mar 14 18:51:56 GMT 2025","passed","Fri Mar 14 18:51:57 GMT 2025","v1 > Auth > mfa > request","Bank User","",""
"","6806","Successful login","QA|Nova Bank - Infopool","Fri Mar 14 18:51:49 GMT 2025","passed","Fri Mar 14 18:51:56 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","59","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Mar 14 18:51:57 GMT 2025","passed","Fri Mar 14 18:51:57 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","35","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","failed","Fri Mar 14 18:53:13 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","39","Get all Issues","QA|Nova Bank - Infopool","Fri Mar 14 18:51:59 GMT 2025","failed","Fri Mar 14 18:51:59 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","33","update value","QA|Nova Bank - Infopool","Fri Mar 14 18:53:13 GMT 2025","passed","Fri Mar 14 18:53:13 GMT 2025","v1 > System Settings > Setting value > Update value","Bank Admin","",""
"","38","Get all permissions","QA|Nova Bank - Infopool","Fri Mar 14 18:53:15 GMT 2025","failed","Fri Mar 14 18:53:15 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
